"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"8988","IREB2",5.68431592611747e-06,0.0562633233702558,20.6920279327,1,2222.3527031092,0.912212555199856
"5864","ABCA1",8.76307505182708e-06,0.0562633233702558,19.8563368829713,1,2222.3527031092,0.668835595680554
"7903","TRAFD1",0.000161965103991969,0.693264633453623,14.2766031252969,1,2222.3527031092,1.07991036566213
"706","FCGR1B",0.000257413584164934,0.73908366408113,13.4005813762316,1,2222.3527031092,2.36439045969477
"8743","SPINT1",0.000353392580958607,0.73908366408113,12.8034092271328,1,2222.3527031092,-10
"10645","CNN2",0.000422885287245836,0.73908366408113,12.4658894705012,1,2222.3527031092,1.49803441046151
"6526","FAM160B1",0.000529285560989877,0.73908366408113,12.0447767434505,1,2222.3527031092,-2.23698031190805
"9035","AEN",0.000542425060458243,0.73908366408113,11.9988222686168,1,2222.3527031092,-10
"3709","HSPA9",0.0005743869287065,0.73908366408113,11.8915738329784,1,2222.3527031092,0.747929950979351
"10079","MLX",0.000616680267206833,0.73908366408113,11.758575705736,1,2222.3527031092,-1.77668805514574
"4159","SRPK1",0.000666979083744714,0.73908366408113,11.6119161515651,1,2222.3527031092,-1.77056535718603
"2208","OXNAD1",0.000690678605168878,0.73908366408113,11.5466472887274,1,2222.3527031092,1.32760553603272
"4781","POM121",0.00112063469705701,0.958966534868676,10.6446217935943,1,2222.3527031092,-1.25578637588262
"7038","TBC1D10C",0.00142934532234115,0.958966534868676,10.1931360900951,1,2222.3527031092,-10
"8970","SNX33",0.00147894348363886,0.958966534868676,10.1299567120535,1,2222.3527031092,-10
"3683","CDKN2AIPNL",0.0019267636416738,0.958966534868676,9.64104499685298,1,2222.3527031092,1.68638041855543
"4542","TCP1",0.00192807182324618,0.958966534868676,9.63979284310378,1,2222.3527031092,0.994327638305454
"6815","ARFGAP2",0.00195163531481515,0.958966534868676,9.61738495464841,1,2222.3527031092,0.909664219989687
"7039","RPS6KB2",0.00199434030241842,0.958966534868676,9.57746511323602,1,2222.3527031092,1.00973962155518
"6469","ARMH3",0.00209231002095695,0.958966534868676,9.48906912363431,1,2222.3527031092,-0.695313331482125
"5597","LRRC14",0.00217391149524047,0.958966534868676,9.41859110353045,1,2222.3527031092,2.02643122724462
"6554","HTRA1",0.00220663152254632,0.958966534868676,9.39108265546762,1,2222.3527031092,-2.0077498927004
"6170","RSU1",0.0022096306472095,0.958966534868676,9.38858197327487,1,2222.3527031092,0.62834785687188
"4597","RBAK",0.00235288123891394,0.958966534868676,9.27298633647002,1,2222.3527031092,1.35443689955158
"9814","CHD3",0.00236914355850758,0.958966534868676,9.2603177057981,1,2222.3527031092,-1.15264207831385
"7853","CRY1",0.00254897818326744,0.958966534868676,9.12583374393494,1,2222.3527031092,-10
"12257","PICK1",0.00255613504337204,0.958966534868676,9.12068310805129,1,2222.3527031092,-10
"3022","GUF1",0.00279187330665947,0.958966534868676,8.95874580861429,1,2222.3527031092,1.2099951147073
"4588","BRAT1",0.00282599078505428,0.958966534868676,8.93646730247187,1,2222.3527031092,1.20551168467017
"12489","USP11",0.00288462911910642,0.958966534868676,8.89880798294313,1,2222.3527031092,-2.33184499296107
"11662","SLC23A2",0.00327519571300481,0.958966534868676,8.6662478944092,1,2222.3527031092,-0.643636315358635
