"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"4602","ACTB",4.36301708655192e-33,5.60255024084132e-29,148.189541556117,1,2306.1843784101,1.09614941518103
"10409","ACTG1",2.37681300902968e-13,1.52603279244751e-09,54.3068300214503,1,2306.1843784101,-1.02279007709947
"800","S100A4",7.31710590817273e-08,0.00031319652322282,29.1680896751106,1,2306.1843784101,0.816222168931091
"6690","STK33",1.89105133301238e-06,0.006070747541803,22.8197481901542,1,2306.1843784101,3.71346082782251
"9459","MT1M",2.49519728295499e-06,0.00640816566208502,22.2819341827121,1,2306.1843784101,3.76589592977298
"6208","SVIL",2.9976409239418e-06,0.0064154511840561,21.9263723415207,1,2306.1843784101,1.43431718017301
"6641","CD81",4.11660395332342e-06,0.00755161590923228,21.3122412324207,1,2306.1843784101,0.460654671148519
"3545","ARSB",6.71337825416377e-06,0.0107758112702146,20.3670198850322,1,2306.1843784101,0.637069803569688
"2681","CLSTN2",8.40353467727176e-06,0.0119899765323163,19.9337448486214,1,2306.1843784101,4.14434408268828
"10959","TPM4",2.91156838720709e-05,0.0373874496601262,17.5448873700491,1,2306.1843784101,-0.503128571872132
"1648","GPAT2",6.87966570057491e-05,0.0782740652950659,15.9016651985028,1,2306.1843784101,4.20961470947299
"500","DNAJC6",7.31476351951399e-05,0.0782740652950659,15.7848186410269,1,2306.1843784101,2.29234963728247
"7058","GAL",8.43552551085317e-05,0.0833235254498965,15.5133815470842,1,2306.1843784101,2.08212832206264
"2793","DCUN1D1",9.21925737919124e-05,0.0845603457187105,15.3443560378447,1,2306.1843784101,0.582063589166729
"3651","FBN2",0.00015630713982591,0.131145757426194,14.3421773219099,1,2306.1843784101,0.995946417887448
"11437","NKG7",0.000163408778040582,0.131145757426194,14.2580165775121,1,2306.1843784101,2.25378194847203
"5852","INVS",0.000179718005085827,0.132210760187574,14.0779183559256,1,2306.1843784101,0.489767585445333
"111","TNFRSF8",0.000185327753553176,0.132210760187574,14.0197597420603,1,2306.1843784101,-3.53644692382672
"1110","RAB7B",0.000197467481813493,0.133456838629846,13.8997530482841,1,2306.1843784101,-0.701876418367227
"5368","SGK3",0.000272654044034789,0.175057528972537,13.290511531788,1,2306.1843784101,0.343673039167913
"4062","TNF",0.000372103239559537,0.227532271389715,12.7049299586876,1,2306.1843784101,2.59840397065594
"323","CSF3R",0.000452284453195028,0.263990211976243,12.3383335686817,1,2306.1843784101,0.622515685266279
"1676","TSGA10",0.000499314436277616,0.276540243770931,12.1527584457256,1,2306.1843784101,0.75340747578389
"11248","RABAC1",0.000516857398216832,0.276540243770931,12.0880245430988,1,2306.1843784101,0.502043117047821
"1095","PLEKHA6",0.000591046588161132,0.284002250217523,11.8367984311675,1,2306.1843784101,3.79558976949789
"6700","ZNF143",0.000593128487855111,0.284002250217523,11.830217184921,1,2306.1843784101,0.785744604766951
"5613","VLDLR",0.000597154486089333,0.284002250217523,11.817556265585,1,2306.1843784101,2.30443943178243
"11808","MAFB",0.000621126000036514,0.284852820231031,11.7439121179004,1,2306.1843784101,-0.348383815132351
"1905","FAM171B",0.000808733142265191,0.3563987121547,11.2508695746423,1,2306.1843784101,2.03621799062147
"3148","TIGD2",0.000834039606715936,0.3563987121547,11.193406476481,1,2306.1843784101,-10
"7718","TAFA2",0.000864597390431108,0.3563987121547,11.1263251210461,1,2306.1843784101,0.72525087745527
"2720","MED12L",0.000913227233516613,0.3563987121547,11.0243658246045,1,2306.1843784101,3.20080223358264
"7572","CCDC65",0.000915906666233557,0.3563987121547,11.0189088072487,1,2306.1843784101,-3.14376091627585
"5710","GBA2",0.000985776815104845,0.3691739928618,10.8820383659463,1,2306.1843784101,1.0368478980039
"3647","LMNB1",0.00101039767876634,0.3691739928618,10.8361363010521,1,2306.1843784101,-10
"92","DFFA",0.00109511909517251,0.3691739928618,10.6864105048003,1,2306.1843784101,0.800379732416534
"8925","PAQR5",0.00109758378629708,0.3691739928618,10.682232300063,1,2306.1843784101,-1.81043087040898
"1603","CTNNA2",0.00111042337041386,0.3691739928618,10.6606188116417,1,2306.1843784101,3.7404422760559
"12135","DRICH1",0.0011212355518737,0.3691739928618,10.6426134880892,1,2306.1843784101,-10
"9185","ZSCAN32",0.00119073430493406,0.382255480241457,10.5309147849371,1,2306.1843784101,-1.87364335708893
"82","PIK3CD",0.00122976928714619,0.385157741859616,10.4710384669102,1,2306.1843784101,0.739491372120392
"5447","SDC2",0.00127289909794731,0.389173745636699,10.4070795050402,1,2306.1843784101,-0.413776702303499
"1730","IL1RN",0.00131204020875712,0.391811821410468,10.3509076219007,1,2306.1843784101,-0.638518166328384
"19","DVL1",0.00147892093615854,0.431609630482087,10.1290640562571,1,2306.1843784101,-3.0701643543699
"3737","TAF7",0.00153771721481453,0.438796150120741,10.0569038362277,1,2306.1843784101,0.456847134974163
"6066","NACC2",0.00157294620499268,0.439091352571978,10.0149955102891,1,2306.1843784101,0.782194923285236
"9969","SUZ12",0.00168833850843653,0.461275633762415,9.88409988111268,1,2306.1843784101,-0.560935650692009
"10117","GRN",0.00174278474576959,0.461279673630211,9.82545718318538,1,2306.1843784101,0.215886439892103
"4603","FSCN1",0.00176019811602526,0.461279673630211,9.80709319351155,1,2306.1843784101,-2.58680450912374
"11758","GGT7",0.00180241389992426,0.462895937778548,9.76332668471843,1,2306.1843784101,0.867994580277619
"5807","IPPK",0.00189012293654348,0.47313514648254,9.67562744312392,1,2306.1843784101,-1.87935614350637
"9756","SCIMP",0.00191597442699884,0.47313514648254,9.65056541930472,1,2306.1843784101,0.669571322504247
"7947","GATC",0.00209365285598862,0.496668618816268,9.48707407490767,1,2306.1843784101,0.856411281563708
"8828","TMOD2",0.002140548350359,0.496668618816268,9.4462702267019,1,2306.1843784101,0.745835767552664
"7574","ARF3",0.00216629402800238,0.496668618816268,9.42425295925815,1,2306.1843784101,-0.540568819218375
"10073","STAT3",0.00223209177641948,0.496668618816268,9.36916888736581,1,2306.1843784101,0.357889958549071
"11527","TMEM238",0.00224379739036632,0.496668618816268,9.35954221348772,1,2306.1843784101,1.66531200734839
"12688","LONRF3",0.00228369347837589,0.496668618816268,9.3271105777283,1,2306.1843784101,-1.10541724269928
"7819","GAS2L3",0.00235516978096263,0.496668618816268,9.27042026865926,1,2306.1843784101,0.861829691651816
"2551","USF3",0.00243570470386921,0.496668618816268,9.20860177562761,1,2306.1843784101,-0.86095987037994
"1418","NLRC4",0.00249235321109485,0.496668618816268,9.16634966034244,1,2306.1843784101,0.710650685462342
"9250","PDXDC1",0.002506159442609,0.496668618816268,9.15619991603954,1,2306.1843784101,0.425697180578827
"11877","DPM1",0.00252286516700901,0.496668618816268,9.14399425679022,1,2306.1843784101,0.665216602333099
"10040","ORMDL3",0.00257484562983607,0.496668618816268,9.10653445649951,1,2306.1843784101,-2.30683003587625
"7628","PFDN5",0.00258027666191176,0.496668618816268,9.10266498472651,1,2306.1843784101,-0.201402493759047
"7800","VEZT",0.00264721092956388,0.496668618816268,9.05564400859211,1,2306.1843784101,0.510531531118442
"10504","SNRPD1",0.00267305720962557,0.496668618816268,9.03780963545333,1,2306.1843784101,-0.739586785175692
"6386","KIF20B",0.00267617000551013,0.496668618816268,9.03567358412322,1,2306.1843784101,0.866081587623825
"6936","FERMT3",0.00267693540142815,0.496668618816268,9.03514874362982,1,2306.1843784101,-0.540378106678371
"5047","STRIP2",0.00273781734258735,0.496668618816268,8.99388243807057,1,2306.1843784101,2.6568662156208
