"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"12079","ADA2",3.48249776935871e-82,4.47187538563352e-78,398.831583319853,1,2389.14925055548,1.35198781036479
"6089","PTGDS",3.28518450039307e-17,2.10925270847737e-13,72.2510863985849,1,2389.14925055548,4.70457704797202
"4707","AMPH",2.30907421515793e-05,0.082876847416831,17.9868249195016,1,2389.14925055548,2.77562390065086
"3577","ADGRV1",2.94013049130771e-05,0.082876847416831,17.5237452022897,1,2389.14925055548,2.65861998203616
"5490","UTP23",3.22704023895456e-05,0.082876847416831,17.345452293396,1,2389.14925055548,0.841038495100158
"3901","SQSTM1",9.87258528425044e-05,0.189241291521988,15.2123137672671,1,2389.14925055548,0.369367244161902
"7083","CLPB",0.000103160894062294,0.189241291521988,15.1288104897035,1,2389.14925055548,0.751777080771411
"1521","PELI1",0.000147930870333228,0.237447538243622,14.4448666935361,1,2389.14925055548,0.60622698689102
"3965","PHACTR1",0.000207228464448832,0.252142995247755,13.8070011426322,1,2389.14925055548,0.738881677317709
"10382","USP36",0.000212212042272695,0.252142995247755,13.7620969939024,1,2389.14925055548,-0.795028573583571
"2440","ERC2",0.000215993532258025,0.252142995247755,13.7287280673743,1,2389.14925055548,2.81087546599184
"495","ROR1",0.000239372890672401,0.256148940760358,13.53465999296,1,2389.14925055548,3.4278283068197
"3269","PRMT9",0.000314477140820689,0.310630843482959,13.0202009908941,1,2389.14925055548,-0.942127939173771
"4189","TREM1",0.000406004692686471,0.359825189985279,12.5397637016244,1,2389.14925055548,1.580041912185
"558","COL24A1",0.000420323794858592,0.359825189985279,12.4746659692074,1,2389.14925055548,1.76726318567542
"460","LRP8",0.000496869751202758,0.366743283389616,12.1607580273827,1,2389.14925055548,1.41354304068276
"11827","PABPC1L",0.000507530175308834,0.366743283389616,12.1209651328423,1,2389.14925055548,-3.31424475018278
"7028","PC",0.000554568306209924,0.366743283389616,11.9549117713005,1,2389.14925055548,-0.653715105025815
"9402","HSD3B7",0.000575818089590097,0.366743283389616,11.8845115300892,1,2389.14925055548,-0.782668686720838
"4438","ENPP3",0.000589136783070667,0.366743283389616,11.8417129147659,1,2389.14925055548,3.11975752739795
"10222","RNF43",0.00059976707041367,0.366743283389616,11.8082491255387,1,2389.14925055548,3.53006245755939
"2537","DZIP3",0.000673166500331082,0.392915046852338,11.5923623637759,1,2389.14925055548,0.684431972368068
"1855","TLK1",0.000764980187782584,0.427091764839833,11.3535936293494,1,2389.14925055548,0.343935075111041
"246","PHACTR4",0.00085510984276786,0.457519395457587,11.1458743381958,1,2389.14925055548,0.295537498588392
"4052","GTF2H4",0.00120106437676159,0.582948642334887,10.51396768469,1,2389.14925055548,-1.73527595055067
"5933","PTGS1",0.00126934407808792,0.582948642334887,10.4113742872275,1,2389.14925055548,-0.928600887560062
