"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"8856","ADAM10",7.40662216685301e-36,9.51084352445596e-32,161.731996888767,1,2300.2291069074,1.22349983569692
"6266","BICC1",3.6212634491008e-05,0.219806623924625,17.1273935090414,1,2300.2291069074,2.96256258857524
"12043","CSTB",5.13526884022955e-05,0.219806623924625,16.4596815879218,1,2300.2291069074,-0.501999756947319
"3284","TLR2",7.68382812470191e-05,0.246670092373243,15.6912117272999,1,2300.2291069074,0.639906094611262
"1512","FAM161A",0.000137828445925495,0.350978509885262,14.5807715065432,1,2300.2291069074,1.766407329513
"3583","MCTP1",0.00016948019258809,0.350978509885262,14.1890587268694,1,2300.2291069074,0.445706837013032
"11639","PCED1A",0.000191328523416933,0.350978509885262,13.9595969396866,1,2300.2291069074,1.15942224839513
"1715","MTLN",0.000310292960920794,0.498058988897989,13.0469038127838,1,2300.2291069074,-1.35204851354361
"1462","LRPPRC",0.00052485775225802,0.661437834364983,12.0593248333152,1,2300.2291069074,0.687008326556321
"9511","E2F4",0.000536040429402143,0.661437834364983,12.0198195190985,1,2300.2291069074,1.07283193825426
"12340","KIAA0930",0.000694501886176419,0.661437834364983,11.5352304917458,1,2300.2291069074,-0.459943052030173
"8110","RGCC",0.000758232933196637,0.661437834364983,11.3712635687597,1,2300.2291069074,-1.08085448460086
"5586","FBXL6",0.000793350113900299,0.661437834364983,11.2867730298172,1,2300.2291069074,-10
"5569","PARP10",0.000881325032842183,0.661437834364983,11.0906879842603,1,2300.2291069074,0.721657673999718
"9153","PGP",0.000898238494056661,0.661437834364983,11.05526903036,1,2300.2291069074,-0.750746687474765
"2416","BAP1",0.000943773241781708,0.661437834364983,10.9631673030556,1,2300.2291069074,-1.6113782940977
"2171","TATDN2",0.000961883538948376,0.661437834364983,10.9277800827583,1,2300.2291069074,0.82283292382351
"361","RIMS3",0.0010284795288112,0.661437834364983,10.8032120932927,1,2300.2291069074,-10
"2196","NR2C2",0.00104186175813085,0.661437834364983,10.7791678481729,1,2300.2291069074,0.644280671968703
