"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"173","C1QB",2.44863592779356e-13,3.14429339487972e-09,54.2512782988154,1,2290.81952246723,1.06778942148344
"172","C1QC",6.82355628284649e-07,0.00438106431140159,24.803018197354,1,2290.81952246723,0.621902457306911
"7992","RILPL2",0.000124322876642648,0.362641461833948,14.7766227902166,1,2290.81952246723,-0.76143506922763
"5481","OXR1",0.000222729648710846,0.362641461833948,13.6725192006694,1,2290.81952246723,-0.795052492304721
"4798","RFC2",0.000252802091433213,0.362641461833948,13.4333960526244,1,2290.81952246723,-2.33544063094343
"7758","TBC1D15",0.000259317715557773,0.362641461833948,13.3853811752766,1,2290.81952246723,0.675409612792766
"1337","RHOB",0.000262616589029847,0.362641461833948,13.361533203948,1,2290.81952246723,1.32314199527916
"12280","SYNGR1",0.000317012910550703,0.362641461833948,13.0067131271524,1,2290.81952246723,1.00603001167355
"10285","C17orf58",0.000320180838865192,0.362641461833948,12.9879878079593,1,2290.81952246723,-2.70702464622914
"9836","GAS7",0.000334486998815986,0.362641461833948,12.9056903821022,1,2290.81952246723,0.327993756045873
"5659","TUSC1",0.000345689440186942,0.362641461833948,12.8436903580302,1,2290.81952246723,-10
"4037","GNL1",0.00038749527434853,0.362641461833948,12.6289778356896,1,2290.81952246723,-1.54154297053802
"9458","MT1E",0.000394126296408343,0.362641461833948,12.5970854468668,1,2290.81952246723,2.15273365224339
"9847","HS3ST3B1",0.000434711932437041,0.362641461833948,12.4129650289108,1,2290.81952246723,-3.52792509415062
"27","FNDC10",0.000446264393988111,0.362641461833948,12.3637243542534,1,2290.81952246723,-10
"7256","RNF214",0.000451854480908276,0.362641461833948,12.3403577084242,1,2290.81952246723,-1.12565997568453
"3548","HOMER1",0.000516395981480582,0.390061223423068,12.0899283655571,1,2290.81952246723,-10
"7968","RHOF",0.000586558588423858,0.417317309955076,11.8512869722972,1,2290.81952246723,-3.25161523201272
"5064","AGBL3",0.000617477524269639,0.417317309955076,11.7551512451395,1,2290.81952246723,-10
"2537","DZIP3",0.000671799095832608,0.431328609479326,11.5974727554878,1,2290.81952246723,0.875739923947856
"7033","SSH3",0.00111528325823138,0.681969158045199,10.6526841453594,1,2290.81952246723,1.38700411726552
"241","PTAFR",0.00123167981887414,0.688048144469642,10.4683318514867,1,2290.81952246723,0.456012511141741
"11743","NECAB3",0.00130557827239761,0.688048144469642,10.3602341990932,1,2290.81952246723,-10
"6310","CDH23",0.00139105799609664,0.688048144469642,10.2426725447888,1,2290.81952246723,0.952913533174561
"10535","INO80C",0.00143821836908669,0.688048144469642,10.180907242471,1,2290.81952246723,1.09394375024345
"1572","TPRKB",0.00151514002037228,0.688048144469642,10.0844388188165,1,2290.81952246723,-1.18714423745192
"2044","GLB1L",0.00160989325282348,0.688048144469642,9.97221237689556,1,2290.81952246723,-10
"621","FAM102B",0.00162700476657721,0.688048144469642,9.95266115040958,1,2290.81952246723,-0.591705350630733
"5427","LRRC69",0.00181124608708289,0.688048144469642,9.75445401965973,1,2290.81952246723,0.813693302749511
"11389","CD37",0.00190453046605825,0.688048144469642,9.66176693944116,1,2290.81952246723,-0.679928184280203
"12648","ARMCX5",0.0019049355514651,0.688048144469642,9.66137457161851,1,2290.81952246723,-10
"8522","LTBP2",0.00195689254174978,0.688048144469642,9.6117378962905,1,2290.81952246723,-10
"599","PTBP2",0.00204594289239674,0.688048144469642,9.5296954918669,1,2290.81952246723,-0.584142744353505
"7527","AMN1",0.00210109772357636,0.688048144469642,9.48067904323182,1,2290.81952246723,-1.47290464374064
"1956","NIF3L1",0.00211388967676798,0.688048144469642,9.46949735529306,1,2290.81952246723,1.12128835237184
"9766","KIAA0753",0.00212073129187168,0.688048144469642,9.46354512424893,1,2290.81952246723,-1.49311377440373
"9036","ISG20",0.00214496465291677,0.688048144469642,9.44261767285886,1,2290.81952246723,-0.871165717812109
"7828","PARPBP",0.00216119529935437,0.688048144469642,9.42873496746424,1,2290.81952246723,1.44429406379418
"8853","ALDH1A2",0.00218879652000616,0.688048144469642,9.40536780309137,1,2290.81952246723,-1.6619689234583
"1878","HNRNPA3",0.00220732867143513,0.688048144469642,9.38984573706235,1,2290.81952246723,0.389189372213887
"8623","CCDC85C",0.00220804435374241,0.688048144469642,9.38924895561327,1,2290.81952246723,3.01569485132467
"8911","AAGAB",0.00234761421072632,0.688048144469642,9.27646815502161,1,2290.81952246723,-0.940379611785724
"2634","HMCES",0.00237475917226384,0.688048144469642,9.2553259611051,1,2290.81952246723,-2.0074465374318
"937","FCRLA",0.0023791575024259,0.688048144469642,9.25192338413846,1,2290.81952246723,3.37490218898089
