"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"7427","C3AR1",2.78449864905826e-21,3.57557471525571e-17,91.5329990647181,1,2238.07042470007,1.61829865502257
"7682","IL23A",2.53221223984866e-06,0.0162580686859483,22.2567894026404,1,2238.07042470007,4.31262530477378
"7950","COQ5",0.000221974499120067,0.900091489644744,13.6799662709021,1,2238.07042470007,1.36608287298475
"99","MTOR",0.000306251919346295,0.900091489644744,13.0727056712938,1,2238.07042470007,-1.78124352150263
"5857","MRPL50",0.000350475620919221,0.900091489644744,12.8187268175173,1,2238.07042470007,1.07221546007914
"1965","STRADB",0.00046955085061037,0.95653996757195,12.2691024661261,1,2238.07042470007,1.17643424799273
"2785","ACTL6A",0.00061215064512259,0.95653996757195,11.7721344481822,1,2238.07042470007,1.36128940017821
"3844","ERGIC1",0.00066900694333194,0.95653996757195,11.6060095445587,1,2238.07042470007,-1.14080024484179
"5003","SMIM30",0.000904426980297076,0.95653996757195,11.0432796799742,1,2238.07042470007,-1.34930313401372
"4620","CCZ1B",0.00102468615555925,0.95653996757195,10.8108551622022,1,2238.07042470007,1.38984623062571
"9470","CCL22",0.0010434979969877,0.95653996757195,10.7770146160573,1,2238.07042470007,3.25297341275818
"5318","VDAC3",0.00112600393640229,0.95653996757195,10.6355440153514,1,2238.07042470007,0.726730526912768
"4957","POLR2J3",0.00120515367730076,0.95653996757195,10.5093653011436,1,2238.07042470007,0.682466176274435
"882","MRPL24",0.00121514868668681,0.95653996757195,10.4940315646061,1,2238.07042470007,1.71324171922426
"7470","HEBP1",0.00150821674149807,0.95653996757195,10.09349102939,1,2238.07042470007,0.631183293639636
"9781","DVL2",0.0015234841999997,0.95653996757195,10.0748473933122,1,2238.07042470007,-10
"6675","DNHD1",0.00160184849468137,0.95653996757195,9.98204027821156,1,2238.07042470007,0.940676951889532
"7884","GPN3",0.00171173004776712,0.95653996757195,9.85937943288805,1,2238.07042470007,-2.03174160897519
"1493","RTN4",0.00181181616958674,0.95653996757195,9.75441199386206,1,2238.07042470007,0.382683950698576
"2099","COPS8",0.00189576358263541,0.95653996757195,9.67080961503337,1,2238.07042470007,1.17824431312038
"3371","NDUFS6",0.00191735939071274,0.95653996757195,9.64990974661938,1,2238.07042470007,0.583947133908608
"10464","MYOM1",0.00203432084497971,0.95653996757195,9.54071175593736,1,2238.07042470007,-2.66213058305229
"7482","PTPRO",0.00217386010005779,0.95653996757195,9.41847977087443,1,2238.07042470007,0.83328501682079
"9564","DDX19B",0.00224257834999014,0.95653996757195,9.36118161666539,1,2238.07042470007,1.01524660684542
"9356","ASPHD1",0.0022659251593447,0.95653996757195,9.34211964192307,1,2238.07042470007,-10
"854","YY1AP1",0.00227387730560556,0.95653996757195,9.33567244680974,1,2238.07042470007,0.709882603757341
"5779","RMI1",0.00253088445611777,0.95653996757195,9.13877496243867,1,2238.07042470007,-2.02974900217304
"11813","CHD6",0.00261104322623859,0.95653996757195,9.08150303886609,1,2238.07042470007,-0.798070979270058
"6281","HERC4",0.00261841706812398,0.95653996757195,9.07632457053468,1,2238.07042470007,0.428671724314676
"9503","C16orf70",0.00269221977926038,0.95653996757195,9.02529624072356,1,2238.07042470007,-1.15364466521424
"5610","DOCK8",0.0027002298331932,0.95653996757195,9.01984368598462,1,2238.07042470007,0.328887847332774
"7466","DUSP16",0.00288695083515248,0.95653996757195,8.89719397546215,1,2238.07042470007,0.873513961465461
"1637","KRCC1",0.0029361559170957,0.95653996757195,8.86621464995304,1,2238.07042470007,-0.895025197658617
"9310","PRKCB",0.00310126779256,0.95653996757195,8.76598805853935,1,2238.07042470007,0.581366391285094
"7944","SIRT4",0.00310687640113893,0.95653996757195,8.76267952246797,1,2238.07042470007,2.32204252956918
"8428","ARID4A",0.00313296054962194,0.95653996757195,8.74737178052754,1,2238.07042470007,0.540382673487612
"2005","SPAG16",0.00322928121645076,0.95653996757195,8.69194680216443,1,2238.07042470007,-2.40617222164131
"6129","TASOR2",0.00341468063977168,0.95653996757195,8.58984414321619,1,2238.07042470007,0.61087750384468
"1283","ZNF670",0.00343544542844029,0.95653996757195,8.57876156033926,1,2238.07042470007,-10
"1453","EML4",0.00350092668308678,0.95653996757195,8.54425403994443,1,2238.07042470007,0.479174374986966
"3889","CLK4",0.00356755431610653,0.95653996757195,8.50981002217575,1,2238.07042470007,-1.48682307598585
"7633","MAP3K12",0.00377426721668923,0.95653996757195,8.40697000152334,1,2238.07042470007,-10
"9541","DDX28",0.00402131211558261,0.95653996757195,8.29133507534684,1,2238.07042470007,-10
"8733","IVD",0.00411936138243668,0.95653996757195,8.24743412750841,1,2238.07042470007,0.82187294275046
"2738","CCNL1",0.00445336914668168,0.95653996757195,8.10549125570383,1,2238.07042470007,-0.803371413063486
"11969","GABPA",0.00455427761154077,0.95653996757195,8.06473642727419,1,2238.07042470007,-1.55430953175837
"3562","ATG10",0.00471410540314682,0.95653996757195,8.0020318782271,1,2238.07042470007,0.705351045143205
"5168","DNAJB6",0.00473738044041103,0.95653996757195,7.99308166295705,1,2238.07042470007,-0.422290291931758
"10292","FAM20A",0.00485467971613251,0.95653996757195,7.94864686457171,1,2238.07042470007,0.793477830555031
"4010","HMGN4",0.00506264855968299,0.95653996757195,7.87249116707744,1,2238.07042470007,-1.45087326330853
"1436","CDC42EP3",0.00509515291445773,0.95653996757195,7.86087746616928,1,2238.07042470007,1.44371436871027
"893","AIM2",0.00526561167517574,0.95653996757195,7.80118445771964,1,2238.07042470007,1.44318128369072
"8015","ADGRD1",0.00533304735252326,0.95653996757195,7.77811155878466,1,2238.07042470007,2.71687275758294
"9392","TMEM265",0.00542875884776489,0.95653996757195,7.74587017702062,1,2238.07042470007,-10
"2027","USP37",0.00547498820833496,0.95653996757195,7.73050449360427,1,2238.07042470007,0.715318030158997
"4851","GTPBP10",0.00572624461979513,0.95653996757195,7.6492413645822,1,2238.07042470007,0.89064337909069
"10828","ANGPTL6",0.00575055617421019,0.95653996757195,7.64157231667403,1,2238.07042470007,-10
"12216","TIMP3",0.00593062190802096,0.95653996757195,7.58578071663403,1,2238.07042470007,1.20920313410168
"8054","MIPEP",0.00611306151263426,0.95653996757195,7.5309904105322,1,2238.07042470007,-1.971793073108
"4261","FBXO9",0.00622883479589107,0.95653996757195,7.49708073874858,1,2238.07042470007,0.60447007222243
"12262","DDX17",0.00627256018152865,0.95653996757195,7.48444089530413,1,2238.07042470007,-0.349022852303593
"8954","ULK3",0.00634459785354843,0.95653996757195,7.46381172906432,1,2238.07042470007,1.56144493573266
"5150","ABCF2",0.00648073983438008,0.95653996757195,7.42547056385432,1,2238.07042470007,-2.74626895396292
"916","TSTD1",0.0065298571776567,0.95653996757195,7.41183949804161,1,2238.07042470007,0.952749049834647
"5657","CDKN2A",0.00660955259399888,0.95653996757195,7.38994375401597,1,2238.07042470007,1.82923628936326
"4619","ZNF12",0.00672394829670553,0.95653996757195,7.35898141896049,1,2238.07042470007,-1.82295174616173
"7477","WBP11",0.00678246985816099,0.95653996757195,7.34334949240699,1,2238.07042470007,-0.813845919490164
"10257","MAP3K3",0.00688232710739668,0.95653996757195,7.31699186211597,1,2238.07042470007,0.517826922848173
"4415","MAN1A1",0.0069951524187024,0.95653996757195,7.28767762173826,1,2238.07042470007,0.559795942713623
"9904","USP22",0.00700491872466977,0.95653996757195,7.28516291303325,1,2238.07042470007,0.579425497463675
