"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"888","CD1D",2.69866533367572e-45,3.46535615497299e-41,208.587026213175,1,2264.84156353765,3.44549123499267
"2109","HES6",4.79293821698234e-35,3.07730598221351e-31,157.845687096498,1,2264.84156353765,6.15804100248884
"3022","GUF1",8.61345646141095e-06,0.0368684648069927,19.8878048484345,1,2264.84156353765,1.37228611584265
"4444","VNN2",2.22220825150534e-05,0.0604476686337178,18.0643231633185,1,2264.84156353765,1.41410939437795
"11857","SULF2",2.35369786752269e-05,0.0604476686337178,17.9540142986281,1,2264.84156353765,1.02888495646497
"4277","FAM135A",3.15117026070603e-05,0.0674402955295434,17.3946663117674,1,2264.84156353765,0.664444342439869
"11533","SSC5D",5.09348169086126e-05,0.0934362834176421,16.4762590582175,1,2264.84156353765,2.80694046812193
"3044","TMEM165",6.85840452154328e-05,0.110085965576422,15.9086263837819,1,2264.84156353765,0.503483853206025
"655","OVGP1",9.29735745205253e-05,0.132652630046452,15.3293009718888,1,2264.84156353765,3.60614650804677
"10774","GPR108",0.000103776115014548,0.133258909290181,15.1203075253448,1,2264.84156353765,-1.49940870884011
"3379","SEMA5A",0.000121063384161065,0.141324992364748,14.8276368856682,1,2264.84156353765,2.0983424157079
"6597","MTG1",0.000146323529641754,0.156578370344147,14.4681344333419,1,2264.84156353765,-1.53294098027091
"4551","SFT2D1",0.000264209884000082,0.260978393880388,13.3506019038253,1,2264.84156353765,-0.835876852764761
"1997","PTH2R",0.00034958548289723,0.320644798991667,12.8230449605268,1,2264.84156353765,2.36032086044711
"8568","FLRT2",0.000417094299413176,0.357060526584307,12.4910827098624,1,2264.84156353765,0.929566560443681
"2600","HACD2",0.0005185046896757,0.399801480968237,12.0826850407073,1,2264.84156353765,-1.33979197183342
"5820","FBP1",0.000558194102712458,0.399801480968237,11.944481895644,1,2264.84156353765,0.651032514666847
"6740","SPTY2D1OS",0.000560425718980474,0.399801480968237,11.9370087522858,1,2264.84156353765,1.66003871195826
"12407","PRPS2",0.000614617137439422,0.415384140097875,11.7642137795737,1,2264.84156353765,1.12711769420148
"5092","BRAF",0.000706857764929186,0.416998236722176,11.5027711631323,1,2264.84156353765,0.489283056868602
"9392","TMEM265",0.000707649978979928,0.416998236722176,11.5006784522113,1,2264.84156353765,-10
"11311","TRAPPC6A",0.000727494173519885,0.416998236722176,11.4490167850735,1,2264.84156353765,-1.60350928010353
"323","CSF3R",0.000779216823513487,0.416998236722176,11.3207864730924,1,2264.84156353765,0.704395195034402
"10031","FBXL20",0.000779375257482457,0.416998236722176,11.3204070562206,1,2264.84156353765,0.469843865840809
"1546","GMCL1",0.000862910970394115,0.443225590833233,11.1304978296735,1,2264.84156353765,0.808798226564937
"7192","MMP7",0.000926879672849339,0.457771610733014,10.9972495385633,1,2264.84156353765,2.49748027774221
"7907","OAS1",0.000988546864957705,0.470145566404514,10.877327030498,1,2264.84156353765,-0.511953738272815
"1796","MBD5",0.00126495315704333,0.580116553199765,10.4191665549209,1,2264.84156353765,0.390777166597003
"10276","GNA13",0.00132766775436648,0.587882125304137,10.3294156425668,1,2264.84156353765,0.437406748451186
"2366","DAG1",0.00149457034198849,0.625734580133171,10.1100214888423,1,2264.84156353765,1.21830118202022
"8259","RNASE4",0.00151535969912705,0.625734580133171,10.0844499817284,1,2264.84156353765,0.93339283704246
"2111","TRAF3IP1",0.00158325710109678,0.625734580133171,10.0033446382934,1,2264.84156353765,-1.67796487248217
"3240","ELF2",0.00169648619838355,0.625734580133171,9.87562777157458,1,2264.84156353765,0.394013304143403
"11803","BPI",0.00171527480838614,0.625734580133171,9.85527442746486,1,2264.84156353765,1.78209131610686
"10764","ALKBH7",0.00174722781488537,0.625734580133171,9.82117403729653,1,2264.84156353765,-0.778017921426499
"7843","WASHC4",0.00175932620095041,0.625734580133171,9.80842737801255,1,2264.84156353765,0.344471589214558
"9910","WSB1",0.00180734110953002,0.625734580133171,9.75870139497571,1,2264.84156353765,0.34375020342524
"6449","BLOC1S2",0.00185171824975162,0.625734580133171,9.7139201307435,1,2264.84156353765,-0.609297652018114
"2799","KLHL24",0.0019828412827681,0.652863202872439,9.58770023604285,1,2264.84156353765,0.537049705697388
"7522","CAPRIN2",0.0021286418301457,0.653046848266097,9.45693446179811,1,2264.84156353765,-1.85753254753337
"1831","DPP4",0.00215088598064075,0.653046848266097,9.43778695141204,1,2264.84156353765,0.993163750991701
"4592","GNA12",0.00221075113920466,0.653046848266097,9.38723747296692,1,2264.84156353765,0.436206864321468
"7400","MLF2",0.00226302824236111,0.653046848266097,9.34421905226944,1,2264.84156353765,-0.772687491941752
"9569","SF3B3",0.0022908674971006,0.653046848266097,9.32172022318466,1,2264.84156353765,-1.14847973038194
