"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10308","CD300A",1.21474326519693e-50,1.55985182683938e-46,235.141869399398,1,2335.79958241464,2.11047326118058
"800","S100A4",2.02032756240268e-15,1.29715131144064e-11,63.9174062362645,1,2335.79958241464,1.08225656798959
"323","CSF3R",9.76041788986809e-06,0.0417778420412654,19.6440732232514,1,2335.79958241464,0.69574620250929
"12617","ITM2A",3.19662394028483e-05,0.102619620042994,17.3651025879475,1,2335.79958241464,3.21662580530626
"8727","BUB1B",8.26580799270048e-05,0.212282480868534,15.5513581182818,1,2335.79958241464,3.77593618547411
"5940","STRBP",0.000172816280933676,0.369855643911555,14.1514469750071,1,2335.79958241464,0.848230723953562
"1110","RAB7B",0.000201622480411273,0.369862038708737,13.8598162572788,1,2335.79958241464,0.490580602272346
"1169","HLX",0.000237340406410858,0.380961019840228,13.5516963049022,1,2335.79958241464,0.99473294197304
"5615","RFX3",0.000367294389586497,0.501522669819979,12.7289113301872,1,2335.79958241464,0.479609689284705
"4280","B3GAT2",0.000483172731613243,0.501522669819979,12.213941253672,1,2335.79958241464,1.77987688678113
"3171","SLC39A8",0.000512403181349807,0.501522669819979,12.103812675078,1,2335.79958241464,0.492632466970612
"2813","CLCN2",0.000515169158081231,0.501522669819979,12.0937222354028,1,2335.79958241464,2.54407686582394
"9214","ALG1",0.000536484766456812,0.501522669819979,12.0177499227417,1,2335.79958241464,0.889976921078355
"7440","KLRB1",0.000546788986642762,0.501522669819979,11.982110713413,1,2335.79958241464,2.865700953038
"6895","FTH1",0.000603060331567856,0.51625984784419,11.7987243245778,1,2335.79958241464,-0.280289847364967
"1090","BTG2",0.00068906876084799,0.52281652172935,11.5494268692249,1,2335.79958241464,0.653409370199878
"5367","VCPIP1",0.000696046137265047,0.52281652172935,11.5306028407944,1,2335.79958241464,0.544462938165755
"2692","ATR",0.000732863280984994,0.52281652172935,11.4343315781074,1,2335.79958241464,0.454029645652654
"1534","PNO1",0.000993325470729013,0.601580245140864,10.8674886996803,1,2335.79958241464,-1.63935357824488
"7682","IL23A",0.00102830115074886,0.601580245140864,10.8031131687437,1,2335.79958241464,3.05899204342372
"6274","EGR2",0.00103231592430225,0.601580245140864,10.7958658849544,1,2335.79958241464,1.34971195525132
"439","FAF1",0.00117056392914383,0.601580245140864,10.5623028111073,1,2335.79958241464,0.344262948574924
"11966","NCAM2",0.00117408691254775,0.601580245140864,10.5567226092639,1,2335.79958241464,2.20261370999514
"12252","ANKRD54",0.00121753150558766,0.601580245140864,10.4892696719527,1,2335.79958241464,1.15481409640018
"5522","MYC",0.00127447129628571,0.601580245140864,10.4044639100618,1,2335.79958241464,-10
"6714","MICAL2",0.00128973618862786,0.601580245140864,10.382380432499,1,2335.79958241464,0.661291337926825
"11745","PXMP4",0.00134974106419162,0.601580245140864,10.298065664362,1,2335.79958241464,1.20793599583605
"7531","DNM1L",0.00139959870074829,0.601580245140864,10.2308486979712,1,2335.79958241464,0.435895788923024
"6191","MSRB2",0.00140973657659043,0.601580245140864,10.2174781641283,1,2335.79958241464,-0.629351847353308
"6212","ZEB1",0.00143388637745753,0.601580245140864,10.1860162063709,1,2335.79958241464,1.36696174645611
"9256","NDE1",0.00145230025694002,0.601580245140864,10.1623856163511,1,2335.79958241464,0.599919456893723
"2323","CCDC12",0.00151503900769056,0.607956746804828,10.0840929682278,1,2335.79958241464,0.500530445481007
"8725","SRP14",0.00162101818244557,0.626733978307938,9.95901926971982,1,2335.79958241464,-0.242992306699164
"3529","POLK",0.00174039271680332,0.626733978307938,9.82770213764124,1,2335.79958241464,0.397505262725907
"1481","FBXO11",0.00175836745405154,0.626733978307938,9.80872399770669,1,2335.79958241464,0.271859148690426
