"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10310","CD300C",9.66190148219636e-26,1.24068476932883e-21,112.735981713436,1,2292.64779584169,2.99981705030329
"11964","C21orf91",2.9418992028287e-06,0.0188884638317617,21.9633825953803,1,2292.64779584169,-10
"12775","ARHGAP4",4.51669874142488e-05,0.193329761795456,16.7050715219031,1,2292.64779584169,0.645226649183711
"7247","REXO2",9.18359740631861e-05,0.262428400818194,15.3520477937213,1,2292.64779584169,-1.38321615357019
"11519","TNNT1",0.00012645310372834,0.262428400818194,14.7443403555136,1,2292.64779584169,2.04956365511239
"6839","PRG2",0.000149336674113434,0.262428400818194,14.4289025469384,1,2292.64779584169,2.13341810660002
"673","PHTF1",0.000158844753509037,0.262428400818194,14.3119497977644,1,2292.64779584169,0.821158326771628
"2315","FYCO1",0.000184663318417002,0.262428400818194,14.0268242141664,1,2292.64779584169,1.22229332843438
"10902","FBXW9",0.000191880252583681,0.262428400818194,13.9543002697852,1,2292.64779584169,2.38093081502675
"298","SMIM12",0.000204367573256128,0.262428400818194,13.8350782466253,1,2292.64779584169,-1.13862840057204
"11702","NAA20",0.000233741835030004,0.272861718510934,13.5813378357449,1,2292.64779584169,-0.793594216122988
"7226","ALG9",0.000395919273210702,0.374038781149058,12.5885252832377,1,2292.64779584169,-1.87826656743982
"6373","PTEN",0.000406116055415381,0.374038781149058,12.5407419419143,1,2292.64779584169,0.374557695420213
"6619","GATD1",0.000407798686713403,0.374038781149058,12.5329735293157,1,2292.64779584169,-2.59187796291189
"6282","PBLD",0.000500370544145328,0.375888537921185,12.1490010409749,1,2292.64779584169,-10
"12706","MCTS1",0.000523826174109896,0.375888537921185,12.0631249619768,1,2292.64779584169,-0.781223585927606
"3405","C1QTNF3",0.000530040198188999,0.375888537921185,12.0410247166736,1,2292.64779584169,2.83224355733111
"2062","CUL3",0.000552313717134585,0.375888537921185,11.9639047104537,1,2292.64779584169,0.396313341506424
"9978","ASIC2",0.000556178040690174,0.375888537921185,11.9508453849888,1,2292.64779584169,2.37674472854864
"9084","SNRPA1",0.00065352426997889,0.401852943951817,11.6490073868842,1,2292.64779584169,-1.15983100660751
"6573","UROS",0.0006654144035445,0.401852943951817,11.6152980186088,1,2292.64779584169,-0.81993737042807
"6046","SURF1",0.000688479461641614,0.401852943951817,11.5516088593702,1,2292.64779584169,-0.807108714714859
"10803","ANGPTL4",0.00073120416872567,0.408234466548101,11.4391361135129,1,2292.64779584169,3.05090658854421
"9836","GAS7",0.000807373636377974,0.431978536030398,11.254184159346,1,2292.64779584169,0.301918904830283
"9062","UNC45A",0.000858347572078018,0.434376635949702,11.1400205827688,1,2292.64779584169,-1.46959948914274
"7251","SIK3",0.000922559742563421,0.434376635949702,11.0055973961386,1,2292.64779584169,0.349886193115069
