"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10309","CD300LB",6.15136385655504e-31,7.89896632820233e-27,137.862308687561,1,2244.54441579714,2.65867921069883
"10638","CFD",4.19997311459331e-21,2.69659273822463e-17,90.6813151883161,1,2244.54441579714,1.59865864903515
"3124","GPAT3",5.35552825049204e-06,0.0229234460881894,20.8061886439376,1,2244.54441579714,1.43865335975159
"7056","LRP5",3.20919288603917e-05,0.103023114624073,17.3603560829213,1,2244.54441579714,2.1899224142679
"12791","LAGE3",4.78820644889449e-05,0.122970718020508,16.5948979630618,1,2244.54441579714,-2.49533791424129
"768","MINDY1",6.69617828152398e-05,0.143309375521749,15.9547958677771,1,2244.54441579714,1.79060969947744
"1432","CEBPZ",0.000617650748311,0.908525790725881,11.7553001613634,1,2244.54441579714,0.925308165963853
"10800","CD320",0.000663762648595479,0.908525790725881,11.6206287264091,1,2244.54441579714,2.63358852755393
"2543","SLC35A5",0.000686117562911598,0.908525790725881,11.5587082839366,1,2244.54441579714,1.10809662798105
"2500","PROS1",0.000707519500604222,0.908525790725881,11.501309584391,1,2244.54441579714,1.85256233987098
"6600","BET1L",0.000847845157290534,0.946761951320919,11.1636047473431,1,2244.54441579714,-2.11591173093069
"4730","NUDCD3",0.000892220699462333,0.946761951320919,11.0685124850998,1,2244.54441579714,0.844163737446179
"9192","TRAP1",0.00136565494980922,0.946761951320919,10.2773486894583,1,2244.54441579714,-2.44862016779966
"8869","TLN2",0.00139229980082864,0.946761951320919,10.241536542191,1,2244.54441579714,1.19518958704252
"6354","PPIF",0.00146749367080964,0.946761951320919,10.1440979063295,1,2244.54441579714,-1.06162816020587
"10039","GSDMB",0.00157275243673025,0.946761951320919,10.0158795051346,1,2244.54441579714,2.05498353500896
"1551","TIA1",0.00160177288518936,0.946761951320919,9.98205703245371,1,2244.54441579714,-1.24218735461068
"4493","SASH1",0.00180861770591236,0.946761951320919,9.75760696773216,1,2244.54441579714,-1.25471039684196
"2261","MYD88",0.00190366962605173,0.946761951320919,9.66306413491093,1,2244.54441579714,0.779311659199217
"2270","TTC21A",0.00215609417314424,0.946761951320919,9.43352910715283,1,2244.54441579714,-10
"6659","TRIM68",0.00256682026981429,0.946761951320919,9.11281560717458,1,2244.54441579714,2.028762136816
"3901","SQSTM1",0.0027006821544326,0.946761951320919,9.01947810445626,1,2244.54441579714,-0.572083347096773
"9116","TPSB2",0.00288498677118866,0.946761951320919,8.8983849589279,1,2244.54441579714,1.18249696251267
"1545","ANXA4",0.0029144166121957,0.946761951320919,8.8797795778364,1,2244.54441579714,0.491479567904273
"1812","NR4A2",0.00293082086420329,0.946761951320919,8.86949162008603,1,2244.54441579714,-3.25352904581535
"2255","ITGA9",0.00301919232143672,0.946761951320919,8.81505732457856,1,2244.54441579714,0.901808088920222
"4215","CUL7",0.00304890131495283,0.946761951320919,8.79712061420813,1,2244.54441579714,-10
"11571","ZNF549",0.00316812356083412,0.946761951320919,8.72688523581318,1,2244.54441579714,-10
"1176","DISP1",0.00346393996109526,0.946761951320919,8.56361116218071,1,2244.54441579714,0.665234112461237
"54","NPHP4",0.00349022936624687,0.946761951320919,8.54979367581464,1,2244.54441579714,1.30345317543262
"5116","PDIA4",0.00355372955152545,0.946761951320919,8.51685060818509,1,2244.54441579714,-1.05349185419887
