"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6781","CD44",9.23555521973616e-30,1.18593764576632e-25,132.153437961157,1,2248.42447683128,1.32936807229335
"2505","MTRNR2L12",2.00926628903743e-07,0.00129004942087648,27.193309533043,1,2248.42447683128,0.719566879860563
"12630","SYTL4",7.91399406710886e-05,0.321769987774384,15.6363102572794,1,2248.42447683128,2.36488785902798
"9463","MT1X",0.000100232065345186,0.321769987774384,15.1867514371131,1,2248.42447683128,1.42126510794356
"8582","NRDE2",0.000132556718948929,0.340432165604639,14.6558857013787,1,2248.42447683128,-2.79412616366601
"12298","ZC3H7B",0.000367932426256423,0.733983861869034,12.7270983848434,1,2248.42447683128,1.07474476133597
"474","TTC4",0.000400115803526457,0.733983861869034,12.5694415017309,1,2248.42447683128,-2.61869063850145
"3884","RMND5B",0.000468009491603183,0.751213735209558,12.2751050394878,1,2248.42447683128,-2.2287787253369
"11664","PCNA",0.000613484034821356,0.863910978682066,11.7679084332926,1,2248.42447683128,-1.72418045492478
"1475","MCFD2",0.000781609653039595,0.863910978682066,11.3152887366634,1,2248.42447683128,-0.871310465334571
"3356","CYP4V2",0.000844848232166052,0.863910978682066,11.1701550667648,1,2248.42447683128,-1.93574281346423
"9957","CRLF3",0.000920294935782843,0.863910978682066,11.0107418431924,1,2248.42447683128,0.587474086182646
"2081","NCL",0.000995317677867012,0.863910978682066,10.8648315256631,1,2248.42447683128,0.457477183016383
"6900","TUT1",0.000999857587466475,0.863910978682066,10.8563625783565,1,2248.42447683128,-10
"10760","RANBP3",0.0010575294945378,0.863910978682066,10.752043264421,1,2248.42447683128,0.949407828411327
"624","STXBP3",0.00115984258776864,0.863910978682066,10.580407851555,1,2248.42447683128,0.610725816077837
"12774","SSR4",0.00130359775303477,0.863910978682066,10.3635336261874,1,2248.42447683128,-0.579206263772517
"3421","WDR70",0.00132013504392294,0.863910978682066,10.3401548645159,1,2248.42447683128,0.481776531236277
"1779","CCNT2",0.00135076963364849,0.863910978682066,10.2976202046174,1,2248.42447683128,0.703269549314601
"5241","TNFRSF10B",0.00137942396756514,0.863910978682066,10.2587105046116,1,2248.42447683128,-1.13110156776107
"7882","ANAPC7",0.00150424539320739,0.863910978682066,10.0982567771981,1,2248.42447683128,-1.60018391339775
"800","S100A4",0.00157086647797035,0.863910978682066,10.0180569988939,1,2248.42447683128,-0.797203972138096
"8059","NUP58",0.00158140205533844,0.863910978682066,10.0056906093774,1,2248.42447683128,0.594905153866996
"4850","CFAP69",0.00184001959916775,0.863910978682066,9.72578673739971,1,2248.42447683128,3.11169283396193
"5908","ATP6V1G1",0.00190159101412602,0.863910978682066,9.66504035169673,1,2248.42447683128,-0.451569970273779
"7979","KNTC1",0.00190488426124128,0.863910978682066,9.66184768558137,1,2248.42447683128,1.35160491059458
"8270","CHD8",0.0019815332651118,0.863910978682066,9.58908052325929,1,2248.42447683128,-0.719983582520292
"9462","MT1H",0.0020236619100316,0.863910978682066,9.55029231660071,1,2248.42447683128,4.16952258774421
"10862","RAB3D",0.00209655541748398,0.863910978682066,9.48507499912684,1,2248.42447683128,-10
"2325","SETD2",0.00222578614610644,0.863910978682066,9.37491698037342,1,2248.42447683128,0.43189778877531
"12666","FAM199X",0.00234273795120727,0.863910978682066,9.28068459451107,1,2248.42447683128,0.809677071060101
"1866","MAP3K20",0.00235069556268646,0.863910978682066,9.27444746419286,1,2248.42447683128,-1.03212595808689
"2137","TRNT1",0.00235783420329308,0.863910978682066,9.26887045521853,1,2248.42447683128,-2.01022985097971
"1695","IL1R2",0.0023593433971049,0.863910978682066,9.26769360470981,1,2248.42447683128,0.964841683113614
"4565","TBP",0.00249412945296447,0.863910978682066,9.16555899822411,1,2248.42447683128,-2.32538411071461
"333","MTF1",0.00252222721507034,0.863910978682066,9.14497499319118,1,2248.42447683128,0.798647426235469
"6897","ASRGL1",0.00281129853056243,0.863910978682066,8.94579568278238,1,2248.42447683128,-1.82431364981926
"931","SDHC",0.0028121346388097,0.863910978682066,8.94525029237882,1,2248.42447683128,-0.795881832706487
"6780","PDHX",0.00283924983137644,0.863910978682066,8.92765191643316,1,2248.42447683128,-0.989361748648226
"2050","GMPPA",0.00288172279232108,0.863910978682066,8.9004264635016,1,2248.42447683128,-2.27704360440151
"10604","CCDC102B",0.00289276894087258,0.863910978682066,8.89341262951537,1,2248.42447683128,-2.02398660984502
"8983","TBC1D2B",0.00292186268338888,0.863910978682066,8.87506882804173,1,2248.42447683128,0.610732745071412
"6796","EXT2",0.00295047488761188,0.863910978682066,8.85720883821218,1,2248.42447683128,-1.03467222540448
"1380","CAD",0.00308742392263866,0.863910978682066,8.77409257790645,1,2248.42447683128,-10
"12523","PLP2",0.00309404633230312,0.863910978682066,8.77016892969441,1,2248.42447683128,-10
"5930","NDUFA8",0.0030947671535998,0.863910978682066,8.76974237259504,1,2248.42447683128,-1.12851854990769
"3735","HARS2",0.00332434344735243,0.883019626756028,8.63878497552783,1,2248.42447683128,-2.89578332858522
"4909","AP4M1",0.00334295744821683,0.883019626756028,8.62857330347743,1,2248.42447683128,1.79078104154057
"5224","XPO7",0.00338076433191847,0.883019626756028,8.60800925231416,1,2248.42447683128,0.689707083348697
"12637","RPL36A",0.00378868474050476,0.883019626756028,8.39993139693584,1,2248.42447683128,-0.416845732836091
"11149","ZFP82",0.00383494815475782,0.883019626756028,8.37778714318146,1,2248.42447683128,-10
"226","WDTC1",0.00384118058066414,0.883019626756028,8.37482476104484,1,2248.42447683128,-1.07473564532501
"4913","LAMTOR4",0.00388608705519815,0.883019626756028,8.35362348643931,1,2248.42447683128,-0.490438105730323
"11976","MAP3K7CL",0.00401307425343977,0.883019626756028,8.29499379472122,1,2248.42447683128,-2.33227001266638
"3984","KDM1B",0.00407608148687907,0.883019626756028,8.26660104189388,1,2248.42447683128,0.81834125072431
"5289","ZNF703",0.00410784230899391,0.883019626756028,8.25245775047821,1,2248.42447683128,-10
"11196","LRFN1",0.00422898647906452,0.883019626756028,8.19951552488391,1,2248.42447683128,2.63215548336872
"1703","NCK2",0.00426402043934376,0.883019626756028,8.18449277983993,1,2248.42447683128,-1.49634051905345
"5026","GCC1",0.00429491044310689,0.883019626756028,8.17135092904692,1,2248.42447683128,-2.84811974703746
"12115","MED15",0.0043158482953285,0.883019626756028,8.16249776424805,1,2248.42447683128,-0.690253222647177
"1905","FAM171B",0.00433991701386206,0.883019626756028,8.15237467554789,1,2248.42447683128,2.19252344288034
"80","SLC25A33",0.00434821067972899,0.883019626756028,8.14889967915452,1,2248.42447683128,1.11060297495129
"11879","NFATC2",0.00438640920682927,0.883019626756028,8.13298141816902,1,2248.42447683128,1.93649505044651
"2621","PODXL2",0.00453186930065618,0.883019626756028,8.07363133705713,1,2248.42447683128,3.09848421596471
"9291","IGSF6",0.00495181437924925,0.883019626756028,7.91259906094572,1,2248.42447683128,-1.84601839790906
"4816","HSPB1",0.00498363854785041,0.883019626756028,7.90096902030604,1,2248.42447683128,-0.672596665127499
"11694","DZANK1",0.00510997695991627,0.883019626756028,7.85553444530999,1,2248.42447683128,-10
"627","CLCC1",0.00513976367434105,0.883019626756028,7.84498929379135,1,2248.42447683128,-2.19265071072572
"3004","RPL9",0.0051446185557778,0.883019626756028,7.84327646864102,1,2248.42447683128,-0.298981362583927
"12726","RAP2C",0.00514942588475137,0.883019626756028,7.84158204397672,1,2248.42447683128,-1.28179981370494
"11745","PXMP4",0.00517325031547501,0.883019626756028,7.83320846110717,1,2248.42447683128,-10
"5778","HNRNPK",0.00528160715494022,0.883019626756028,7.7956140171657,1,2248.42447683128,0.360794772771722
"5741","FXN",0.00537342003476911,0.883019626756028,7.76437024527604,1,2248.42447683128,-2.82631231487983
"12520","WDR45",0.00537417381271253,0.883019626756028,7.76411599618295,1,2248.42447683128,-1.65501373381067
"2462","FHIT",0.00541802393842458,0.883019626756028,7.74938764614005,1,2248.42447683128,0.338273789729013
"9849","CDRT4",0.00542110084051225,0.883019626756028,7.748358749307,1,2248.42447683128,0.872533223565172
"4094","FKBPL",0.00543201069437465,0.883019626756028,7.7447153584054,1,2248.42447683128,-10
"2279","ZNF620",0.00547290894193411,0.883019626756028,7.73112336648183,1,2248.42447683128,-10
"2861","UBXN7",0.00549489179545453,0.883019626756028,7.72386041919401,1,2248.42447683128,0.560723527992875
"10237","TUBD1",0.00550125147110679,0.883019626756028,7.72176476568577,1,2248.42447683128,-1.68776278152323
"10386","CANT1",0.00559350309890447,0.886742880160893,7.69164081063328,1,2248.42447683128,-1.39004793108707
"11592","ZNF135",0.00595788622350546,0.915753901472157,7.57741737403521,1,2248.42447683128,3.70792726241813
"5988","URM1",0.0061456302628723,0.915753901472157,7.52131936749462,1,2248.42447683128,-1.41628773469365
