"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9744","CHRNE",9.8770773722017e-66,1.26831550536442e-61,312.081565145925,1,2384.47175080692,3.88028720979967
"800","S100A4",3.52061975612786e-06,0.0226041391442189,21.6114554218938,1,2384.47175080692,-0.685696007097989
"7058","GAL",4.89723617314822e-05,0.157676809923399,16.5480939434673,1,2384.47175080692,1.78660707579687
"10841","ICAM3",4.9116676247457e-05,0.157676809923399,16.5424751953128,1,2384.47175080692,1.90251823175223
"9861","TRPV2",8.67282173228075e-05,0.222735407728434,15.4587820682639,1,2384.47175080692,0.634332953638594
"9571","VAC14",0.000251900081930421,0.539108158678089,13.4384805367552,1,2384.47175080692,-0.567960303857668
"3503","MARVELD2",0.000439448599409194,0.716489141157234,12.3911972160891,1,2384.47175080692,2.74973427241209
"5521","LRATD2",0.00051108229991259,0.716489141157234,12.1079582462455,1,2384.47175080692,3.26568396676173
"628","WDR47",0.000639364216870802,0.716489141157234,11.6887263911547,1,2384.47175080692,-0.918449750077015
"10739","MYDGF",0.000749978392582831,0.716489141157234,11.390615464788,1,2384.47175080692,0.431372128424384
"8441","MNAT1",0.000819296079665473,0.716489141157234,11.2256906178476,1,2384.47175080692,-0.640159730157522
"3243","NAA15",0.000898010125185827,0.716489141157234,11.0547206093155,1,2384.47175080692,0.525393617899124
"1089","CHIT1",0.000911373803893958,0.716489141157234,11.0272071450824,1,2384.47175080692,1.09659212601803
"10117","GRN",0.000967694622403331,0.716489141157234,10.9155704199364,1,2384.47175080692,0.18391097851891
"6694","TMEM9B",0.00106956837731582,0.716489141157234,10.7293995298028,1,2384.47175080692,0.470036563630764
"8744","VPS18",0.00107599809006904,0.716489141157234,10.7182590240735,1,2384.47175080692,-0.911492933368113
"10202","COX11",0.00108279058444248,0.716489141157234,10.706562903819,1,2384.47175080692,-1.01412301876061
"3622","PGGT1B",0.00119732512223924,0.716489141157234,10.5198051667947,1,2384.47175080692,0.472385040283406
"3548","HOMER1",0.00129079456117888,0.716489141157234,10.3803435610774,1,2384.47175080692,1.21119627824141
"8120","NUFIP1",0.00129266615537788,0.716489141157234,10.3776566803194,1,2384.47175080692,1.083666498023
"11841","CTSA",0.00131884524157696,0.716489141157234,10.3404813198577,1,2384.47175080692,0.268165361074474
"6308","UNC5B",0.00134815062836902,0.716489141157234,10.2997430942001,1,2384.47175080692,1.50089016822435
"9461","MT1G",0.0013952790017106,0.716489141157234,10.2360736895648,1,2384.47175080692,1.98378963939554
"4898","FAM200A",0.00144353457373052,0.716489141157234,10.1731004592612,1,2384.47175080692,0.864695702481533
