"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10149","KPNB1",0.000200072296992656,0.760839788052524,13.8770785426888,1,2202.43370288156,0.81053595421576
"11539","ZNF580",0.000226321167525524,0.760839788052524,13.6440491758085,1,2202.43370288156,-10
"10001","CCL4",0.000243237860002899,0.760839788052524,13.5079000797681,1,2202.43370288156,3.00196466602049
"7898","ALDH2",0.000251448476661007,0.760839788052524,13.4452256618763,1,2202.43370288156,-1.89580570617388
"9733","PELP1",0.000450545728257261,0.760839788052524,12.3472431432073,1,2202.43370288156,1.81707631970336
"4602","ACTB",0.000486800127690231,0.760839788052524,12.2019988521171,1,2202.43370288156,0.707888591467382
"1348","TP53I3",0.000517637081575557,0.760839788052524,12.086812113676,1,2202.43370288156,-10
"5727","TRMT10B",0.000528222487883263,0.760839788052524,12.0488644498611,1,2202.43370288156,1.53423535279183
"6129","TASOR2",0.000533257385910187,0.760839788052524,12.0310836306845,1,2202.43370288156,-1.92061510610104
"5119","ZNF398",0.000624575779280846,0.802017758174534,11.735074877668,1,2202.43370288156,-10
"3245","SETD7",0.000717714909467634,0.837834286588536,11.4751894309401,1,2202.43370288156,-3.22939357938749
"6835","PTPRJ",0.000905064171279593,0.904242768827026,11.0424475179895,1,2202.43370288156,0.58701903743355
"3918","GMDS",0.000961113016882023,0.904242768827026,10.9305287367704,1,2202.43370288156,-3.60826372696318
"12286","TNRC6B",0.00107570020378021,0.904242768827026,10.7209483105399,1,2202.43370288156,-0.776928144503921
"2657","SRPRB",0.00114996123375183,0.904242768827026,10.5968713567417,1,2202.43370288156,1.83961862367611
"6630","MUC6",0.00135830923081739,0.904242768827026,10.2878402468068,1,2202.43370288156,4.26182057447148
"5345","LYN",0.0014626122183419,0.904242768827026,10.1507496828981,1,2202.43370288156,0.637272026217646
"160","CDA",0.00146827738926818,0.904242768827026,10.1435900264948,1,2202.43370288156,-10
"10620","NFATC1",0.00149488136836385,0.904242768827026,10.110338039841,1,2202.43370288156,-10
"3053","REST",0.00156437859987525,0.904242768827026,10.0262269097107,1,2202.43370288156,-1.73198904090832
"11194","MRPS12",0.00157635159742556,0.904242768827026,10.0121195834,1,2202.43370288156,-10
"9979","CCL2",0.00161866366238423,0.904242768827026,9.96312081604388,1,2202.43370288156,1.48564722133731
"1626","PTCD3",0.00165983338999334,0.904242768827026,9.91667575617944,1,2202.43370288156,-3.01352072342348
"12168","CCDC117",0.00169004177648537,0.904242768827026,9.88333359751631,1,2202.43370288156,-10
"8027","ANKLE2",0.0019885631093406,0.919044362428618,9.58302063566033,1,2202.43370288156,-2.33662420820484
"11182","RASGRP4",0.0021033390214088,0.919044362428618,9.47958398038078,1,2202.43370288156,2.03765117916122
"11673","PLCB1",0.00238084415815038,0.919044362428618,9.25145000200541,1,2202.43370288156,-2.59634151631087
"3601","PAM",0.00239208970251231,0.919044362428618,9.24278408287276,1,2202.43370288156,-1.31422141262899
