"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"3654","CHSY3",1.70204670301655e-09,2.18559817134356e-05,36.5906320364592,1,2248.56111939451,4.13900245416791
"404","PTCH2",1.74500041099109e-08,0.000112037751387683,31.9919340631224,1,2248.56111939451,2.93305369833188
"11759","ACSS2",4.61257051134887e-06,0.019743339312077,21.0947846095529,1,2248.56111939451,-2.03523996313836
"8805","FBN1",9.10309440219076e-06,0.0292232088046329,19.7818455079846,1,2248.56111939451,2.8890341308046
"6526","FAM160B1",8.93810973923534e-05,0.204351964656572,15.4046673091958,1,2248.56111939451,1.08460049171027
"2267","SCN11A",9.54841358102509e-05,0.204351964656572,15.2790225082159,1,2248.56111939451,3.24328503122786
"6727","PLEKHA7",0.000145044721347936,0.266074180975549,14.4851331230427,1,2248.56111939451,2.11836919764003
"11273","KCNN4",0.000181312223721026,0.291028783100213,14.0623809809568,1,2248.56111939451,-1.9549201535982
"3879","DOK3",0.000311539588412045,0.444497761644341,13.0402645753544,1,2248.56111939451,-1.23043838797312
"5435","FSBP",0.000468419492414464,0.585087573411735,12.2734596760269,1,2248.56111939451,2.79317263577762
"10309","CD300LB",0.000514260718655897,0.585087573411735,12.0983442044065,1,2248.56111939451,-1.92201061108815
"9831","MYH10",0.000573170826611039,0.585087573411735,11.8951412657743,1,2248.56111939451,2.83947350206166
"3934","ECI2",0.000634927189468469,0.585087573411735,11.7036297415294,1,2248.56111939451,0.825184888116878
"8446","SNAPC1",0.000637896271923082,0.585087573411735,11.6949031725529,1,2248.56111939451,1.05531354961486
"3911","TRIM41",0.000831439896143913,0.660707277358742,11.1999858413612,1,2248.56111939451,-3.20061768464023
"5129","ACTR3C",0.000876407898978305,0.660707277358742,11.1017842990437,1,2248.56111939451,2.91660293303828
"7189","BIRC3",0.0010334640808052,0.660707277358742,10.7948544755906,1,2248.56111939451,1.31950713774523
"7164","SMCO4",0.00104083888029947,0.660707277358742,10.7816282138833,1,2248.56111939451,-1.16444394295233
