"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"4076","CLIC1",2.9458080258819e-43,3.78271208603494e-39,198.412174110491,1,2263.63786999745,1.37503477128722
"379","ERMAP",8.03701732369249e-05,0.432224229832934,15.6065505558227,1,2263.63786999745,-2.46747867203874
"4064","LST1",0.000138712605106465,0.432224229832934,14.5694412046603,1,2263.63786999745,0.583779689421721
"3760","PPP2R2B",0.000191722225203561,0.432224229832934,13.9564410158705,1,2263.63786999745,4.20784277883549
"12449","SAT1",0.000192171212369777,0.432224229832934,13.9520163550083,1,2263.63786999745,-0.388541874397001
"3783","DCTN4",0.000222785170689113,0.432224229832934,13.6725731986041,1,2263.63786999745,0.581273353487353
"65","PHF13",0.000235617912065302,0.432224229832934,13.5667940123296,1,2263.63786999745,-10
"5028","FSCN3",0.000269765540437841,0.43300741309529,13.3113715803298,1,2263.63786999745,3.50505673066002
"2081","NCL",0.000341667514494298,0.449032237656599,12.8661801140611,1,2263.63786999745,0.45243981487692
"10204","MMD",0.000349686346590296,0.449032237656599,12.8225228997642,1,2263.63786999745,0.729845077171752
"224","NUDC",0.000442816028751339,0.470955754341735,12.3787198115824,1,2263.63786999745,0.629788285859498
"12025","SH3BGR",0.000489403761557821,0.470955754341735,12.1910067191349,1,2263.63786999745,1.92399925002376
"4108","HLA-DQA2",0.000496039956196502,0.470955754341735,12.1657471405332,1,2263.63786999745,1.24467742480647
"754","RPRD2",0.00051346316959616,0.470955754341735,12.1010194290444,1,2263.63786999745,0.551926901654786
"5417","CPNE3",0.00057770043885573,0.494550089023095,11.8801752137247,1,2263.63786999745,0.721001879231457
"5120","ZNF282",0.000779955586612294,0.625963105480529,11.3190342991397,1,2263.63786999745,1.26199008210303
"2961","CC2D2A",0.000995441094669195,0.726863798774495,10.8644083879061,1,2263.63786999745,-3.28305742065598
"7839","CHST11",0.00108955703046615,0.726863798774495,10.6963836863036,1,2263.63786999745,-0.491769653633865
"9569","SF3B3",0.0011578332965997,0.726863798774495,10.5834455656158,1,2263.63786999745,0.814509903653278
"813","JTB",0.00118193461164788,0.726863798774495,10.5451826922198,1,2263.63786999745,0.481894123100621
"2378","GNAI2",0.00118870335443224,0.726863798774495,10.5345787812293,1,2263.63786999745,0.281288586086208
"5301","LETM2",0.00130201972359413,0.759965239576009,10.3656043117969,1,2263.63786999745,2.46524422990693
"10692","GNG7",0.001521262000661,0.849327189151648,10.0772678519631,1,2263.63786999745,0.9335016358968
"8125","COG3",0.00174715246838147,0.921774750619814,9.82126616291199,1,2263.63786999745,0.79191776718596
"3490","SREK1",0.00204952984115483,0.921774750619814,9.52672973749493,1,2263.63786999745,-0.728272204300922
"430","MOB3C",0.00206814237167495,0.921774750619814,9.51006894539506,1,2263.63786999745,1.12035184960557
"745","OTUD7B",0.0022081658032674,0.921774750619814,9.38940308111218,1,2263.63786999745,-3.11081258859953
"1790","KYNU",0.00222835331424074,0.921774750619814,9.37264991290824,1,2263.63786999745,-0.47136509694832
"8140","FNDC3A",0.00230358886548247,0.921774750619814,9.31154271183114,1,2263.63786999745,-0.515452736782536
"9031","AGBL1",0.00233346538254128,0.921774750619814,9.28783692477631,1,2263.63786999745,4.20916207827918
