"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"5261","CLU",1.01330808394488e-32,1.30118891059362e-28,146.466462194299,1,2277.41766292657,6.08596233134129
"7147","DLG2",4.81630357809028e-07,0.00261103692912893,25.4830943108733,1,2277.41766292657,1.46973763298957
"5231","SLC39A14",6.10007848873669e-07,0.00261103692912893,25.0222792502163,1,2277.41766292657,2.59623172280179
"1603","CTNNA2",5.27211656492373e-06,0.0169248122025464,20.8350742444677,1,2277.41766292657,4.86566100479726
"8170","PCDH9",2.96357580457828e-05,0.0761105538131794,17.5118530998528,1,2277.41766292657,3.52510008791336
"3309","CPE",4.13501287737997e-05,0.0884961672640603,16.8742831507203,1,2277.41766292657,2.54919056747734
"8053","SACS",5.15673909460061e-05,0.0945966953053807,16.4523388831417,1,2277.41766292657,1.54160125894792
"872","GLMP",0.000138061989854831,0.217112989157133,14.5780544795658,1,2277.41766292657,-0.945004829432338
"9932","RAB34",0.000152170150487828,0.217112989157133,14.3936050682726,1,2277.41766292657,-1.38987285235157
"9952","EFCAB5",0.000180429175405875,0.231689104138684,14.0710245427935,1,2277.41766292657,2.05310303665203
"2492","ROBO1",0.000250590872904217,0.292530672633005,13.4502243196785,1,2277.41766292657,2.47273170956047
"544","PRKACB",0.000284280105101858,0.304203402467746,13.2122980277625,1,2277.41766292657,0.602298969709541
"5348","CHCHD7",0.000366259305927048,0.361779672877632,12.7351766292918,1,2277.41766292657,0.887400999191083
"1393","GPN1",0.000505880828400857,0.464001122678243,12.1286985506107,1,2277.41766292657,-3.24568869521542
"7963","RNF34",0.000624654239402328,0.534745672544353,11.7337245587573,1,2277.41766292657,-0.992542896782849
"2007","ABCA12",0.000724599599556299,0.544700691087596,11.4562892876535,1,2277.41766292657,3.95446763121467
"4350","GRIK2",0.000850143382200618,0.544700691087596,11.1581218855723,1,2277.41766292657,2.89000274934491
"5655","KLHL9",0.000908078572169027,0.544700691087596,11.0352605915465,1,2277.41766292657,0.971229504968433
