"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"12383","CSF2RA",4.35709717864537e-42,5.59494848709852e-38,192.611573466301,1,2257.08069079145,1.93098519719218
"6089","PTGDS",2.24382973388909e-26,1.44065088064349e-22,115.821104553024,1,2257.08069079145,5.78640202475304
"2109","HES6",7.86532018892406e-14,3.36661921819913e-10,56.5481617427519,1,2257.08069079145,4.0833776939506
"10836","ICAM4",2.36853675627291e-05,0.0665978424917227,17.9422142524144,1,2257.08069079145,2.5794932205694
"5640","CCDC171",2.59317196837173e-05,0.0665978424917227,17.7684194920625,1,2257.08069079145,-10
"6783","FJX1",8.12047670853345e-05,0.173791735690463,15.5870468586434,1,2257.08069079145,3.83386792426296
"11038","MAU2",0.000104716801500991,0.175437913437907,15.1033421676272,1,2257.08069079145,-1.35759414042848
"4852","CLDN12",0.000109298598824333,0.175437913437907,15.0219685727445,1,2257.08069079145,-10
"1511","XPO1",0.000127017186319446,0.181225298836446,14.7366897773709,1,2257.08069079145,-0.709258231403894
"3653","ISOC1",0.000656914579756403,0.797697463860323,11.6398377141276,1,2257.08069079145,-10
"11348","C5AR2",0.000692990916830882,0.797697463860323,11.5399005613221,1,2257.08069079145,1.16647802281986
"6677","ILK",0.000815370922260077,0.797697463860323,11.2362707176327,1,2257.08069079145,-0.832953356495882
"11379","DHDH",0.000875034045832723,0.797697463860323,11.1045956435001,1,2257.08069079145,1.69180054419954
"9329","NUPR1",0.000911617166950588,0.797697463860323,11.0282775446162,1,2257.08069079145,0.90475388093916
"5114","CUL1",0.00107710064469467,0.797697463860323,10.7178397127822,1,2257.08069079145,-0.599213371688863
"9480","CFAP20",0.00114355015144704,0.797697463860323,10.606582633703,1,2257.08069079145,-10
"12327","TTLL1",0.00155542613014618,0.797697463860323,10.0362388700484,1,2257.08069079145,1.58303371747972
"8593","ATXN3",0.00163447398434079,0.797697463860323,9.94454692274256,1,2257.08069079145,-0.879968074476922
"5937","ZBTB6",0.00173286714292733,0.797697463860323,9.83650171268699,1,2257.08069079145,-3.02660208298044
"6595","ECHS1",0.0017387884535896,0.797697463860323,9.83019943611681,1,2257.08069079145,-0.922869298305192
