"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"5198","CTSB",8.37096034860409e-29,1.07491501836425e-24,127.510080617505,1,2258.06629792533,0.92990707257552
"9461","MT1G",2.32453652683943e-08,0.000149246867705726,31.4261850561797,1,2258.06629792533,3.70339460165802
"9463","MT1X",1.02380928113412e-06,0.00438224499301441,24.01491586682,1,2258.06629792533,1.74913830958109
"5262","CCDC25",3.53961778115048e-06,0.00936433871766803,21.6067555138506,1,2258.06629792533,-2.17023145569079
"333","MTF1",3.64626536783273e-06,0.00936433871766803,21.5492771483351,1,2258.06629792533,1.13191353180103
"800","S100A4",2.63399932302638e-05,0.0563719755116362,17.7384333482869,1,2258.06629792533,0.812350281583597
"401","RPS8",6.9421688692762e-05,0.127349129214822,15.8856662605519,1,2258.06629792533,-0.537326004154939
"3845","RPL26L1",0.000151989053549388,0.229617001808759,14.3962779414104,1,2258.06629792533,-1.85929210028023
"12451","KLHL15",0.000160933962797199,0.229617001808759,14.2879267260915,1,2258.06629792533,1.66463892131619
"12688","LONRF3",0.000228880722539508,0.276626806904577,13.6216909174086,1,2258.06629792533,1.11227759998146
"11066","ZNF100",0.000236967126855412,0.276626806904577,13.5561192823765,1,2258.06629792533,1.09913732605573
"9401","SETD1A",0.000307732923846592,0.302284671669343,13.0632535638815,1,2258.06629792533,-10
"8968","SNUPN",0.000323174835656448,0.302284671669343,12.971034404893,1,2258.06629792533,-2.65876232526549
"6173","VIM",0.000329568211461007,0.302284671669343,12.9341481267578,1,2258.06629792533,-0.398207944941893
"3274","RPS3A",0.00036784474468338,0.306677313131495,12.7273810328033,1,2258.06629792533,-0.441479812024839
"11356","LIG1",0.000382122654785759,0.306677313131495,12.6557707982034,1,2258.06629792533,-10
"3660","MEIKIN",0.000507675535550164,0.383474208941156,12.1223578220073,1,2258.06629792533,0.660118256382626
"8416","LGALS3",0.000570404112956393,0.401170822808309,11.9040588408077,1,2258.06629792533,-0.574733111645417
"2363","TCTA",0.000657053973154761,0.401170822808309,11.6394267864447,1,2258.06629792533,-3.17809664874265
"11294","PVR",0.000664516268159619,0.401170822808309,11.618311882824,1,2258.06629792533,-10
"180","RPL11",0.000704550424221154,0.401170822808309,11.5089749941735,1,2258.06629792533,-0.346647535653984
"6710","EIF4G2",0.000726785362389044,0.401170822808309,11.4509317204017,1,2258.06629792533,-0.496396075957681
"7963","RNF34",0.000767956743720195,0.401170822808309,11.3480465042516,1,2258.06629792533,-1.23029901075175
"11962","CXADR",0.000772141607131316,0.401170822808309,11.3379027170837,1,2258.06629792533,2.6363438307408
"6259","CSTF2T",0.000821802778818104,0.401170822808309,11.2216016946748,1,2258.06629792533,-10
"8349","SRP54",0.000838924729540682,0.401170822808309,11.1831457650833,1,2258.06629792533,-0.885223964721789
