"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"8992","CTSH",7.42188214765662e-33,9.53043886580587e-29,147.127970425509,1,2275.93871814979,1.33965049521303
"10056","HAP1",1.59511924276761e-15,1.02414630981894e-11,64.4192825271745,1,2275.93871814979,4.73182041824199
"2199","CAPN7",3.19251539102607e-14,1.36650300453886e-10,58.3604563190491,1,2275.93871814979,1.12982962585398
"6089","PTGDS",8.19721354737652e-10,2.63151047904655e-06,38.0352268325456,1,2275.93871814979,3.33860137584847
"763","CTSK",3.18866595636943e-06,0.00818913190914797,21.8081312416487,1,2275.93871814979,1.74332227666488
"3288","GUCY1A1",1.13902853054953e-05,0.0243771089346442,19.3488346448219,1,2275.93871814979,4.47532371200295
"7657","ORMDL2",4.20010894365249e-05,0.077047998493488,16.8444592626781,1,2275.93871814979,1.15046413252799
"9806","FXR2",5.08296554153508e-05,0.0815879506485649,16.4798966828255,1,2275.93871814979,-3.59729798960098
"7058","GAL",0.000108343044445259,0.154581448191286,15.0382102668164,1,2275.93871814979,2.17081895351468
"10137","MAPT",0.000186827964725421,0.232090904718022,14.005111478808,1,2275.93871814979,3.12937406585863
"4764","ZNF273",0.000198816287820126,0.232090904718022,13.887475938825,1,2275.93871814979,1.60870950949787
"4797","LAT2",0.000703771542765895,0.715538915903076,11.5107915988527,1,2275.93871814979,0.759394410072973
"2800","YEATS2",0.00075052304384463,0.715538915903076,11.3906696374473,1,2275.93871814979,0.467438696568926
"6295","HK1",0.000780121861431592,0.715538915903076,11.3184702668633,1,2275.93871814979,-0.515568469990691
"8108","MTRF1",0.00130160296900127,0.899475667594871,10.3660575777603,1,2275.93871814979,-1.92490021874318
"2931","STK32B",0.00131858115873177,0.899475667594871,10.342023968154,1,2275.93871814979,2.73765825151074
"1109","SLC41A1",0.00133368493638716,0.899475667594871,10.3209057304456,1,2275.93871814979,-10
"6964","NAALADL1",0.00137340554832584,0.899475667594871,10.2665039603437,1,2275.93871814979,2.45877183413997
"1465","PREPL",0.0014546258253198,0.899475667594871,10.1600603972574,1,2275.93871814979,-1.11888823714454
"8916","CALML4",0.00147442286469347,0.899475667594871,10.1350284602641,1,2275.93871814979,-1.14582711189664
"11153","ZNF382",0.00163033370861855,0.899475667594871,9.94903707582655,1,2275.93871814979,-10
"2822","IGF2BP2",0.00163883349901484,0.899475667594871,9.93942237140435,1,2275.93871814979,-1.16038585731598
"1017","QSOX1",0.00164903472012681,0.899475667594871,9.92794959014747,1,2275.93871814979,0.518808562584596
"7843","WASHC4",0.00168136333487031,0.899475667594871,9.89206096335982,1,2275.93871814979,-0.378284912462693
"11338","AP2S1",0.00199633656898753,0.899475667594871,9.57508452593792,1,2275.93871814979,0.313508253385376
"11289","ZNF235",0.00202198516626947,0.899475667594871,9.55154974690521,1,2275.93871814979,-1.03076061070168
"4893","CPSF4",0.00211618449573086,0.899475667594871,9.46763994584542,1,2275.93871814979,-1.80570406794185
"6222","CCNY",0.00211824180580485,0.899475667594871,9.46584994539797,1,2275.93871814979,-0.42175684172457
"6772","FBXO3",0.00221338190098666,0.899475667594871,9.38494328211357,1,2275.93871814979,-1.69159512520166
"1690","TBC1D8",0.00231260736693263,0.899475667594871,9.30423983303876,1,2275.93871814979,-0.453866413120647
"4269","RAB23",0.00242132985702265,0.899475667594871,9.21975343376763,1,2275.93871814979,-10
"2899","MAEA",0.00243087011032879,0.899475667594871,9.2125246133923,1,2275.93871814979,0.560888704836746
"44","MMEL1",0.00248762603084393,0.899475667594871,9.17010641928765,1,2275.93871814979,2.14487490803812
"1511","XPO1",0.00253212056351265,0.899475667594871,9.13753390625071,1,2275.93871814979,-0.488574997150162
"11066","ZNF100",0.00254798179431879,0.899475667594871,9.12606297175811,1,2275.93871814979,0.786233350053628
"8955","SCAMP2",0.00257774792004073,0.899475667594871,9.10473040594378,1,2275.93871814979,0.471498328002638
"5502","ZHX2",0.00264768830072306,0.899475667594871,9.05557509221764,1,2275.93871814979,-0.859292512128433
"6904","B3GAT3",0.00267360474953444,0.899475667594871,9.03769481832631,1,2275.93871814979,0.81043170744194
"8677","NDN",0.00273183950130052,0.899475667594871,8.99815170641599,1,2275.93871814979,-10
"4798","RFC2",0.00284631149735311,0.913737148437781,8.92285898241224,1,2275.93871814979,-1.78644206165398
"4213","KLHDC3",0.00300691135285899,0.939150601699804,8.8222583982075,1,2275.93871814979,-1.0703289199904
"12648","ARMCX5",0.00307174871671924,0.939150601699804,8.78318326306396,1,2275.93871814979,-10
"8344","SPTSSA",0.00323585660198187,0.947662971231867,8.68791215148135,1,2275.93871814979,-0.78992415309182
"11569","ZNF419",0.00324912184861798,0.947662971231867,8.68042703253497,1,2275.93871814979,-10
"6122","PITRM1",0.00339663896966642,0.947662971231867,8.59922261469297,1,2275.93871814979,-1.73618006135523
"1766","HS6ST1",0.00346309098991555,0.947662971231867,8.5638077256171,1,2275.93871814979,1.00680482087389
"10826","COL5A3",0.00360355111165147,0.947662971231867,8.49117309497815,1,2275.93871814979,4.11068044350088
"11976","MAP3K7CL",0.00378528083084499,0.947662971231867,8.40135941798819,1,2275.93871814979,-1.80635115625141
"11073","ZNF681",0.00385277452269901,0.947662971231867,8.36911635206012,1,2275.93871814979,2.42168991672471
"12135","DRICH1",0.0038719429357459,0.947662971231867,8.36006402256101,1,2275.93871814979,-10
"10231","GDPD1",0.00397905590796332,0.947662971231867,8.31030488084024,1,2275.93871814979,-1.36202214276896
