"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"1786","CXCR4",1.51969527744969e-16,1.95144070577315e-12,69.2069690266261,1,2239.87514441064,1.80686143453058
"2009","FN1",2.26220700146474e-06,0.0145245000529044,22.4754063080616,1,2239.87514441064,1.8339660628088
"6747","ANO5",9.0760101300742e-06,0.0296047895396234,19.7879447857758,1,2239.87514441064,1.62264241264776
"4853","CDK14",9.22195764804094e-06,0.0296047895396234,19.7571846447416,1,2239.87514441064,0.911214164298713
"2491","ROBO2",1.35212461946609e-05,0.0330459958850879,19.0200329501453,1,2239.87514441064,3.86135783025709
"1186","DNAH14",1.54408515933749e-05,0.0330459958850879,18.7646408553978,1,2239.87514441064,1.96682497968501
"6514","BBIP1",1.81174199582904e-05,0.0332351128120581,18.4573448948596,1,2239.87514441064,-10
"800","S100A4",2.09248871068894e-05,0.0335870594174459,18.180631820971,1,2239.87514441064,-1.24345042938191
"5084","TBXAS1",2.66187676811665e-05,0.0379790661993177,17.7188425067593,1,2239.87514441064,0.566943269854698
"6722","PDE3B",5.04590327521272e-05,0.0647944439570065,16.4948911401335,1,2239.87514441064,1.07134733110623
"1304","RNF144A",5.95202055494629e-05,0.0694817235873321,16.1796083265212,1,2239.87514441064,2.56764411185511
"4834","SEMA3C",0.000142729651381026,0.14750786705263,14.5158335027143,1,2239.87514441064,1.06965862538518
"11066","ZNF100",0.000149334340914586,0.14750786705263,14.4300740378109,1,2239.87514441064,1.13221111183207
"5790","SPIN1",0.00017920206006679,0.148582732772337,14.0847200945112,1,2239.87514441064,0.697955711703693
"3003","RFC1",0.000183099293181385,0.148582732772337,14.044001364966,1,2239.87514441064,-1.2617761636095
"2211","TBC1D5",0.00019175391520638,0.148582732772337,13.9566166445261,1,2239.87514441064,0.453215458151682
"1798","KIF5C",0.000196706366881841,0.148582732772337,13.9083839929184,1,2239.87514441064,4.29498701351618
"12003","SLC5A3",0.000212094448528893,0.151305822975528,13.7659738723404,1,2239.87514441064,0.921019266611775
"4494","UST",0.000239611659211726,0.161939648207251,13.5355171447208,1,2239.87514441064,-10
"1431","CEBPZOS",0.000255228773985366,0.163869634337304,13.4163274823732,1,2239.87514441064,-1.59836676759121
"10303","C17orf80",0.000292599060639426,0.166965443427109,13.1586146737587,1,2239.87514441064,-10
"6129","TASOR2",0.000293487985178644,0.166965443427109,13.1528970960177,1,2239.87514441064,0.773250079357047
"4071","CSNK2B",0.000299058110647419,0.166965443427109,13.1174629512519,1,2239.87514441064,-1.11036368075602
"5153","NUB1",0.000431173701025013,0.230695895619258,12.429138107771,1,2239.87514441064,-0.992849868798993
"8123","TPT1",0.0004522152422763,0.232275837042799,12.339675601815,1,2239.87514441064,-0.336080255770774
"7252","PAFAH1B2",0.000503092591771191,0.247346359051059,12.1396471075217,1,2239.87514441064,-1.02225683939322
"10524","B4GALT6",0.000522189612476568,0.247346359051059,12.0697987758756,1,2239.87514441064,2.82249166827456
"2941","KIAA0232",0.000539342578726707,0.247346359051059,12.0092266939547,1,2239.87514441064,0.6210874317343
"5473","FZD6",0.000586224178570059,0.24891071756109,11.8531096539232,1,2239.87514441064,3.06829340188484
"2776","NAALADL2",0.000595717639677495,0.24891071756109,11.8230364966597,1,2239.87514441064,0.976077480881892
"10758","VMAC",0.000600905867486471,0.24891071756109,11.806805373945,1,2239.87514441064,2.03890681196757
"5037","CALU",0.000655352616907424,0.262980717303382,11.6445391779311,1,2239.87514441064,0.683502852443467
"2769","TNIK",0.000739460522982346,0.279139160536645,11.4188967254364,1,2239.87514441064,0.699818255600431
"3394","CDH12",0.000768042229987274,0.279139160536645,11.3480903689249,1,2239.87514441064,3.95273322767745
"1926","NABP1",0.000776056827340831,0.279139160536645,11.3287135515505,1,2239.87514441064,0.52266242710785
"1306","KIDINS220",0.000782572212391498,0.279139160536645,11.3131099164658,1,2239.87514441064,0.569422074519328
"10113","TMUB2",0.000843101875687753,0.283784485214974,11.1741286571583,1,2239.87514441064,0.885631749424381
"12601","HDAC8",0.000848904160486455,0.283784485214974,11.1613402530982,1,2239.87514441064,0.559793843324418
"11198","SAMD4B",0.000875229526894746,0.283784485214974,11.1044077234249,1,2239.87514441064,0.847123868542947
"1120","FCMR",0.000893227855300615,0.283784485214974,11.066472131369,1,2239.87514441064,1.51595118635275
