"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"928","FCER1G",5.41205516325286e-127,6.949620035133e-123,652.235262159432,1,2320.65443751212,1.75715314833066
"6089","PTGDS",6.1213514215647e-09,3.93021368021562e-05,34.0503787340252,1,2320.65443751212,3.39949790373467
"7305","CLMP",1.02964128672687e-05,0.0440720792095323,19.541633460952,1,2320.65443751212,3.45914220198158
"6386","KIF20B",1.79565075195551e-05,0.0576448782646516,18.4716991528563,1,2320.65443751212,1.13702522717014
"8612","SERPINA1",7.00481335421662e-05,0.179897616562991,15.8669499867188,1,2320.65443751212,1.39317236603271
"5352","NSMAF",0.000142590911026509,0.305168314748567,14.5159305285254,1,2320.65443751212,-0.738993517695905
"5124","ZNF746",0.000365562717921169,0.670598694403675,12.7380424543205,1,2320.65443751212,-1.25358652283939
"3024","COMMD8",0.000488181125738627,0.773541925896358,12.1948262141933,1,2320.65443751212,-0.906069139425499
"3756","PRELID2",0.000608173641974749,0.773541925896358,11.7831362542035,1,2320.65443751212,-2.23537067625699
"5344","TGS1",0.000639649124634472,0.773541925896358,11.6887473585978,1,2320.65443751212,-0.994352161373394
"11740","CDK5RAP1",0.000679477230784276,0.773541925896358,11.5758235663817,1,2320.65443751212,-0.820010221786084
"6729","PIK3C2A",0.000722880080270719,0.773541925896358,11.4601435272602,1,2320.65443751212,-0.532672363590477
"4629","TMEM106B",0.000814267580399622,0.804308461531657,11.2379630284375,1,2320.65443751212,-0.87883713701318
"9774","C17orf49",0.000925841124188447,0.814607744563357,10.9986378215804,1,2320.65443751212,-0.787262898715235
"3963","ADTRP",0.000962387468584682,0.814607744563357,10.926556082274,1,2320.65443751212,-10
"10156","CDK5RAP3",0.00112235128460017,0.814607744563357,10.6405982570702,1,2320.65443751212,0.672979784747573
"1592","AUP1",0.00120586921319797,0.814607744563357,10.507303158462,1,2320.65443751212,0.516240080859707
"9583","DHX38",0.00129099876392183,0.814607744563357,10.3807305927618,1,2320.65443751212,-1.28446237410535
"6759","DNAJC24",0.00131831210929621,0.814607744563357,10.3419064321516,1,2320.65443751212,-0.974028902087773
"1163","LYPLAL1",0.00142314638025289,0.814607744563357,10.2001006813874,1,2320.65443751212,-0.532714885565268
"7950","COQ5",0.00144609088371221,0.814607744563357,10.1704785475056,1,2320.65443751212,-1.47846388797918
"7901","ERP29",0.00157024933411436,0.814607744563357,10.0180208640754,1,2320.65443751212,-0.414877277674894
"2464","C3orf14",0.00169303780966665,0.814607744563357,9.87881818149613,1,2320.65443751212,-3.26107741085994
"9073","IGF1R",0.00183295880280625,0.814607744563357,9.73216218870806,1,2320.65443751212,-1.06706809116889
"355","COL9A2",0.00186975411842127,0.814607744563357,9.69548035820531,1,2320.65443751212,-10
"11007","PDE4C",0.00188295315823429,0.814607744563357,9.68250020808961,1,2320.65443751212,2.5829213525801
"10714","CACTIN",0.00189809786418939,0.814607744563357,9.66771988884978,1,2320.65443751212,-10
"8542","GPATCH2L",0.00194674668917786,0.814607744563357,9.62103834250459,1,2320.65443751212,-0.423584763475066
"6878","VWCE",0.00201216856778794,0.814607744563357,9.5600944449022,1,2320.65443751212,1.52638778270443
"12048","GATD3A",0.00202497550391683,0.814607744563357,9.54839969591717,1,2320.65443751212,1.40969935959685
"3752","ARHGAP26",0.00225467863144288,0.814607744563357,9.35050842032925,1,2320.65443751212,-0.273690582425753
"9775","SLC16A13",0.00227667605586444,0.814607744563357,9.33264293876584,1,2320.65443751212,-10
"1490","ACYP2",0.00227925870000852,0.814607744563357,9.33055691735434,1,2320.65443751212,-0.451723977661708
"1348","TP53I3",0.00236488475626146,0.814607744563357,9.26272177850348,1,2320.65443751212,0.676709385764013
"10387","ENGASE",0.00240837464816609,0.814607744563357,9.229217049052,1,2320.65443751212,-1.37744194244463
"9735","MED11",0.00252829140472938,0.814607744563357,9.13992219786813,1,2320.65443751212,0.738502304868344
"1510","USP34",0.00263010512978901,0.814607744563357,9.06742157968288,1,2320.65443751212,-0.289920599933034
"11675","MKKS",0.0027133118629555,0.814607744563357,9.01025743651593,1,2320.65443751212,-1.49848223113425
"3284","TLR2",0.00304053652598111,0.814607744563357,8.80152312780683,1,2320.65443751212,0.45273604397507
"8976","SCAPER",0.00309784593334862,0.814607744563357,8.76732944853998,1,2320.65443751212,-0.420987478629752
"7389","MRPL51",0.0031239481002505,0.814607744563357,8.75196821687524,1,2320.65443751212,-0.524698327949101
"10013","DUSP14",0.00314991618651559,0.814607744563357,8.73681485993488,1,2320.65443751212,-2.05920673821165
"1115","EIF2D",0.00326459984040874,0.814607744563357,8.67137786412743,1,2320.65443751212,-1.98631142455483
"10168","SNF8",0.00340844456153086,0.814607744563357,8.59253116347002,1,2320.65443751212,-0.511714516206352
"11810","PLCG1",0.0034424198083367,0.814607744563357,8.57440240221886,1,2320.65443751212,-10
"3027","NFXL1",0.00346918312471277,0.814607744563357,8.56024955166846,1,2320.65443751212,-1.06513469485066
"717","NUDT17",0.00349879716450104,0.814607744563357,8.54471808658508,1,2320.65443751212,-10
"5672","APTX",0.00350978919617524,0.814607744563357,8.53898718710373,1,2320.65443751212,-0.701213431861333
"5768","CEP78",0.00352058367291084,0.814607744563357,8.53337703201626,1,2320.65443751212,-1.45211772431574
"11514","NLRP2",0.00363304194975956,0.814607744563357,8.47594945219984,1,2320.65443751212,1.53946151493802
"8121","GPALPP1",0.00370024729539556,0.814607744563357,8.44248794297155,1,2320.65443751212,-0.850846264268082
"7846","NUAK1",0.00374665633793576,0.814607744563357,8.41974001847166,1,2320.65443751212,2.2189918859284
"10277","RGS9",0.00375548493350982,0.814607744563357,8.41544506609685,1,2320.65443751212,-1.13842032953448
"3387","OTULINL",0.00378306417280404,0.814607744563357,8.40209416457593,1,2320.65443751212,0.555711946492342
"945","UAP1",0.00380606950068083,0.814607744563357,8.39103303336195,1,2320.65443751212,-1.72908227689992
"12084","MICAL3",0.00381131578792133,0.814607744563357,8.38852011053279,1,2320.65443751212,0.882182138900135
"8964","NEIL1",0.00383567042905671,0.814607744563357,8.37690039373614,1,2320.65443751212,-10
"8026","PGAM5",0.00386988391986947,0.814607744563357,8.36070321931387,1,2320.65443751212,-2.92168181128771
"9174","THOC6",0.00398797738976146,0.814607744563357,8.30589523781867,1,2320.65443751212,-2.25342594004743
"12519","PRAF2",0.00403214041539939,0.814607744563357,8.28582237095259,1,2320.65443751212,1.59402419472944
"2647","MRPL3",0.00409121464251704,0.814607744563357,8.25931935038607,1,2320.65443751212,-0.852101446278769
