"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"934","FCGR3A",2.69750769548983e-61,3.46386963177849e-57,289.995555781876,1,2271.44903028977,1.91250389367216
"935","FCGR3B",1.05789592516538e-12,6.79222078752435e-09,51.3158802171586,1,2271.44903028977,3.68082077031959
"1390","IFT172",6.9393875509405e-05,0.280083057134165,15.8860807626618,1,2271.44903028977,-10
"689","SLC22A15",9.19067866317068e-05,0.280083057134165,15.3510915948215,1,2271.44903028977,0.668851553571532
"10342","UNK",0.000137623281725899,0.280083057134165,14.5842212334592,1,2271.44903028977,-1.02860225290765
"11640","VPS16",0.000141474266501574,0.280083057134165,14.5318867113241,1,2271.44903028977,-1.95410167426593
"10844","PDE4A",0.000152681364374983,0.280083057134165,14.3873769709848,1,2271.44903028977,0.72869533547818
"7682","IL23A",0.000325223312934018,0.522024070173216,12.9589006217022,1,2271.44903028977,3.48554577630409
"1204","JMJD4",0.000577300468342822,0.647407900807248,11.8813559136186,1,2271.44903028977,1.39089449396551
"12254","MICALL1",0.000590818012891436,0.647407900807248,11.8380255461712,1,2271.44903028977,-3.21015373075824
"1712","SOWAHC",0.000615527365775949,0.647407900807248,11.7613485206428,1,2271.44903028977,-10
"4252","PTCHD4",0.000626022825016621,0.647407900807248,11.7297163872184,1,2271.44903028977,2.64477415964597
"10173","SPOP",0.000655424243477473,0.647407900807248,11.6438786321298,1,2271.44903028977,-0.743261149248419
"9171","PAQR4",0.000859319825801714,0.717916362671891,11.1381851448007,1,2271.44903028977,-10
"3117","COPS4",0.000888352150426334,0.717916362671891,11.0762573875356,1,2271.44903028977,-1.15751522997813
"3359","CCDC127",0.000894530161416576,0.717916362671891,11.0633437273033,1,2271.44903028977,-2.15860047801055
"2050","GMPPA",0.00107441306552573,0.809987973349335,10.7223086623077,1,2271.44903028977,-2.10219205459832
"3477","IPO11",0.00113540873142964,0.809987973349335,10.6196841711342,1,2271.44903028977,1.02307943950862
"10650","SBNO2",0.00127320472025297,0.860485358566759,10.4070272450847,1,2271.44903028977,0.883493092951514
"4267","ZNF451",0.00152189957860033,0.977135624440339,10.0764076272585,1,2271.44903028977,-0.715881790137618
"51","CEP104",0.00184322555771659,0.988765060445654,9.72233846745736,1,2271.44903028977,-1.2521937149445
"3953","GCNT2",0.00191258619323473,0.988765060445654,9.6541711997085,1,2271.44903028977,0.514863703621927
"2729","MME",0.00191825413109087,0.988765060445654,9.6487120698222,1,2271.44903028977,1.73990370705108
"12487","UBA1",0.00207057693935228,0.988765060445654,9.50782512922236,1,2271.44903028977,0.648527453036859
"9802","SENP3",0.00207626780006936,0.988765060445654,9.50276749570643,1,2271.44903028977,1.31047495872878
"798","S100A8",0.00215214213056093,0.988765060445654,9.43664849828962,1,2271.44903028977,0.881360964239404
"8766","LRRC57",0.00274827689367901,0.988765060445654,8.98718409299003,1,2271.44903028977,-1.62936328810364
"843","THBS3",0.00296096104668119,0.988765060445654,8.85051101801085,1,2271.44903028977,-10
"12748","RBMX",0.00296495793323001,0.988765060445654,8.84803918047803,1,2271.44903028977,0.48411434721671
"11111","SCN1B",0.00311164526492862,0.988765060445654,8.75959075069852,1,2271.44903028977,-2.05160701757395
"908","SLAMF6",0.00334438641537222,0.988765060445654,8.62760471078936,1,2271.44903028977,-10
"1125","CR2",0.00366018008093809,0.988765060445654,8.46273554803737,1,2271.44903028977,3.8188225941378
"2767","RPL22L1",0.00376491584001809,0.988765060445654,8.41123753611605,1,2271.44903028977,-0.992839628479123
"12275","APOBEC3G",0.0038338071845004,0.988765060445654,8.37815305459274,1,2271.44903028977,0.708961237799612
"4240","AARS2",0.00385323646412351,0.988765060445654,8.36893167477616,1,2271.44903028977,-2.89231886956076
"8126","ZC3H13",0.00403907895171598,0.988765060445654,8.2830475764101,1,2271.44903028977,0.454828351530268
"9029","AKAP13",0.00418881939541938,0.988765060445654,8.21672561960394,1,2271.44903028977,-0.300126448184175
"10159","CBX1",0.00425567955597692,0.988765060445654,8.18788853883679,1,2271.44903028977,0.571066754919103
"7401","PTMS",0.00442001204041211,0.988765060445654,8.11892790299638,1,2271.44903028977,0.35907468851105
"1371","MAPRE3",0.00451997831680946,0.988765060445654,8.07824451399973,1,2271.44903028977,-2.23461958149906
"8747","OIP5",0.00463437497777844,0.988765060445654,8.0327986414836,1,2271.44903028977,1.95539184539561
"8510","PTGR2",0.00467091115948448,0.988765060445654,8.01852467331698,1,2271.44903028977,0.890126514258506
"1901","ZNF804A",0.00467420385703877,0.988765060445654,8.01724387597052,1,2271.44903028977,-0.732808364402182
"3118","PLAC8",0.00472786992868729,0.988765060445654,7.99649745537039,1,2271.44903028977,1.35056572776225
"4381","DDO",0.00476865481898314,0.988765060445654,7.9808906017088,1,2271.44903028977,1.33990648323544
"811","SLC39A1",0.0048592266563102,0.988765060445654,7.94671332437915,1,2271.44903028977,-0.941600291796397
"5760","OSTF1",0.00500790384735375,0.988765060445654,7.89199407293173,1,2271.44903028977,-0.435970853728567
"9415","ITGAX",0.00506797277269373,0.988765060445654,7.87035465330327,1,2271.44903028977,0.405300717357833
"7383","CD9",0.00510173096679321,0.988765060445654,7.85830801445191,1,2271.44903028977,-0.484421397068677
"3591","PCSK1",0.00546444762456256,0.988765060445654,7.73377472617115,1,2271.44903028977,2.5753424005009
"11909","PPP1R3D",0.00557381867614995,0.988765060445654,7.69787501926282,1,2271.44903028977,-2.16435188855631
"11005","MPV17L2",0.00571777298067567,0.988765060445654,7.65170439520616,1,2271.44903028977,-10
"3027","NFXL1",0.0057221865726049,0.988765060445654,7.65030763320568,1,2271.44903028977,-1.25755875140307
"2338","ATRIP",0.00577004083689266,0.988765060445654,7.63523349144227,1,2271.44903028977,-10
"789","MRPL9",0.00579705983979231,0.988765060445654,7.62677874664759,1,2271.44903028977,-1.41133537169121
"9628","COTL1",0.00584526037857259,0.988765060445654,7.61179532266009,1,2271.44903028977,-0.35010128950626
"685","CSDE1",0.00584531502127025,0.988765060445654,7.61177840832751,1,2271.44903028977,0.281679438575826
"10284","BPTF",0.00590887727399923,0.988765060445654,7.59221159441034,1,2271.44903028977,-0.359687777509861
"2837","TP63",0.00608097094912985,0.988765060445654,7.54029456573941,1,2271.44903028977,1.62556490611832
