"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"935","FCGR3B",1.1343156194432e-64,1.45657468692702e-60,307.724599143456,1,2249.61882715065,5.92966911132608
"934","FCGR3A",7.99316936820095e-14,5.13201439285342e-10,56.5180310510082,1,2249.61882715065,1.11040608536812
"5721","ZCCHC7",5.64519410939434e-05,0.241633125195776,16.2803375069129,1,2249.61882715065,-0.778987375339168
"9024","NMB",0.00012247506356155,0.319809660525878,14.8059781113822,1,2249.61882715065,1.25967419220411
"1030","LAMC1",0.000124526773820527,0.319809660525878,14.7744425116346,1,2249.61882715065,-1.4170554408336
"4555","RNASET2",0.000150706036592374,0.322536035980445,14.4125286901695,1,2249.61882715065,-0.531237863428114
"5741","FXN",0.000216302929102334,0.382534101083921,13.7286437201705,1,2249.61882715065,-10
"12773","IDH3G",0.000259243818444007,0.382534101083921,13.3866873974013,1,2249.61882715065,-1.26321458743007
"7543","YAF2",0.000302806459438401,0.382534101083921,13.0938127207891,1,2249.61882715065,-1.12421678012747
"1208","GUK1",0.000318440316450515,0.382534101083921,12.9989787893666,1,2249.61882715065,0.465134644256581
"6200","ANKRD26",0.000327690609136604,0.382534101083921,12.9450552864837,1,2249.61882715065,-1.00938415563342
"11536","ZNF524",0.000409367311186349,0.438057136911992,12.5264662183995,1,2249.61882715065,1.05818770155812
"7182","MTMR2",0.000772751440898408,0.72706887277257,11.3365452912938,1,2249.61882715065,-1.62226489220863
"1203","SNAP47",0.00079269248647426,0.72706887277257,11.2889976717924,1,2249.61882715065,-10
"8266","ZNF219",0.00101343527676519,0.823984292136097,10.8312493816374,1,2249.61882715065,-1.91463391876553
"6074","PMPCA",0.00103048610904614,0.823984292136097,10.8002090811561,1,2249.61882715065,-2.10366524478987
"1190","EPHX1",0.00110420513185794,0.823984292136097,10.6717326086453,1,2249.61882715065,-1.34059757770545
"2816","MAGEF1",0.00116514541233288,0.823984292136097,10.5719205610183,1,2249.61882715065,1.5708922180105
"12800","F8",0.00126032218451637,0.823984292136097,10.4261493962293,1,2249.61882715065,1.64578978474381
"9784","CTDNEP1",0.00136721042785212,0.823984292136097,10.2751805182153,1,2249.61882715065,0.651297799968818
"12707","C1GALT1C1",0.00142860139174843,0.823984292136097,10.19378976803,1,2249.61882715065,-3.04480493857268
"11707","XRN2",0.00149146831513596,0.823984292136097,10.1140356687603,1,2249.61882715065,-0.583959838215421
"11242","B3GNT8",0.00167580322001649,0.823984292136097,9.89846020883419,1,2249.61882715065,1.63903363875733
"9500","CES2",0.00167954588130699,0.823984292136097,9.89433664250556,1,2249.61882715065,0.882596354720311
"615","S1PR1",0.00177249234967612,0.823984292136097,9.79481412516883,1,2249.61882715065,2.47381442850028
"3727","APBB3",0.00182943727272233,0.823984292136097,9.73642226287081,1,2249.61882715065,-3.0432680387618
"12683","PLS3",0.00187310426187933,0.823984292136097,9.69288127204888,1,2249.61882715065,3.38711927149009
"8905","MAP2K1",0.00197826282078508,0.823984292136097,9.59211458644111,1,2249.61882715065,-0.716515297367078
"2296","ZNF445",0.00199052486737792,0.823984292136097,9.58072013910385,1,2249.61882715065,1.22019573909577
"9044","ANPEP",0.00201650141570052,0.823984292136097,9.55681501154702,1,2249.61882715065,-0.623078777130317
"11324","QPCTL",0.00202403097343331,0.823984292136097,9.54994426786588,1,2249.61882715065,1.50401190782986
"11522","PPP6R1",0.00206294850553492,0.823984292136097,9.51484037507019,1,2249.61882715065,0.686882854281153
"2685","RASA2",0.002161592064783,0.823984292136097,9.428789535763,1,2249.61882715065,0.53693093863582
"7831","HSP90B1",0.00218171995425803,0.823984292136097,9.41172144170268,1,2249.61882715065,-0.537827462909586
"6832","AGBL2",0.00233373171679829,0.845204076058962,9.28775836512307,1,2249.61882715065,2.77410397775557
"5017","CPED1",0.00236954651025018,0.845204076058962,9.25974613802295,1,2249.61882715065,1.00540038876396
"6710","EIF4G2",0.00245051632414502,0.850461624820167,9.19796948270579,1,2249.61882715065,0.372449979510613
"3083","RCHY1",0.00284120236135536,0.931757760659345,8.92638083024849,1,2249.61882715065,-1.26793704481866
"9768","MED31",0.0029722622694807,0.931757760659345,8.84371637987904,1,2249.61882715065,-1.73844120909137
"4828","RSBN1L",0.0031483323241656,0.931757760659345,8.73831378367333,1,2249.61882715065,-0.647308338470409
"8287","C14orf119",0.00319223684624018,0.931757760659345,8.71296446054738,1,2249.61882715065,0.694486642452481
"7386","LTBR",0.00324898029134678,0.931757760659345,8.68072251764181,1,2249.61882715065,0.762517476891236
"1394","SUPT7L",0.00330409473341289,0.931757760659345,8.64994986932729,1,2249.61882715065,1.0545451473292
"4355","CRYBG1",0.00341148936156731,0.931757760659345,8.59145905654285,1,2249.61882715065,0.743622506223705
"3303","NAF1",0.00360810582579076,0.931757760659345,8.48907310150945,1,2249.61882715065,-1.979914048314
"4728","POLD2",0.00367219997586227,0.931757760659345,8.45692042359881,1,2249.61882715065,-10
"9703","SERPINF1",0.00381053102284578,0.931757760659345,8.38943115218658,1,2249.61882715065,-10
"2982","PI4K2B",0.00394259822822082,0.931757760659345,8.32728592814282,1,2249.61882715065,0.713660049134253
"11485","MYADM",0.0042162760485125,0.931757760659345,8.20498827755514,1,2249.61882715065,1.38378634702735
"6520","TCF7L2",0.00422820639168534,0.931757760659345,8.19984257362005,1,2249.61882715065,0.564751987968119
"470","SSBP3",0.00454284271184924,0.931757760659345,8.06922441352057,1,2249.61882715065,-0.800336050881121
"2220","NKIRAS1",0.00462615234041287,0.931757760659345,8.03618184278243,1,2249.61882715065,-1.88878554491367
"9061","HDDC3",0.00471113154288468,0.931757760659345,8.00309613631945,1,2249.61882715065,1.11336734247077
"4536","EZR",0.00480919471661897,0.931757760659345,7.96566418300702,1,2249.61882715065,0.604477254223501
"2961","CC2D2A",0.00482582033047755,0.931757760659345,7.95939520122071,1,2249.61882715065,-2.95429270788031
"6047","SURF2",0.00493159011993228,0.931757760659345,7.92002129512337,1,2249.61882715065,-2.17722901712452
"6251","TMEM273",0.00512339342502942,0.931757760659345,7.85076878663945,1,2249.61882715065,1.42339855627236
"3467","GAPT",0.00525741440440594,0.931757760659345,7.80393092987666,1,2249.61882715065,1.50563142861947
"8788","CTDSPL2",0.00557878716731938,0.931757760659345,7.69640413060523,1,2249.61882715065,-0.718020221738147
"2352","NDUFAF3",0.00559626180164738,0.931757760659345,7.6907399228854,1,2249.61882715065,0.542940554219597
"1415","DPY30",0.00564923826852428,0.931757760659345,7.67367786473109,1,2249.61882715065,-0.918457282316813
"4685","MINDY4",0.00564939802344685,0.931757760659345,7.67362666002891,1,2249.61882715065,2.63936059037977
"12398","ANOS1",0.00567391106849418,0.931757760659345,7.66578719123243,1,2249.61882715065,1.82170969463929
