"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6936","FERMT3",3.99596876244947e-112,5.13122348786137e-108,566.924665374345,1,2285.63060007264,2.50473341051544
"8694","CHRNA7",2.49187260703151e-14,1.59990680734458e-10,58.8572558089375,1,2285.63060007264,5.81767831517584
"482","JUN",8.48509801219976e-10,3.6319047858219e-06,37.9653850591595,1,2285.63060007264,1.36356285698821
"1751","TFCP2L1",9.15043459092305e-09,2.8964334994942e-05,33.2607562170556,1,2285.63060007264,2.68804190471475
"7052","TCIRG1",1.12780682948921e-08,2.8964334994942e-05,32.8483976702506,1,2285.63060007264,0.822323899912493
"2846","ATP13A3",1.62144202208832e-06,0.00347015616760601,23.1194793387744,1,2285.63060007264,0.611942144143643
"987","EEF1AKNMT",3.94507411470004e-05,0.0723695667240902,16.963971502096,1,2285.63060007264,-3.60418371667767
"323","CSF3R",5.93127974340664e-05,0.088164907661618,16.1850283492658,1,2285.63060007264,0.771677539013892
"3180","TET2",6.17930199326035e-05,0.088164907661618,16.1068867813791,1,2285.63060007264,0.447429938825186
"12220","HMOX1",6.91430706710856e-05,0.0887866170487411,15.8926156131998,1,2285.63060007264,-0.58538575793644
"1118","IL10",0.000125933695582395,0.147010416815776,14.7523064019719,1,2285.63060007264,0.947751142220029
"4275","ADGRB3",0.000170018049202228,0.181933480817151,14.18335825283,1,2285.63060007264,2.61181034338532
"9066","SV2B",0.000371719446272975,0.367173031507021,12.7072094887188,1,2285.63060007264,2.75826409176367
"7220","ZC3H12C",0.000457345819662005,0.417344621983686,12.3177675256212,1,2285.63060007264,0.755578438078855
"4375","ZBTB24",0.000492889021842842,0.417344621983686,12.1773572703367,1,2285.63060007264,1.04536466510194
"10128","NMT1",0.00052001510409929,0.417344621983686,12.0769160757311,1,2285.63060007264,-0.768991490725207
"9056","CRTC3",0.000620784604795359,0.468911477069248,11.745232066881,1,2285.63060007264,0.614776274762554
"8218","EFNB2",0.000712023604836967,0.507949728317305,11.488879846639,1,2285.63060007264,3.31393232125491
"7433","MFAP5",0.000869517763482649,0.587656715835826,11.1160106480837,1,2285.63060007264,3.34889907449348
"2197","MRPS25",0.00101356778006814,0.631264653134555,10.8305580079768,1,2285.63060007264,-1.08567897655825
"1974","WDR12",0.00104327635135375,0.631264653134555,10.7768204720759,1,2285.63060007264,-1.80818594892873
"8886","OAZ2",0.00110651266109771,0.631264653134555,10.6674173287431,1,2285.63060007264,-0.588554017330644
"1797","EPC2",0.00114674102498335,0.631264653134555,10.6010662570754,1,2285.63060007264,-0.659020030465765
"9279","ACSM5",0.00125597926571567,0.631264653134555,10.4321373446416,1,2285.63060007264,1.17163938510851
"153","SLC66A1",0.00130442383711298,0.631264653134555,10.3619330173385,1,2285.63060007264,1.11224106478548
"1940","MOB4",0.00138718490971922,0.631264653134555,10.2478960580709,1,2285.63060007264,0.638527364666729
"536","MIGA1",0.00150652735755575,0.631264653134555,10.0950456675611,1,2285.63060007264,-0.877917874899124
"6826","CELF1",0.00152428278697537,0.631264653134555,10.0733594868,1,2285.63060007264,0.356423133734167
"9190","SLX4",0.00153007430715528,0.631264653134555,10.0663411648191,1,2285.63060007264,-10
"1444","DHX57",0.00153343486305186,0.631264653134555,10.0622810859798,1,2285.63060007264,0.756457388681163
"3416","NADK2",0.00162031557984107,0.631264653134555,9.96033316312342,1,2285.63060007264,-2.49442784827733
"3448","EMB",0.0016477312072328,0.631264653134555,9.92931059207992,1,2285.63060007264,-0.960423822731654
"6495","PDCD11",0.00170358048223524,0.631264653134555,9.86770084750212,1,2285.63060007264,-1.68367456050114
"12559","SPIN3",0.00174097260496761,0.631264653134555,9.82758614858268,1,2285.63060007264,-3.09413857739681
"12042","PDXK",0.00187868292687219,0.631264653134555,9.68703089007251,1,2285.63060007264,-0.467551237629268
"5078","ZC3HAV1",0.0018923727020189,0.631264653134555,9.67363368575254,1,2285.63060007264,0.372352419481167
"5873","ABITRAM",0.0019946803117872,0.631264653134555,9.57652056474617,1,2285.63060007264,-3.00258657619457
"5118","ZNF425",0.00202933471497945,0.631264653134555,9.54476807336134,1,2285.63060007264,-10
"10132","HEXIM2",0.00206248179079142,0.631264653134555,9.51490738848012,1,2285.63060007264,1.15266159437719
"6937","TRPT1",0.00206977169486923,0.631264653134555,9.50840559633644,1,2285.63060007264,-2.35068081695906
"9416","ITGAD",0.00207236121145916,0.631264653134555,9.50610162482994,1,2285.63060007264,1.8869873501609
"11125","COX6B1",0.00210418917787785,0.631264653134555,9.47801958024049,1,2285.63060007264,-0.356622714884986
"7099","UCP2",0.00213147923837328,0.631264653134555,9.45428253525027,1,2285.63060007264,-0.577639024091818
"9041","POLG",0.00228897861197101,0.631264653134555,9.32304491689193,1,2285.63060007264,0.922813618100204
"2665","STAG1",0.00229627314730778,0.631264653134555,9.31719092638588,1,2285.63060007264,0.371739347682659
"10085","CCR10",0.00232338026442118,0.631264653134555,9.2956012326314,1,2285.63060007264,2.72750518939277
"6608","SIGIRR",0.00232386711466702,0.631264653134555,9.2952158187521,1,2285.63060007264,0.775845597411818
"11338","AP2S1",0.00239911872304258,0.631264653134555,9.23660790630797,1,2285.63060007264,-0.333175775794932
"7930","KSR2",0.00240884417129454,0.631264653134555,9.22917003297171,1,2285.63060007264,3.31496859724704
"4612","RAC1",0.0026229296088308,0.653715266317929,9.07273842779674,1,2285.63060007264,-0.277486798582003
"585","DIPK1A",0.00263229564152842,0.653715266317929,9.06619423289347,1,2285.63060007264,0.734203321393255
"4855","MTERF1",0.00264723883253113,0.653715266317929,9.05580201357341,1,2285.63060007264,-0.954891635274828
"11413","TBC1D17",0.00272435119799247,0.660064032706062,9.00310442957763,1,2285.63060007264,0.843227972365809
"1947","TYW5",0.00286620095440554,0.673691891083574,8.91000917714855,1,2285.63060007264,-1.4669226627768
"7738","DYRK2",0.00289442103501042,0.673691891083574,8.8920478706637,1,2285.63060007264,-1.36376205752614
"544","PRKACB",0.00314996767218358,0.673691891083574,8.73706552579456,1,2285.63060007264,-0.610813507990544
"3827","TENM2",0.00318125343897554,0.673691891083574,8.71897613087549,1,2285.63060007264,3.12360067751409
"12116","PI4KA",0.00320102333358474,0.673691891083574,8.70763824515259,1,2285.63060007264,-0.532673797580903
"11283","ZNF284",0.00321483754461211,0.673691891083574,8.69975808538958,1,2285.63060007264,1.6200974268151
"4212","MEA1",0.00327660722414518,0.673691891083574,8.66493847748422,1,2285.63060007264,-1.00080352602422
"9064","PRC1",0.00334672335508791,0.673691891083574,8.62621405725726,1,2285.63060007264,1.81293444421054
"2028","CNOT9",0.00335453021636682,0.673691891083574,8.62195356348654,1,2285.63060007264,-0.989268501630451
"7497","ETNK1",0.0033623065444012,0.673691891083574,8.61771974840208,1,2285.63060007264,0.35856096116098
"2573","LRRC58",0.00339464859947543,0.673691891083574,8.60021736588181,1,2285.63060007264,-0.652128550121002
"850","FDPS",0.00350359470974885,0.673691891083574,8.54248340755295,1,2285.63060007264,0.649120804219907
"7095","RAB6A",0.00350866642993545,0.673691891083574,8.53984042639758,1,2285.63060007264,0.397650194930644
"12558","NBDY",0.00357549780693981,0.673691891083574,8.50537179613293,1,2285.63060007264,-0.507228407296465
"2307","ZDHHC3",0.00366990904699399,0.673691891083574,8.45777993217135,1,2285.63060007264,-0.691022153182072
"2768","EIF5A2",0.00368366646425415,0.673691891083574,8.45094913708641,1,2285.63060007264,-10
"10053","SMARCE1",0.00371188580703778,0.673691891083574,8.43701863411499,1,2285.63060007264,-0.671444899292279
"3851","C5orf47",0.00372581526241138,0.673691891083574,8.43018203289278,1,2285.63060007264,3.34239720123094
"4894","ATP5MF",0.00382863065869461,0.673691891083574,8.38051065810024,1,2285.63060007264,-0.425183786986166
"6222","CCNY",0.0038708848821097,0.673691891083574,8.3604896669879,1,2285.63060007264,-0.376628323545878
"4157","FKBP5",0.00393273522845609,0.673691891083574,8.33158126540538,1,2285.63060007264,0.561274285117199
"4400","DSE",0.00393490035920698,0.673691891083574,8.33057770352507,1,2285.63060007264,0.490025207158353
"3360","SDHA",0.00400036795699024,0.673691891083574,8.30049538010691,1,2285.63060007264,-0.636569393036957
"9749","SPAG7",0.00403973799652949,0.673691891083574,8.28264531346346,1,2285.63060007264,0.686737224903646
"10305","RPL38",0.00409897109415717,0.674806254103489,8.25612053794659,1,2285.63060007264,-0.326397991163292
"6155","SEPHS1",0.00417666352215992,0.677588211531015,8.22191537875439,1,2285.63060007264,-1.47085656580629
"5362","MTFR1",0.00422140463534625,0.677588211531015,8.20251034693173,1,2285.63060007264,0.787290882987043
"9479","MMP15",0.0043204946988009,0.684931758361758,8.16026870991592,1,2285.63060007264,3.02074387588583
"2614","CHST13",0.00452922091585168,0.709264948542091,8.07442947292433,1,2285.63060007264,0.906943111280196
"7130","RSF1",0.00462210048308801,0.71508906389558,8.03752067740194,1,2285.63060007264,0.331147534902386
"3311","DDX60",0.00477617241362156,0.730128928134696,7.9779310186645,1,2285.63060007264,0.41218037788421
"3803","LARP1",0.00489296246971575,0.734100470042576,7.93405214067212,1,2285.63060007264,-0.439495399083693
"1290","SH3BP5L",0.00491648940297964,0.734100470042576,7.92534221487743,1,2285.63060007264,-1.67100749033141
"6156","BEND7",0.00507809019118342,0.746683383274288,7.86664049544926,1,2285.63060007264,2.48633996106777
"9569","SF3B3",0.0051170576846147,0.746683383274288,7.8527706073304,1,2285.63060007264,0.663327028611831
"9451","LPCAT2",0.00520832337897771,0.749079082403609,7.82070311950792,1,2285.63060007264,0.396256178790325
"3118","PLAC8",0.00566562925673724,0.749079082403609,7.66819933555994,1,2285.63060007264,-2.9563727110851
"3587","SPATA9",0.00574306483543999,0.749079082403609,7.64362503537049,1,2285.63060007264,1.6038407777306
"262","ZCCHC17",0.00580070337624872,0.749079082403609,7.62555193727717,1,2285.63060007264,0.472367779470572
"5583","HSF1",0.00587406537635288,0.749079082403609,7.60281195888552,1,2285.63060007264,-0.83782910286695
"11474","ZNF160",0.00593650209329572,0.749079082403609,7.58368572107606,1,2285.63060007264,-0.771229248757714
"68","CAMTA1",0.00599807574734421,0.749079082403609,7.56502396411098,1,2285.63060007264,-0.408121749574458
