"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"845","GBA",1.90583609635188e-18,2.44728413132545e-14,78.1268918525729,1,2252.23056425399,1.64516157096487
"10003","CCL4L2",7.16389916368193e-05,0.459958145804198,15.8259019505192,1,2252.23056425399,4.24147940390209
"9619","HSBP1",0.000167535951101995,0.542519186546288,14.211904424643,1,2252.23056425399,-0.687890253054503
"9297","POLR3E",0.000236925420124745,0.542519186546288,13.5565646777408,1,2252.23056425399,-10
"5127","ZNF862",0.000293201578234264,0.542519186546288,13.1545097241619,1,2252.23056425399,-2.65550464295823
"1618","RNF181",0.000339292971069774,0.542519186546288,12.8795062078542,1,2252.23056425399,-0.626867660318346
"10000","CCL3",0.000356476448165162,0.542519186546288,12.7865351217529,1,2252.23056425399,1.57027343198735
"2513","CMSS1",0.000399175840840347,0.542519186546288,12.5737977619724,1,2252.23056425399,1.07079813303135
"9073","IGF1R",0.000441660783124136,0.542519186546288,12.3838093800118,1,2252.23056425399,1.02125863730523
"10001","CCL4",0.000457277143410958,0.542519186546288,12.3185807751136,1,2252.23056425399,2.05686431645287
"2129","STK25",0.000465328119098418,0.542519186546288,12.2858259412967,1,2252.23056425399,-1.68379831535232
"798","S100A8",0.000532482635269939,0.542519186546288,12.0330225683751,1,2252.23056425399,1.07479324251377
"10590","PMAIP1",0.00056955373457186,0.542519186546288,11.9069407815317,1,2252.23056425399,1.95245683007104
"1632","RNF103",0.000591485757468112,0.542519186546288,11.8361960956721,1,2252.23056425399,1.13291679961611
"5554","ZC3H3",0.000636717413907794,0.545072554132666,11.6983093458912,1,2252.23056425399,1.20387434995773
"9744","CHRNE",0.000703052276709264,0.562435826802652,11.5130347265988,1,2252.23056425399,1.87831983350761
"2707","HPS3",0.000791698357252414,0.562435826802652,11.2913035678826,1,2252.23056425399,0.674958054875512
"10875","ACP5",0.000815508592704706,0.562435826802652,11.2360212909939,1,2252.23056425399,0.489028719055259
"3153","SMARCAD1",0.000832200039658156,0.562435826802652,11.198232185303,1,2252.23056425399,-1.41164679935238
"604","SLC35A3",0.000982724726153206,0.630958410426666,10.8884806129656,1,2252.23056425399,0.889399354186251
"1646","FAHD2A",0.00106728475061349,0.65261921345847,10.7349213998392,1,2252.23056425399,-3.10617137586761
"11456","ZNF836",0.0011579406292429,0.653519832433612,10.5834103555877,1,2252.23056425399,-10
"7636","ATF7",0.00122684922701944,0.653519832433612,10.4760741183778,1,2252.23056425399,0.518761147875138
"4540","WTAP",0.00127222888859569,0.653519832433612,10.4086724473812,1,2252.23056425399,0.543417798194109
"4561","ERMARD",0.00127233048912392,0.653519832433612,10.4085242900313,1,2252.23056425399,-3.09410356265619
"9953","NSRP1",0.00136309614441891,0.65430187975469,10.2807369942501,1,2252.23056425399,0.486090853775431
"5789","CDK20",0.00137576129221841,0.65430187975469,10.2635947715266,1,2252.23056425399,3.55011526282487
"11228","ITPKC",0.00148713475020158,0.661315802770481,10.1193940226716,1,2252.23056425399,-10
"10129","PLCD3",0.00153205956002627,0.661315802770481,10.0643023758635,1,2252.23056425399,2.15659656588039
"396","ERI3",0.00165958237606629,0.661315802770481,9.91641264511693,1,2252.23056425399,-1.33544386041031
"11652","C20orf27",0.00169815107607353,0.661315802770481,9.87394759833815,1,2252.23056425399,-1.87751314738436
"9040","FANCI",0.00172915561442232,0.661315802770481,9.84051400741099,1,2252.23056425399,-10
"1999","UNC80",0.00174602044139992,0.661315802770481,9.82258226722203,1,2252.23056425399,2.36714335503757
"12746","HTATSF1",0.00176666014941362,0.661315802770481,9.80087435629724,1,2252.23056425399,-1.47948134120575
