"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"4653","GPNMB",6.53710127696634e-72,8.39429174975248e-68,345.779517923441,1,2250.45089665518,1.61197525536448
"12216","TIMP3",1.72157089578499e-12,1.10533459363875e-08,50.3439679123331,1,2250.45089665518,2.69337529551936
"4275","ADGRB3",5.80558413462042e-06,0.0190945442852475,20.6499797489918,1,2250.45089665518,3.05501144522824
"71","TNFRSF9",5.94799292430418e-06,0.0190945442852475,20.6031567068723,1,2250.45089665518,1.92806818783272
"9877","ATPAF2",3.92353659711965e-05,0.100764266887227,16.9754833026464,1,2250.45089665518,-2.47690848431622
"8581","PSMC1",0.000163524393025242,0.349969455139521,14.2578430111651,1,2250.45089665518,-0.987787162621288
"482","JUN",0.000199803794524549,0.366525789355676,13.8786198911472,1,2250.45089665518,1.01908202108047
"3065","GRSF1",0.000264628308446661,0.407076262519017,13.3478866245507,1,2250.45089665518,-1.14968174397306
"9503","C16orf70",0.000285311608338226,0.407076262519017,13.2059628880862,1,2250.45089665518,-1.35674649319724
"8720","RASGRP1",0.000330030330407524,0.423791947276301,12.9316447745009,1,2250.45089665518,3.14276840836143
"9116","TPSB2",0.000529584066370677,0.601358364265879,12.0432793939262,1,2250.45089665518,1.12994744759078
"11918","RPS21",0.000561973395466906,0.601358364265879,11.9320611016638,1,2250.45089665518,-0.469059077714586
"4162","MAPK13",0.000761440514965521,0.610123930740537,11.3640582987697,1,2250.45089665518,-1.34037439835571
"4573","COX19",0.000774485748197587,0.610123930740537,11.3323495365094,1,2250.45089665518,0.949058919023018
"12481","CHST7",0.000815097714178639,0.610123930740537,11.2369854553964,1,2250.45089665518,1.21646544054951
"12389","DHRSX",0.00082205508781175,0.610123930740537,11.2211317584468,1,2250.45089665518,0.435632431360568
"7015","SLC29A2",0.000824840729134135,0.610123930740537,11.2148221604659,1,2250.45089665518,3.78699296737011
"12625","CHM",0.000874079859843796,0.610123930740537,11.1067167933408,1,2250.45089665518,0.695714245194184
"4219","SRF",0.00090276105319447,0.610123930740537,11.0465514401524,1,2250.45089665518,-10
"8530","ACYP1",0.00100401022366814,0.642544902084407,10.8486243741596,1,2250.45089665518,1.72409585838681
"11780","EPB41L1",0.00105080935626295,0.642544902084407,10.7638731772532,1,2250.45089665518,-1.79064247500591
"696","TTF2",0.0011225590255224,0.646809434626456,10.641085845156,1,2250.45089665518,1.16521077558382
"1492","EML6",0.00118689761405523,0.646809434626456,10.5375588169302,1,2250.45089665518,2.85899979440362
"11484","ZNF331",0.00122469815101249,0.646809434626456,10.4793525502921,1,2250.45089665518,-0.857462386258118
