"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"12073","S100B",5.09232481359066e-06,0.0653905429313176,20.9035144457892,1,2246.73807766219,1.76002318504578
"2930","CYTL1",2.4936297924386e-05,0.135414696982636,17.843828361948,1,2246.73807766219,3.92416666111215
"12097","UFD1",3.16364839925169e-05,0.135414696982636,17.3876642478043,1,2246.73807766219,-1.95426066633032
"6847","YPEL4",0.000138509106940466,0.444648860555631,14.5726017956447,1,2246.73807766219,-10
"1422","LTBP1",0.000233671772102257,0.600115845113018,13.5827850691248,1,2246.73807766219,4.00447720085886
"12335","PARVG",0.000307023808800012,0.657082121466826,13.0678047103576,1,2246.73807766219,0.793702838490189
"6354","PPIF",0.000431221974100326,0.791045909917469,12.4288142289655,1,2246.73807766219,0.789852427662214
"9600","TERF2IP",0.000687239483830516,0.822442369419981,11.5556231676328,1,2246.73807766219,0.630757333932362
"1246","GGPS1",0.000695969527042783,0.822442369419981,11.5320329448143,1,2246.73807766219,-1.49494869295052
"8328","SDR39U1",0.000718710392648102,0.822442369419981,11.4719603093677,1,2246.73807766219,-10
"7433","MFAP5",0.000765753746087018,0.822442369419981,11.3535652526187,1,2246.73807766219,3.59417780919135
"7208","ALKBH8",0.000768577870340298,0.822442369419981,11.346693601079,1,2246.73807766219,1.60684793418225
"11631","SIRPD",0.000873185663156094,0.862505930814416,11.1086738508969,1,2246.73807766219,1.11034251998288
"1354","CENPO",0.00108385477282928,0.962680102074967,10.7063460244448,1,2246.73807766219,2.29015474817968
"10817","ZNF426",0.00184099886507084,0.962680102074967,9.72482193816217,1,2246.73807766219,-2.99612804609803
"5407","LRRCC1",0.00206637546559191,0.962680102074967,9.51180995324668,1,2246.73807766219,-10
"7581","TUBA1C",0.00210909428744185,0.962680102074967,9.47410548281501,1,2246.73807766219,-0.821404470644641
"4736","PURB",0.00211939137847576,0.962680102074967,9.46513300725997,1,2246.73807766219,0.830807580685649
"1146","ATF3",0.00221146022161396,0.962680102074967,9.38682033454195,1,2246.73807766219,-1.55085667653381
"11433","IGLON5",0.00261109546258053,0.962680102074967,9.08138747948618,1,2246.73807766219,2.20370876274126
"9672","FANCA",0.00278004147566599,0.962680102074967,8.96631860742655,1,2246.73807766219,-10
"177","HNRNPR",0.00283008763010172,0.962680102074967,8.933594010851,1,2246.73807766219,0.515654357313745
"10981","BABAM1",0.00301619769065419,0.962680102074967,8.81685646384508,1,2246.73807766219,-1.20267166118987
"7184","CCDC82",0.00330605998911822,0.962680102074967,8.64888600798857,1,2246.73807766219,-0.980564275115888
"1046","ODR4",0.00342523716918573,0.962680102074967,8.58413053335813,1,2246.73807766219,-1.11256367410298
"7215","C11orf65",0.0035876816489366,0.962680102074967,8.49946406794415,1,2246.73807766219,-10
"3551","MTX3",0.00360490674589148,0.962680102074967,8.49071604979631,1,2246.73807766219,-10
"6404","NOC3L",0.00371866366342692,0.962680102074967,8.43398979503679,1,2246.73807766219,-2.97771475793709
"2871","NCBP2AS2",0.00375289052843505,0.962680102074967,8.41726743192428,1,2246.73807766219,-1.98164970324575
"10892","ZNF799",0.0038659626934712,0.962680102074967,8.3631066607086,1,2246.73807766219,2.06175830658962
"2197","MRPS25",0.00403725346811762,0.962680102074967,8.28405748895909,1,2246.73807766219,-1.26477723459248
"1432","CEBPZ",0.00424106415704947,0.962680102074967,8.19433484474178,1,2246.73807766219,-1.21393506356493
"3117","COPS4",0.0043878989465726,0.962680102074967,8.13237585706803,1,2246.73807766219,-1.21440454390892
"1993","FZD5",0.00461005275417403,0.962680102074967,8.04254049785278,1,2246.73807766219,1.77886344952157
"525","FPGT",0.00467890232915867,0.962680102074967,8.01559264406909,1,2246.73807766219,-1.53880069884314
"12756","TMEM185A",0.00471805391390345,0.962680102074967,8.00044833905858,1,2246.73807766219,-1.89070435200218
"253","EPB41",0.0047794123595823,0.962680102074967,7.9769699767273,1,2246.73807766219,-0.887126376205509
"7317","TMEM218",0.00478318792230346,0.962680102074967,7.97553533659295,1,2246.73807766219,-2.82668718457452
"10246","BRIP1",0.00487800515233342,0.962680102074967,7.93988027820941,1,2246.73807766219,-10
"11694","DZANK1",0.00514742522326141,0.962680102074967,7.84229857921099,1,2246.73807766219,-10
"3277","GATB",0.00543376763457375,0.962680102074967,7.74414061195301,1,2246.73807766219,-2.19374746291402
"10323","ARMC7",0.00557453658703337,0.962680102074967,7.69780371044637,1,2246.73807766219,1.21616936692216
"10942","PKN1",0.00558908764895768,0.962680102074967,7.69308219900522,1,2246.73807766219,0.604579005872211
"9911","KSR1",0.00560254796009332,0.962680102074967,7.68872576980586,1,2246.73807766219,-2.31315456623337
"12168","CCDC117",0.00570853133901556,0.962680102074967,7.65479290424768,1,2246.73807766219,-1.53604907279859
"12106","TRMT2A",0.00577747179152968,0.962680102074967,7.6330635843709,1,2246.73807766219,-2.75873933905962
"5747","SMC5",0.00589502203656005,0.962680102074967,7.59661634038322,1,2246.73807766219,-0.671862691821579
"765","SETDB1",0.00590030536331173,0.962680102074967,7.5949956802192,1,2246.73807766219,0.743787613279831
"5601","RPL8",0.00591536500625198,0.962680102074967,7.59038425371865,1,2246.73807766219,-0.319727621173989
"7037","PPP1CA",0.00601047815087041,0.962680102074967,7.56153365442307,1,2246.73807766219,0.551130985278302
"5246","R3HCC1",0.00605269678179412,0.962680102074967,7.54887658275698,1,2246.73807766219,-2.14588425668603
"8615","SYNE3",0.00623151000788331,0.962680102074967,7.49624996044725,1,2246.73807766219,-2.80507107861019
"12540","IQSEC2",0.00630347289792496,0.962680102074967,7.47550448065094,1,2246.73807766219,-1.293589787008
"4417","HSF2",0.0063933317257655,0.962680102074967,7.44993701813595,1,2246.73807766219,1.18556741233736
"140","SDHB",0.00642862680598015,0.962680102074967,7.43999481249,1,2246.73807766219,0.56483087611405
"12312","WBP2NL",0.00672520284631053,0.962680102074967,7.35859188676974,1,2246.73807766219,-2.236635340625
"2629","ACAD9",0.00677810159702982,0.962680102074967,7.34445876899485,1,2246.73807766219,-1.62922633064295
"11177","KCNK6",0.0068450275266445,0.962680102074967,7.32673864912012,1,2246.73807766219,0.912730013780034
"8538","TTLL5",0.00708320297168803,0.962680102074967,7.26508251790607,1,2246.73807766219,0.63417187357817
"6561","BUB3",0.00713400477583904,0.962680102074967,7.25220599888024,1,2246.73807766219,0.731442384039589
"9135","NUBP2",0.00717047987729287,0.962680102074967,7.24301850357981,1,2246.73807766219,1.04569969687318
"8509","PNMA1",0.00721861086558395,0.962680102074967,7.23096794615248,1,2246.73807766219,-10
"5004","FOXP2",0.00742032235897853,0.962680102074967,7.1813436882039,1,2246.73807766219,3.14463127802337
"6536","CACUL1",0.00743760132780347,0.962680102074967,7.17715712882063,1,2246.73807766219,-0.505498630579214
"903","PEA15",0.0074535106403435,0.962680102074967,7.17331121428478,1,2246.73807766219,-0.887808675874817
"2107","SCLY",0.00752485697148788,0.962680102074967,7.15616660687472,1,2246.73807766219,-2.84254456176025
"6098","TPRN",0.00774319896951175,0.962680102074967,7.10471376119432,1,2246.73807766219,1.73697424966262
"5795","GADD45G",0.00774960301187258,0.962680102074967,7.10322713269979,1,2246.73807766219,-2.25690100003999
"11665","CDS2",0.00778234151710174,0.962680102074967,7.09564683282553,1,2246.73807766219,0.546829722873117
"8514","ENTPD5",0.00785290851958897,0.962680102074967,7.07941806701995,1,2246.73807766219,-1.68965038382361
"7781","CEP290",0.00789116506356918,0.962680102074967,7.07068222574002,1,2246.73807766219,-1.29106536546274
"11700","SLC24A3",0.00797993714446248,0.962680102074967,7.05057707056558,1,2246.73807766219,2.7641941327288
"1701","TGFBRAP1",0.00826693540596223,0.962680102074967,6.98710978456765,1,2246.73807766219,-1.47119576407318
"5669","TOPORS",0.00835168836351877,0.962680102074967,6.96879828948747,1,2246.73807766219,0.743752467696779
"3632","DMXL1",0.00875701310207194,0.962680102074967,6.88377718957937,1,2246.73807766219,0.34680695000045
"5319","SLC20A2",0.00878342285983916,0.962680102074967,6.87837812768066,1,2246.73807766219,-1.02977092226687
"7237","BCO2",0.0088081748458376,0.962680102074967,6.87333304712383,1,2246.73807766219,-10
"10690","LMNB2",0.00898440657089555,0.962680102074967,6.83782702583305,1,2246.73807766219,1.65907628727135
"11204","SUPT5H",0.00913924172837155,0.962680102074967,6.80721586246765,1,2246.73807766219,0.588409809132968
"6612","LMNTD2",0.00917730897281708,0.962680102074967,6.79977129560847,1,2246.73807766219,2.34021944722708
"3889","CLK4",0.00918472956810031,0.962680102074967,6.79832378366524,1,2246.73807766219,0.792585392134933
"4384","AMD1",0.00935640136885617,0.962680102074967,6.76516681156644,1,2246.73807766219,0.471484656329327
"9650","ZC3H18",0.00955701075680989,0.962680102074967,6.72720200324229,1,2246.73807766219,-1.1405822613886
"11642","MRPS26",0.0096618883179482,0.962680102074967,6.70767813073266,1,2246.73807766219,0.924483104987405
"9633","KIAA0513",0.00991466517424419,0.962680102074967,6.66150067647363,1,2246.73807766219,-1.47222614932799
