"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10835","ICAM1",5.75491255041299e-141,7.38988320598533e-137,737.43661350281,1,2283.39710231164,3.0287609661182
"3187","DKK2",3.74449501589428e-07,0.00240415302495492,25.9739951654245,1,2283.39710231164,4.40071375108266
"2531","ALCAM",4.36747295922973e-06,0.018694240089823,21.1988179077569,1,2283.39710231164,0.623472432533507
"2773","NCEH1",0.000155545665375737,0.44308541631582,14.3519051371307,1,2283.39710231164,0.415344912250609
"6246","AGAP9",0.000226935551670533,0.44308541631582,13.6373231413977,1,2283.39710231164,-2.67803731314708
"10056","HAP1",0.000263070196634867,0.44308541631582,13.3584135266492,1,2283.39710231164,3.72267170648089
"7110","SPCS2",0.000271109874262208,0.44308541631582,13.3016328979026,1,2283.39710231164,-0.583300482711753
"1972","FAM117B",0.000303350585411802,0.44308541631582,13.08982446642,1,2283.39710231164,-10
"7845","C12orf75",0.000312050659351191,0.44308541631582,13.0365570731399,1,2283.39710231164,2.47948445040057
"2284","SEC22C",0.00038212295652938,0.44308541631582,12.6553454713034,1,2283.39710231164,-1.32690524625575
"12059","ADARB1",0.000395502634656213,0.44308541631582,12.5906549790947,1,2283.39710231164,0.985844226999821
"4261","FBXO9",0.00041406627176932,0.44308541631582,12.5044682424306,1,2283.39710231164,-0.807046607006346
"10568","CXXC1",0.000536332886710484,0.529773122942256,12.0190479080969,1,2283.39710231164,1.07925140049428
"12003","SLC5A3",0.000710917962006951,0.619720390852356,11.4918135434669,1,2283.39710231164,0.701767248030168
"5220","LPL",0.000797604150648744,0.619720390852356,11.2770173458945,1,2283.39710231164,0.884606191713034
"12201","SELENOM",0.000838660303940035,0.619720390852356,11.1833993661553,1,2283.39710231164,-1.12138402421154
"2931","STK32B",0.00085157112600548,0.619720390852356,11.1549156903378,1,2283.39710231164,2.85859488450236
"2823","TRA2B",0.000873662701872119,0.619720390852356,11.1071760175365,1,2283.39710231164,-0.671849058666766
"2349","P4HTM",0.00095325543866673,0.619720390852356,10.9447635805153,1,2283.39710231164,-1.65253841490059
"2824","ETV5",0.000968357370052288,0.619720390852356,10.9155018079032,1,2283.39710231164,0.564056661122602
"12801","F8A1",0.00105359032924604,0.619720390852356,10.7585528820415,1,2283.39710231164,-10
"8799","C15orf48",0.00107071806622529,0.619720390852356,10.7285688912445,1,2283.39710231164,0.526533393775869
"1661","CNNM3",0.00114699962700091,0.619720390852356,10.6006736765565,1,2283.39710231164,-10
"5938","ZBTB26",0.0011582656631459,0.619720390852356,10.582518079191,1,2283.39710231164,-2.17428247443866
"3003","RFC1",0.00126615481213641,0.622125251589903,10.4171917685131,1,2283.39710231164,-0.735030290064641
"6318","MCU",0.00128513377878273,0.622125251589903,10.3895912331851,1,2283.39710231164,-0.531221692525228
"8135","ITM2B",0.00133899410490356,0.622125251589903,10.3134562835324,1,2283.39710231164,-0.296887385810553
"4802","NCF1",0.00144522597468538,0.622125251589903,10.1719855214519,1,2283.39710231164,-0.770541039203155
"11979","TIAM1",0.00147086295337481,0.622125251589903,10.1394235469819,1,2283.39710231164,0.531795080361621
"9838","SCO1",0.00147331667343487,0.622125251589903,10.1363372464102,1,2283.39710231164,-1.23159985901609
"4335","BACH2",0.00153659421811881,0.622125251589903,10.0584960783069,1,2283.39710231164,2.61227198944156
"4392","TUBE1",0.00156271658172921,0.622125251589903,10.0273047794234,1,2283.39710231164,-3.12895106514666
"1331","RDH14",0.00162930645397704,0.622125251589903,9.95012442343337,1,2283.39710231164,-1.49179505864726
"8246","RASA3",0.00164724387150975,0.622125251589903,9.929880658239,1,2283.39710231164,0.675934628322788
"11831","SYS1",0.00176433859622102,0.628670843392325,9.80298265543795,1,2283.39710231164,-1.47723656562239
"7058","GAL",0.00186585589272949,0.628670843392325,9.69969614598789,1,2283.39710231164,1.73393496981343
"12048","GATD3A",0.00198168531338252,0.628670843392325,9.58859360947949,1,2283.39710231164,-10
"6748","FANCF",0.00201977157455485,0.628670843392325,9.55349666105154,1,2283.39710231164,-10
"3874","RGS14",0.00208371807996694,0.628670843392325,9.49605276343582,1,2283.39710231164,-10
"7561","VDR",0.00215556539986387,0.628670843392325,9.43360817122037,1,2283.39710231164,-1.77795656986455
"8237","LAMP1",0.00219654915201395,0.628670843392325,9.39892748955028,1,2283.39710231164,0.299724782308653
"10857","TIMM29",0.00221262226863085,0.628670843392325,9.38550531686234,1,2283.39710231164,-1.78775917211414
"6657","TRIM21",0.00229813489069707,0.628670843392325,9.31572040985886,1,2283.39710231164,-1.22291482601842
"12135","DRICH1",0.0023589484434252,0.628670843392325,9.26767775319834,1,2283.39710231164,-10
"12260","TMEM184B",0.00245981674005986,0.628670843392325,9.19069915142383,1,2283.39710231164,0.863023786483853
"9790","ACAP1",0.00247189332328729,0.628670843392325,9.18169844033043,1,2283.39710231164,-3.00728218426774
"10154","SP2",0.00252344020476851,0.628670843392325,9.14377604737976,1,2283.39710231164,-1.79020445175581
"11754","MAP1LC3A",0.00258551344676038,0.628670843392325,9.09914034724904,1,2283.39710231164,-10
"4133","PHF1",0.00259031298606054,0.628670843392325,9.09573455246599,1,2283.39710231164,0.868535913439901
"7175","CWC15",0.00265048216205437,0.628670843392325,9.05357377342092,1,2283.39710231164,-0.639126056700095
"11228","ITPKC",0.0026776816948214,0.628670843392325,9.03483310203216,1,2283.39710231164,1.28198409163197
"8503","NUMB",0.00269028494124284,0.628670843392325,9.02621485441654,1,2283.39710231164,0.311225847882478
"1440","HNRNPLL",0.00273432460740081,0.628670843392325,8.99641889122557,1,2283.39710231164,0.461492755340891
"905","PEX19",0.00273546998646811,0.628670843392325,8.99565048263874,1,2283.39710231164,-1.42009625362881
"1235","MAP10",0.00276426559372962,0.628670843392325,8.97643885749974,1,2283.39710231164,-2.98108918695683
"9574","ZNF19",0.00279764788115355,0.628670843392325,8.9544200599702,1,2283.39710231164,-10
"607","TRMT13",0.00279939551299697,0.628670843392325,8.95327469681591,1,2283.39710231164,-2.31031696831649
"5182","ANGPT2",0.00285487284767133,0.628670843392325,8.91728872187807,1,2283.39710231164,-10
"5714","RECK",0.00290739987683516,0.628670843392325,8.88386563750269,1,2283.39710231164,-1.1993755427714
"7141","PRCP",0.00293748544533444,0.628670843392325,8.86499747949867,1,2283.39710231164,-0.62015051729483
"5984","SWI5",0.0030218750979863,0.630066356336191,8.81310277310049,1,2283.39710231164,-1.35371831961783
"1211","TRIM11",0.00306448012906787,0.630066356336191,8.78746017521244,1,2283.39710231164,-2.99147459247589
"9878","GID4",0.00309120632732498,0.630066356336191,8.77155888986902,1,2283.39710231164,-1.62878042639806
"9610","CENPN",0.00350719075602552,0.669482695076276,8.54062644857328,1,2283.39710231164,-10
"4031","ZNRD1",0.00352922809574873,0.669482695076276,8.52918235971082,1,2283.39710231164,-1.77150068345162
"5801","NOL8",0.00354043549041507,0.669482695076276,8.52339017173188,1,2283.39710231164,-0.815298034997491
"7022","CCS",0.00354332618929229,0.669482695076276,8.5218992319831,1,2283.39710231164,-0.723599311077412
"1002","KIAA0040",0.00359751121152977,0.669482695076276,8.49417889758463,1,2283.39710231164,-1.5467722571865
"3888","COL23A1",0.00363891891978715,0.669482695076276,8.4732801867745,1,2283.39710231164,0.393793916721699
"6494","ATP5MD",0.00364954354453231,0.669482695076276,8.46795689005136,1,2283.39710231164,-0.390152877603067
"8077","USPL1",0.00392909189691131,0.671392953683983,8.33328788666065,1,2283.39710231164,-0.757179109749829
"5544","JRK",0.00395540701516751,0.671392953683983,8.32111701059199,1,2283.39710231164,-2.85622506618754
"12841","AC007325.4",0.00400128277256195,0.671392953683983,8.30009508494025,1,2283.39710231164,-10
"7377","DYRK4",0.00414988015868511,0.671392953683983,8.23364963617552,1,2283.39710231164,-1.07653668182532
"8292","PPP1R3E",0.00420460169060674,0.671392953683983,8.20978957865924,1,2283.39710231164,-2.24055125378879
"7487","PLEKHA5",0.00431569602344474,0.671392953683983,8.16230750651207,1,2283.39710231164,-0.939343472711391
"221","ZDHHC18",0.00432647786427147,0.671392953683983,8.15776577137553,1,2283.39710231164,-1.37828485748192
"1242","IRF2BP2",0.00440665506750058,0.671392953683983,8.12434939230256,1,2283.39710231164,-0.559050145986136
"3862","RNF44",0.0044174834809792,0.671392953683983,8.11988385509996,1,2283.39710231164,-1.69536872550262
"253","EPB41",0.00444893936221869,0.671392953683983,8.10697472640533,1,2283.39710231164,-0.667547818329104
"1321","PDIA6",0.00446072099587515,0.671392953683983,8.1021636065189,1,2283.39710231164,0.449713867652847
"9753","ZFP3",0.00450004725188989,0.671392953683983,8.0861976645946,1,2283.39710231164,1.70453576987039
"11266","IRGQ",0.00451904325835566,0.671392953683983,8.07853639270788,1,2283.39710231164,-1.68482595654981
"11379","DHDH",0.0046529178205641,0.671392953683983,8.02545668480648,1,2283.39710231164,1.34567910213503
"8929","UACA",0.00468519225328316,0.671392953683983,8.01289313425464,1,2283.39710231164,-0.922037292889477
"4289","SLC17A5",0.00469183936448286,0.671392953683983,8.0103165536597,1,2283.39710231164,0.408677424896825
"2549","SPICE1",0.00471332266073624,0.671392953683983,8.00201448460065,1,2283.39710231164,-1.13673157496941
"4680","PLEKHA8",0.00474205685151921,0.671392953683983,7.99097045628332,1,2283.39710231164,-0.915187577731609
"10060","KLHL11",0.00479771717722625,0.671392953683983,7.96977006346655,1,2283.39710231164,-10
"2085","DIS3L2",0.00480772868662121,0.671392953683983,7.96598341165823,1,2283.39710231164,0.519362596036114
"6534","RAB11FIP2",0.00493997240666758,0.671392953683983,7.91670592087285,1,2283.39710231164,-0.832496443970045
"10194","LUC7L3",0.00497632908670246,0.671392953683983,7.90339406836976,1,2283.39710231164,-0.369988895747284
"1732","PAX8",0.00503100642060353,0.671392953683983,7.88355976550435,1,2283.39710231164,0.735468463033794
"5852","INVS",0.00520202980879295,0.671392953683983,7.82291074210191,1,2283.39710231164,-0.473200563163665
"252","YTHDF2",0.00522488848074425,0.671392953683983,7.8149589686505,1,2283.39710231164,-0.542789452949667
"3032","SLAIN2",0.00526043745789829,0.671392953683983,7.80266289635853,1,2283.39710231164,-0.553969057724199
"11798","CTNNBL1",0.00531607623578012,0.671392953683983,7.78358708812623,1,2283.39710231164,0.434878567125387
"829","PBXIP1",0.00536559413816859,0.671392953683983,7.76678035783667,1,2283.39710231164,0.718477583199889
"1753","NIFK",0.0053906083480636,0.671392953683983,7.7583504196644,1,2283.39710231164,-0.955242475914546
"268","SPOCD1",0.00544284845336445,0.671392953683983,7.74087317130464,1,2283.39710231164,1.09952247122021
"10460","NDC80",0.00544744636883944,0.671392953683983,7.73934311396417,1,2283.39710231164,2.33694060272812
"1483","PPP1R21",0.00545823661825923,0.671392953683983,7.73575759031372,1,2283.39710231164,-0.506806209452867
"4179","BTBD9",0.00548619385716005,0.671392953683983,7.72650113986001,1,2283.39710231164,0.416999946816546
"8616","GLRX5",0.00550251051586347,0.671392953683983,7.72112102385988,1,2283.39710231164,-0.754651175198534
"8714","ZNF770",0.00559895037289342,0.671392953683983,7.68965054220308,1,2283.39710231164,-0.983422729379021
"1164","ZC3H11B",0.00560205744281104,0.671392953683983,7.68864585706281,1,2283.39710231164,2.92739976762059
"6177","TMEM236",0.00561092832714484,0.671392953683983,7.6857805430688,1,2283.39710231164,-10
"5142","TMEM176A",0.00564679067034267,0.671392953683983,7.67424386943675,1,2283.39710231164,-1.16209837612296
"9043","MESP1",0.00581165083512753,0.680007940530492,7.62215403435451,1,2283.39710231164,-10
"10454","THOC1",0.00587049199956984,0.680007940530492,7.60392684978452,1,2283.39710231164,-0.708368101606859
"3420","NUP155",0.00588774421251108,0.680007940530492,7.59861799312439,1,2283.39710231164,0.867837303190098
