"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"1695","IL1R2",3.32157748263035e-73,4.26523764544564e-69,351.321137636682,1,2369.60881629301,2.90047602989734
"6089","PTGDS",9.13323458182946e-30,5.8639932632636e-26,131.980612247556,1,2369.60881629301,5.14695346210781
"8867","RORA",3.78641832430958e-05,0.162071325674865,17.0401124024414,1,2369.60881629301,1.80083347016506
"4527","ZDHHC14",5.05473705343665e-05,0.16226969625795,16.4880329424,1,2369.60881629301,0.539282294256262
"3901","SQSTM1",8.85408147429791e-05,0.215074980394015,15.4197689921439,1,2369.60881629301,0.388361756340547
"7042","TMEM134",0.00010049450061242,0.215074980394015,15.1789922419103,1,2369.60881629301,-0.728421340269309
"4751","VOPP1",0.000191191580969215,0.350727298746528,13.9596243143045,1,2369.60881629301,0.400075991922588
"2239","CMTM6",0.000334402941392274,0.536758521302273,12.9048631691007,1,2369.60881629301,0.320812488425791
"1950","KCTD18",0.000406977855094765,0.543468923613289,12.5355589941081,1,2369.60881629301,-1.33140899670941
"7347","NCAPD3",0.00044912383213314,0.543468923613289,12.3505402312731,1,2369.60881629301,0.860731389275875
"7525","DENND5B",0.000475417704715299,0.543468923613289,12.2437952428977,1,2369.60881629301,-0.662787570870943
"6585","BNIP3",0.000507875327728329,0.543468923613289,12.1199649338005,1,2369.60881629301,-0.580072248837471
"2939","MRFAP1L1",0.000597969950607941,0.575477519792814,11.8141249825208,1,2369.60881629301,0.729248269717085
"7496","C2CD5",0.000627418836313325,0.575477519792814,11.7241908750091,1,2369.60881629301,0.417989291259658
"7765","PHLDA1",0.000903654056414925,0.773588115894937,11.043225244799,1,2369.60881629301,-0.756787508618983
"10823","UBL5",0.000996779517095913,0.782483111466399,10.8606370470031,1,2369.60881629301,-0.315137850800115
"10794","MAP2K7",0.00109835225779656,0.782483111466399,10.6802084627116,1,2369.60881629301,-0.883754271408059
"12790","PLXNA3",0.00114194892847333,0.782483111466399,10.6078919103632,1,2369.60881629301,-1.37726636940881
"12749","FGF13",0.0011719124822074,0.782483111466399,10.5597924030436,1,2369.60881629301,1.72783705471341
"9779","DLG4",0.00133035967466135,0.782483111466399,10.3245200420939,1,2369.60881629301,0.721203789603555
"8434","L3HYPDH",0.0013668137136085,0.782483111466399,10.2744161513929,1,2369.60881629301,-1.72772489798376
"868","BGLAP",0.00147984623927337,0.782483111466399,10.1272528704442,1,2369.60881629301,-10
"8815","ATP8B4",0.00150143956271634,0.782483111466399,10.1004393080833,1,2369.60881629301,-0.282578591254148
"7285","C2CD2L",0.00151299511099244,0.782483111466399,10.0862502668152,1,2369.60881629301,-1.11472310438683
"3676","C5orf15",0.00156355293330898,0.782483111466399,10.0254352528354,1,2369.60881629301,0.588995346890545
"4335","BACH2",0.0017404362952911,0.782483111466399,9.82733126933173,1,2369.60881629301,2.19767551286891
"2330","ELP6",0.00174862047790691,0.782483111466399,9.81866645774046,1,2369.60881629301,0.771574726123097
"99","MTOR",0.00192163248508066,0.782483111466399,9.64453079855428,1,2369.60881629301,0.542517768284389
"12086","TUBA8",0.0019631374578708,0.782483111466399,9.60512360790937,1,2369.60881629301,-10
"8005","NCOR2",0.00202611209853172,0.782483111466399,9.54691771535494,1,2369.60881629301,0.38498271743376
"7444","KLRF1",0.00212774454474109,0.782483111466399,9.45674685211636,1,2369.60881629301,1.52367217859819
"2513","CMSS1",0.00213304492243048,0.782483111466399,9.45216490965561,1,2369.60881629301,0.656433383543456
"6954","MAP4K2",0.00219348805521117,0.782483111466399,9.40071686536042,1,2369.60881629301,0.885332477325597
"4203","UBR2",0.00222698566501819,0.782483111466399,9.37282059648586,1,2369.60881629301,0.31311273103358
"7163","SLC36A4",0.00230169625569799,0.782483111466399,9.31210728052055,1,2369.60881629301,-0.439286769561587
"5273","DUSP4",0.00236703860667731,0.782483111466399,9.2606252527504,1,2369.60881629301,-0.95663292491808
"2169","VHL",0.00243606358286279,0.782483111466399,9.20778608078249,1,2369.60881629301,-0.617311159682938
"1978","ABI2",0.00249356224271944,0.782483111466399,9.16491847465583,1,2369.60881629301,-0.637035214800269
"11119","CD22",0.00256470968122399,0.782483111466399,9.11324398089484,1,2369.60881629301,0.973456379813136
"3352","UFSP2",0.00262142595186867,0.782483111466399,9.07308340087682,1,2369.60881629301,-0.69520403209997
"10575","POLI",0.00270935700705925,0.782483111466399,9.01253264021205,1,2369.60881629301,0.76680589454533
"803","CHTOP",0.00271141584770281,0.782483111466399,9.01113892855049,1,2369.60881629301,0.535897150299676
"1546","GMCL1",0.00271650550486909,0.782483111466399,9.00769814549863,1,2369.60881629301,-0.694316741215746
"1240","COA6",0.00279555024014905,0.782483111466399,8.95508622627879,1,2369.60881629301,-0.595876094588333
"536","MIGA1",0.00295460970689209,0.782483111466399,8.85365116296169,1,2369.60881629301,-0.590203027936342
"3694","TGFBI",0.00302360910212877,0.782483111466399,8.81136388293084,1,2369.60881629301,-0.244380885266648
"6538","DENND10",0.00302788309475982,0.782483111466399,8.80877686215994,1,2369.60881629301,-0.538255705855701
"8748","NUSAP1",0.00312112967443738,0.782483111466399,8.75324092619252,1,2369.60881629301,1.21918163667313
"6594","FUOM",0.00316752571968591,0.782483111466399,8.72623371233285,1,2369.60881629301,-0.465489493244535
"9649","ZFPM1",0.00321825449333034,0.782483111466399,8.69716099033472,1,2369.60881629301,-1.17858007931116
"4439","ENPP1",0.00331531384308456,0.782483111466399,8.64281263157913,1,2369.60881629301,2.9047178600075
"10653","ATP5F1D",0.00335173995125785,0.782483111466399,8.62283244821766,1,2369.60881629301,-0.316827973601931
"2531","ALCAM",0.0033796481054495,0.782483111466399,8.60767334816027,1,2369.60881629301,-0.353539755271073
"729","PRKAB2",0.00347399968893684,0.782483111466399,8.55735057101041,1,2369.60881629301,0.778925561670172
"8507","ACOT4",0.00348142387839784,0.782483111466399,8.5534500433491,1,2369.60881629301,-10
"9126","TELO2",0.00362650596593009,0.782483111466399,8.47887985102231,1,2369.60881629301,-1.73689955594394
"1253","EDARADD",0.00364414986184288,0.782483111466399,8.47001888054117,1,2369.60881629301,2.28544194413903
"6571","EDRF1",0.00366471140707398,0.782483111466399,8.45974755722317,1,2369.60881629301,-0.799171175927128
"6099","TMEM203",0.00369219732521629,0.782483111466399,8.4461084596328,1,2369.60881629301,0.635951580268456
"12077","TMEM121B",0.00370416016602414,0.782483111466399,8.44020448885052,1,2369.60881629301,1.70828510137133
"2004","IKZF2",0.00376723763329224,0.782483111466399,8.40939161782709,1,2369.60881629301,-1.50078998736943
"10847","KRI1",0.00392556188544771,0.782483111466399,8.33430761369985,1,2369.60881629301,1.00570167661163
"6700","ZNF143",0.00395757592830816,0.782483111466399,8.31950040537167,1,2369.60881629301,0.577920296230351
"7305","CLMP",0.00396389597973607,0.782483111466399,8.3165916592758,1,2369.60881629301,2.20681222171469
"1914","ORMDL1",0.00401305115617283,0.782483111466399,8.29412834174473,1,2369.60881629301,-0.395403902146495
"1983","NRP2",0.00417562994579325,0.782483111466399,8.22177885280105,1,2369.60881629301,0.307991395205947
"2016","TNS1",0.00422915378046941,0.782483111466399,8.19858652046948,1,2369.60881629301,0.406393657817337
"9875","TOM1L2",0.00425073319622396,0.782483111466399,8.18932043308812,1,2369.60881629301,0.51615541061721
"10561","SMAD7",0.00426011612036092,0.782483111466399,8.18530639241803,1,2369.60881629301,0.727666003552175
"673","PHTF1",0.00442695556008686,0.782483111466399,8.11539795040832,1,2369.60881629301,0.535110141953682
"5523","ASAP1",0.00459946109593874,0.782483111466399,8.04588327047071,1,2369.60881629301,-0.243592658374033
"8273","METTL3",0.00471702403095375,0.782483111466399,8.00001488021698,1,2369.60881629301,-1.48216401664609
"12182","UQCR10",0.00473099385697749,0.782483111466399,7.9946420317514,1,2369.60881629301,-0.215515856935627
"2936","MAN2B2",0.00475036853269438,0.782483111466399,7.98721716503522,1,2369.60881629301,-0.696908963385364
"5463","ANKRD46",0.00480359450823226,0.782483111466399,7.96697743351832,1,2369.60881629301,0.621363104634266
"10380","DNAH17",0.00491195332342416,0.782483111466399,7.92647010919966,1,2369.60881629301,-1.03091301673909
"8018","ULK1",0.00494018971387181,0.782483111466399,7.9160642243108,1,2369.60881629301,-0.769666447993206
"8271","RAB2B",0.00494760806839714,0.782483111466399,7.91334041571833,1,2369.60881629301,-0.669379911635959
"1509","C2orf74",0.00504199052724414,0.782483111466399,7.87904489789541,1,2369.60881629301,-0.615222071550197
"3323","SAP30",0.00513274457560896,0.782483111466399,7.84667974584539,1,2369.60881629301,-0.741440250354894
"12703","TMEM255A",0.00525601984046494,0.782483111466399,7.80363941137042,1,2369.60881629301,1.05251628357617
"408","ZSWIM5",0.00526327849177732,0.782483111466399,7.80113732024373,1,2369.60881629301,-10
"626","GPSM2",0.00526644565311913,0.782483111466399,7.80004668771462,1,2369.60881629301,0.944698439758309
"10166","ATP5MC1",0.00530692218347624,0.782483111466399,7.7861669518013,1,2369.60881629301,-0.556113428543106
"4199","TAF8",0.00538325740121136,0.782483111466399,7.76028241925083,1,2369.60881629301,-0.838495846256378
"10512","NPC1",0.00543622813686988,0.782483111466399,7.74253970936219,1,2369.60881629301,-0.459701224619087
"7739","MDM1",0.00550311594765044,0.782483111466399,7.72038577322978,1,2369.60881629301,0.815737811601743
"2019","ARPC2",0.00552380593182863,0.782483111466399,7.71358864719192,1,2369.60881629301,-0.165453579853131
"523","NEGR1",0.00558077913293949,0.782483111466399,7.6950050945959,1,2369.60881629301,-1.4655603820431
"6527","TRUB1",0.00558454360617205,0.782483111466399,7.69378402368864,1,2369.60881629301,0.76744320591102
