"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6089","PTGDS",8.98656195734227e-34,1.15396442094232e-29,151.654374466334,1,2250.50433990699,5.27398946496394
"1730","IL1RN",3.74202374553801e-14,2.40256634582268e-10,58.0484652753359,1,2250.50433990699,1.4300587261117
"6387","HTR7",1.73549280198315e-05,0.0742848769008853,18.5395927804253,1,2250.50433990699,2.23432182902427
"1785","MCM6",0.000238833602809245,0.603341402330386,13.5414512238251,1,2250.50433990699,-10
"5900","HDHD3",0.000272369495594241,0.603341402330386,13.2934980285273,1,2250.50433990699,1.35373778952317
"7896","BRAP",0.000281913278870985,0.603341402330386,13.2285530864947,1,2250.50433990699,-1.76871377448923
"3633","TNFAIP8",0.000360926467529769,0.662093824221395,12.7632254268556,1,2250.50433990699,0.487540970943719
"10502","GREB1L",0.00043298038936594,0.688034763400915,12.4211099237365,1,2250.50433990699,2.38772716343164
"2867","CEP19",0.000482229800685946,0.688034763400915,12.2189132483235,1,2250.50433990699,1.96983026959808
"1374","OST4",0.000643436166855375,0.794265342940173,11.6787014364484,1,2250.50433990699,-0.56661848614464
"10829","PPAN",0.000680392397191956,0.794265342940173,11.5742841306405,1,2250.50433990699,-3.21435629525305
"6993","EFEMP2",0.000832259719435793,0.859876921477248,11.1981216794166,1,2250.50433990699,2.84787127884145
"111","TNFRSF8",0.000939062656444082,0.859876921477248,10.973114462468,1,2250.50433990699,-10
"11645","LZTS3",0.00105059283418072,0.859876921477248,10.7642557576274,1,2250.50433990699,3.68546828646114
"149","EMC1",0.00125067019317812,0.859876921477248,10.4404045712919,1,2250.50433990699,-2.40796749715787
"7828","PARPBP",0.00125191162319456,0.859876921477248,10.438563509116,1,2250.50433990699,1.75809247024062
"562","HS2ST1",0.00129832732207824,0.859876921477248,10.3710233991952,1,2250.50433990699,-0.720601268820617
"4674","CREB5",0.0013735262744245,0.859876921477248,10.2666278820533,1,2250.50433990699,-10
"4095","PPT2",0.0017446504224426,0.859876921477248,9.82405047438496,1,2250.50433990699,2.57629526534318
"9141","TBL3",0.00176560082637098,0.859876921477248,9.80200023673515,1,2250.50433990699,1.61101178774798
"1602","GCFC2",0.00177472919038371,0.859876921477248,9.79247553171296,1,2250.50433990699,1.01472005325918
"11597","ZNF8",0.00179641382601433,0.859876921477248,9.77004713375737,1,2250.50433990699,-10
"5529","SLA",0.0018919887516115,0.859876921477248,9.67436026818662,1,2250.50433990699,0.425487550864166
"10347","MRPL38",0.00200395047786751,0.859876921477248,9.5683170173785,1,2250.50433990699,-2.03765052264324
"11065","ZNF429",0.0020660081504777,0.859876921477248,9.51210037379069,1,2250.50433990699,0.955939911502622
"1032","SMG7",0.00217061230328243,0.859876921477248,9.42111209391116,1,2250.50433990699,0.565418826032608
"9642","FBXO31",0.00223157670993687,0.859876921477248,9.37011427381536,1,2250.50433990699,-10
"5433","GEM",0.00241290437563404,0.859876921477248,9.22639566819491,1,2250.50433990699,2.10303021899713
"11099","LSM14A",0.00244503740617395,0.859876921477248,9.20207562146333,1,2250.50433990699,0.452697712680862
"3456","SNX18",0.00257198319984986,0.859876921477248,9.10907059786778,1,2250.50433990699,-0.900089187491046
"987","EEF1AKNMT",0.00264322015782942,0.859876921477248,9.05890171322469,1,2250.50433990699,-2.92596904173491
"11804","RALGAPB",0.00272542322581439,0.859876921477248,9.00268968564369,1,2250.50433990699,0.649954177463386
"9348","C16orf54",0.00275748275758485,0.859876921477248,8.98123239241987,1,2250.50433990699,-10
"9898","ALDH3A2",0.00307931915035342,0.859876921477248,8.77888853383489,1,2250.50433990699,-1.09619988634008
"10377","AFMID",0.00313303275526528,0.859876921477248,8.74722445459623,1,2250.50433990699,-1.19797682109008
"6674","TIMM10B",0.00314852740796296,0.859876921477248,8.73819291995751,1,2250.50433990699,-2.27285785823619
"12183","ASCC2",0.00316134657310319,0.859876921477248,8.73075497526565,1,2250.50433990699,0.780117913854997
"3984","KDM1B",0.00320037658807553,0.859876921477248,8.70829638270729,1,2250.50433990699,0.843823219339728
"11480","ZNF525",0.00320806938664858,0.859876921477248,8.70390267831242,1,2250.50433990699,-10
"4444","VNN2",0.00324472162522929,0.859876921477248,8.68311501654937,1,2250.50433990699,1.08130522546833
"11633","SIRPA",0.00329321273602343,0.859876921477248,8.6559768585728,1,2250.50433990699,0.399187876832584
"10785","PNPLA6",0.00336546819060924,0.859876921477248,8.61628385510915,1,2250.50433990699,-1.04387060089987
"11543","EPN1",0.00344612967894177,0.859876921477248,8.57298449026218,1,2250.50433990699,0.64396101462765
"3372","ICE1",0.00351161988029016,0.859876921477248,8.53858091726432,1,2250.50433990699,0.685829453121865
"10538","RPRD1A",0.00363012738268792,0.859876921477248,8.4779539249923,1,2250.50433990699,0.639766936603702
"6173","VIM",0.00366587946541691,0.859876921477248,8.46005861308399,1,2250.50433990699,-0.324366773964146
"8906","SNAPC5",0.00367408195931972,0.859876921477248,8.45597799876833,1,2250.50433990699,-1.44372130425411
"12426","CTPS2",0.0038070168884142,0.859876921477248,8.39110767173407,1,2250.50433990699,0.996852771985225
"12446","PHEX",0.0038319665917932,0.859876921477248,8.37918993060288,1,2250.50433990699,2.79936272521992
"7280","SLC37A4",0.00383604622053581,0.859876921477248,8.37724872883335,1,2250.50433990699,1.28448922621695
"4833","CD36",0.00389431197830235,0.859876921477248,8.34975134112227,1,2250.50433990699,0.467219365769333
"2889","MYL5",0.00410005737982598,0.859876921477248,8.25589840822609,1,2250.50433990699,1.37169359294725
"3999","C6orf62",0.00418422240659864,0.859876921477248,8.21888058740583,1,2250.50433990699,0.372530036381247
"6187","COMMD3",0.00424150903060463,0.859876921477248,8.19411581046047,1,2250.50433990699,-1.17560947040839
"8482","ERH",0.00429165018895561,0.859876921477248,8.17271802729158,1,2250.50433990699,-0.668842517064326
"1305","ID2",0.00435589904683754,0.859876921477248,8.1456690296704,1,2250.50433990699,0.725401882203515
"5603","ZNF7",0.0044242399687923,0.859876921477248,8.11733982224127,1,2250.50433990699,1.16370330495452
"10178","ITGA3",0.00447475476661416,0.859876921477248,8.09668517543948,1,2250.50433990699,-10
"8104","ELF1",0.00453089827770843,0.859876921477248,8.07400601587374,1,2250.50433990699,0.339558809767665
"12623","APOOL",0.00461223684538362,0.859876921477248,8.04165230307495,1,2250.50433990699,0.78679726947931
"9309","PLK1",0.00461864054736142,0.859876921477248,8.03912987071599,1,2250.50433990699,2.51622650155225
"4221","DNPH1",0.00480941643148205,0.859876921477248,7.96557419637248,1,2250.50433990699,-0.81618493749009
"12195","SLC35E4",0.00485516662026622,0.859876921477248,7.94837699692498,1,2250.50433990699,-10
"12678","ACSL4",0.00488286408749177,0.859876921477248,7.93804580598833,1,2250.50433990699,0.406079754378297
"7503","RASSF8",0.00493524556107869,0.859876921477248,7.91866978859022,1,2250.50433990699,-1.98244147578496
"3400","MTMR12",0.00497263449467053,0.859876921477248,7.90496737476288,1,2250.50433990699,0.87567785978846
"12527","CCDC22",0.00498973681140292,0.859876921477248,7.89873464545612,1,2250.50433990699,-1.88096480436549
"10875","ACP5",0.00502164455229248,0.859876921477248,7.88716428151564,1,2250.50433990699,-0.513394993117648
"9140","RPS2",0.00509957759077471,0.859876921477248,7.85921652549228,1,2250.50433990699,-0.308767433346903
"3831","DOCK2",0.00513483638041523,0.859876921477248,7.84671510087928,1,2250.50433990699,0.342194677395172
"3255","INPP4B",0.00515751070158728,0.859876921477248,7.83872182201234,1,2250.50433990699,1.51614371783992
"1114","RASSF5",0.00517659121101853,0.859876921477248,7.83202317743712,1,2250.50433990699,0.864997634802104
"9964","EVI2B",0.00518645676788895,0.859876921477248,7.82856952121458,1,2250.50433990699,0.429139164247195
"12108","ZDHHC8",0.0051868201981268,0.859876921477248,7.82844242243694,1,2250.50433990699,-10
"2797","B3GNT5",0.00521191605485022,0.859876921477248,7.8196878030313,1,2250.50433990699,-2.29503221393942
"12396","STS",0.00534413606732839,0.859876921477248,7.77426198393129,1,2250.50433990699,1.48108349730604
