"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"12587","IL2RG",2.62284776087623e-93,3.36799880974116e-89,461.428304740634,1,2263.53864234633,3.00627170231602
"1277","KIF26B",3.47626938372621e-05,0.223193875782142,17.2066986517311,1,2263.53864234633,3.19536976343739
"11311","TRAPPC6A",6.10776317355152e-05,0.261432623038584,16.1296856475954,1,2263.53864234633,-2.09182005062445
"9997","CCL5",0.000104172962061943,0.325228671606419,15.1130844895474,1,2263.53864234633,1.58303598568059
"2493","GBE1",0.000126636816294066,0.325228671606419,14.7422350979939,1,2263.53864234633,0.691872378135631
"5912","TNFSF8",0.0001834182572563,0.389856365324837,14.0402156403373,1,2263.53864234633,0.932909156158078
"6712","GALNT18",0.000212521965366705,0.389856365324837,13.7616945216509,1,2263.53864234633,3.81216043474915
"4534","DYNLT1",0.000282215704890517,0.394667222903337,13.2262912061435,1,2263.53864234633,-0.596982458166744
"6275","NRBF2",0.000312402520156348,0.394667222903337,13.0347852704498,1,2263.53864234633,-0.8922653486197
"6622","RPLP2",0.000349408196575735,0.394667222903337,12.8240219648179,1,2263.53864234633,0.349620221413023
"2313","SACM1L",0.00037958052276576,0.394667222903337,12.6682284201609,1,2263.53864234633,-1.1122531833099
"7477","WBP11",0.000468681174557891,0.394667222903337,12.2721724005831,1,2263.53864234633,0.653390807062994
"5467","RRM2B",0.000471303396951844,0.394667222903337,12.2617038050368,1,2263.53864234633,-0.932162496678199
"951","MGST3",0.000486971440572458,0.394667222903337,12.200353242971,1,2263.53864234633,-0.468672964676351
"4764","ZNF273",0.000524795162498745,0.394667222903337,12.0601024403895,1,2263.53864234633,1.58771285702805
"1230","SPRTN",0.000569074815739988,0.394667222903337,11.908345904256,1,2263.53864234633,1.11046724003541
"482","JUN",0.000586181607157633,0.394667222903337,11.8528906127652,1,2263.53864234633,0.907086291864915
"9645","KLHDC4",0.00059386251502664,0.394667222903337,11.8285212581596,1,2263.53864234633,-2.57129039422697
"3670","SHROOM1",0.000607457516429113,0.394667222903337,11.786158843851,1,2263.53864234633,2.43036188773953
"12586","CXorf65",0.000614698579399326,0.394667222903337,11.7639849089593,1,2263.53864234633,3.04023387811918
