"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6089","PTGDS",5.82231040431568e-15,7.47642879018176e-11,61.8029220452295,1,2263.46505472795,4.57958023330989
"2249","STAC",9.61528446395189e-07,0.00556756037187145,24.1367413283266,1,2263.46505472795,3.69441445368769
"823","IL6R",1.3007305595837e-06,0.00556756037187145,23.5489652306649,1,2263.46505472795,0.73745227403338
"9463","MT1X",1.96562811077446e-06,0.00631015764261372,22.7468819024252,1,2263.46505472795,1.55926634759295
"4302","BCKDHB",1.50327705661623e-05,0.0386071613680179,18.8152886046692,1,2263.46505472795,1.16957897044342
"1125","CR2",4.02039716850295e-05,0.0860432000679107,16.9284481650212,1,2263.46505472795,5.25726477935973
"800","S100A4",5.29344857345976e-05,0.097104533045424,16.4027646318039,1,2263.46505472795,-0.917007878128671
"11044","LPAR2",6.09014433999467e-05,0.0977544293373394,16.1351982127887,1,2263.46505472795,-10
"464","HSPB11",7.8469868478599e-05,0.11195906457041,15.6521185888509,1,2263.46505472795,0.803601244552448
"572","GBP5",0.000112757823683972,0.144792321392589,14.962628116204,1,2263.46505472795,0.888103569405089
"889","CD1B",0.000398748407345546,0.465484390793105,12.575623459824,1,2263.46505472795,3.47040743501242
"5651","MLLT3",0.000470584372344991,0.480520363929842,12.264569640104,1,2263.46505472795,0.924942349256087
"7485","DERA",0.000501942619568329,0.480520363929842,12.1435675195845,1,2263.46505472795,0.652246596014166
"6935","STIP1",0.000523891059498309,0.480520363929842,12.063335259268,1,2263.46505472795,0.796983355672973
"1242","IRF2BP2",0.000600915408765151,0.51442365093022,11.8064244037918,1,2263.46505472795,-0.756282698457041
"12516","GRIPAP1",0.000657312482691624,0.527534349390196,11.6386137006334,1,2263.46505472795,-0.88178522009608
"4339","GPR63",0.000727984578760767,0.527879303981374,11.4477773011668,1,2263.46505472795,2.89337392108143
"9244","ERCC4",0.000767928831694475,0.527879303981374,11.3480404445135,1,2263.46505472795,0.923485944580241
"1744","DBI",0.000797616751414067,0.527879303981374,11.2772544723323,1,2263.46505472795,0.431261083833353
"5930","NDUFA8",0.000856423144409753,0.527879303981374,11.1445846434954,1,2263.46505472795,0.749944324370042
"2557","QTRT2",0.000906417614177907,0.527879303981374,11.0388507841008,1,2263.46505472795,-1.90273371362765
"7914","RITA1",0.000942848650565268,0.527879303981374,10.9654549321331,1,2263.46505472795,-2.463529010165
"12068","MCM3AP",0.000976539650820833,0.527879303981374,10.9000897530105,1,2263.46505472795,-0.937160625742134
"1353","PTRHD1",0.00117769694822342,0.527879303981374,10.5518548152511,1,2263.46505472795,0.94228180880215
"3824","NUDCD2",0.00119238370402077,0.527879303981374,10.5288408234123,1,2263.46505472795,0.873557330524389
"5908","ATP6V1G1",0.00119631813361726,0.527879303981374,10.5227243550114,1,2263.46505472795,0.359613082068629
"8709","NOP10",0.00128998964421171,0.527879303981374,10.3828234244251,1,2263.46505472795,0.456050052554346
"8350","FAM177A1",0.00129312185239568,0.527879303981374,10.3783250804909,1,2263.46505472795,0.678630757028259
"1917","HIBCH",0.00131874372632047,0.527879303981374,10.3419371934707,1,2263.46505472795,0.650150589680639
"5281","UBXN8",0.00132466709815925,0.527879303981374,10.3336268343432,1,2263.46505472795,1.7679527933561
"7821","ARL1",0.00133391416168686,0.527879303981374,10.3207283710232,1,2263.46505472795,0.722916976695046
"5354","CA8",0.00133502281866314,0.527879303981374,10.3191880220392,1,2263.46505472795,3.74787462995427
"761","HORMAD1",0.00135659349204776,0.527879303981374,10.2894732679845,1,2263.46505472795,-3.18668833136308
"12424","ZRSR2",0.00139949392935291,0.528555927847668,10.2317725255645,1,2263.46505472795,0.724972565706984
"7595","LIMA1",0.00146842609141585,0.538744555424882,10.1427114693061,1,2263.46505472795,0.719953966322394
"4755","PSPH",0.00158535841367341,0.553698514828176,10.0009059152885,1,2263.46505472795,1.13341073828394
"7771","NAV3",0.00165430873954593,0.553698514828176,9.92217740763174,1,2263.46505472795,2.77907293653577
"1055","RO60",0.0016994758160872,0.553698514828176,9.87238832333452,1,2263.46505472795,0.584384179703545
"11716","ACSS1",0.00177137292616282,0.553698514828176,9.7958373514478,1,2263.46505472795,1.38631676605011
"4759","CHCHD2",0.00178142424749959,0.553698514828176,9.78538720756985,1,2263.46505472795,0.367825166769521
"3671","UQCRQ",0.00183711402584375,0.553698514828176,9.72855005032776,1,2263.46505472795,0.437162901402903
"3244","RAB33B",0.00184890176257235,0.553698514828176,9.71674371662898,1,2263.46505472795,-3.00685839473556
"10364","ST6GALNAC2",0.0019696244416031,0.553698514828176,9.60004666654579,1,2263.46505472795,-10
