"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"2585","ILDR1",1.92820415265905e-15,2.47600695242949e-11,64.0348998738259,1,2276.44529574221,5.10969713613869
"6628","CHID1",1.83125883648922e-05,0.11757597359679,18.4354751715066,1,2276.44529574221,0.947518598636627
"10875","ACP5",2.95452286310296e-05,0.12646342695035,17.517745235962,1,2276.44529574221,0.557558020309003
"7820","UTP20",9.1590831954107e-05,0.294029468280672,15.3575210683426,1,2276.44529574221,1.48353399069795
"12647","BEX5",0.000150684703234795,0.386988454847601,14.4122162670967,1,2276.44529574221,4.26484627732063
"5651","MLLT3",0.000181668968527117,0.388801870809452,14.0580853723967,1,2276.44529574221,0.979014226993841
"7597","LARP4",0.000288901368389598,0.48695596303342,13.1819185781635,1,2276.44529574221,0.589172075535053
"2597","SLC49A4",0.000303375726521872,0.48695596303342,13.0897914523793,1,2276.44529574221,0.639012319986884
"9241","NPIPB2",0.000399911681903223,0.531739307800103,12.5699343350229,1,2276.44529574221,2.03515415784663
"2332","DHX30",0.000414094936375752,0.531739307800103,12.5044509421558,1,2276.44529574221,-1.6228718409485
"3840","STK10",0.000568914424341619,0.601470469599007,11.9086815376535,1,2276.44529574221,0.52587299902244
"795","TCHH",0.000581064567739406,0.601470469599007,11.8691142805235,1,2276.44529574221,1.48709080602881
"7380","GALNT8",0.000608918005201081,0.601470469599007,11.7814767157905,1,2276.44529574221,2.02533302291665
"12613","PGK1",0.000710357214497242,0.624899839881493,11.4933835016409,1,2276.44529574221,-0.452586102228196
"2210","PLCL2",0.000729966326471645,0.624899839881493,11.442520914337,1,2276.44529574221,0.448785340740873
"1053","RGS2",0.000795450405985146,0.638398666453453,11.282154614487,1,2276.44529574221,-1.02358081746299
"323","CSF3R",0.000956045519779467,0.643686950318094,10.9394095230189,1,2276.44529574221,0.679031616496217
"8764","ZNF106",0.00102372545981544,0.643686950318094,10.8121198296548,1,2276.44529574221,-0.411910754436749
"7804","HAL",0.00103855440830325,0.643686950318094,10.7853693415166,1,2276.44529574221,2.2753081187939
"6871","PRPF19",0.00105435488977697,0.643686950318094,10.7572884101416,1,2276.44529574221,-2.10057553271454
"3578","ARRDC3",0.00107886061676766,0.643686950318094,10.7145681462185,1,2276.44529574221,-1.06359008271616
"2985","SEL1L3",0.00113235167383085,0.643686950318094,10.6246337261406,1,2276.44529574221,0.796822889836058
"4169","PPIL1",0.00115293200352902,0.643686950318094,10.5911730448632,1,2276.44529574221,-10
"12202","RNF185",0.00124737507409918,0.648915029181876,10.4449980042532,1,2276.44529574221,0.740523360001042
"2273","RPSA",0.00126336544891729,0.648915029181876,10.4213630325296,1,2276.44529574221,-0.474458123051594
"898","IGSF9",0.0013827868077163,0.678148486272745,10.2538824102111,1,2276.44529574221,3.19864804720133
"9814","CHD3",0.00142590212050184,0.678148486272745,10.1969945919253,1,2276.44529574221,-0.818734414955793
"2586","CD86",0.00164225998089921,0.709401120309875,9.93555542455976,1,2276.44529574221,0.356194123449172
"4153","DEF6",0.00174382399270437,0.709401120309875,9.82465684860236,1,2276.44529574221,-1.03193379648159
"3622","PGGT1B",0.00181388756127644,0.709401120309875,9.75190779454288,1,2276.44529574221,0.61753883736825
"5244","TNFRSF10A",0.00184926365635442,0.709401120309875,9.71625146270426,1,2276.44529574221,-3.09099752893628
"10383","TIMP2",0.00185672350889745,0.709401120309875,9.70882088800851,1,2276.44529574221,0.256034409412038
"12001","ATP5PO",0.00194650910400473,0.709401120309875,9.62169055209515,1,2276.44529574221,-0.635379489088059
"12802","FUNDC2",0.00195757528431937,0.709401120309875,9.61123497650573,1,2276.44529574221,-1.09685281931433
"7499","BCAT1",0.00204106067624691,0.709401120309875,9.53423703456955,1,2276.44529574221,-0.701605492361785
"5386","ELOC",0.00207229631243489,0.709401120309875,9.50624738907931,1,2276.44529574221,-0.673927381267361
"12138","SMARCB1",0.0020855345649515,0.709401120309875,9.49451379725328,1,2276.44529574221,0.759897128349819
"10059","NT5C3B",0.00209931022286234,0.709401120309875,9.48238386435447,1,2276.44529574221,-2.3507517442935
"3554","ZFYVE16",0.00216454620060354,0.712690711844875,9.42601728264337,1,2276.44529574221,0.378009839361977
"11970","APP",0.00227783579120311,0.717765328482254,9.33210890252993,1,2276.44529574221,0.426796102478958
"4813","TMEM120A",0.00233526227224369,0.717765328482254,9.28630243097129,1,2276.44529574221,-2.31447809502974
"3748","DELE1",0.00234764767512302,0.717765328482254,9.27657317750521,1,2276.44529574221,0.913021815039379
"7365","FKBP4",0.00249975894497968,0.719948225632072,9.16116157377522,1,2276.44529574221,-1.37776013053631
"4242","SUPT3H",0.00252006204980557,0.719948225632072,9.14629910591513,1,2276.44529574221,0.653985812920625
"6003","PHYHD1",0.00252298653947849,0.719948225632072,9.14416832061934,1,2276.44529574221,2.44538788103629
"2198","RBSN",0.00280260065933928,0.745936458902333,8.95123549703156,1,2276.44529574221,-0.981546453726781
"6293","VPS26A",0.00286545284501859,0.745936458902333,8.91056563676309,1,2276.44529574221,0.459400760763277
"6834","NUP160",0.00287118460254836,0.745936458902333,8.90690199488791,1,2276.44529574221,0.617265722629437
"8347","CFL2",0.00290943945209829,0.745936458902333,8.88263890029128,1,2276.44529574221,-1.9554940821439
"7525","DENND5B",0.00296536388571482,0.745936458902333,8.84774626122752,1,2276.44529574221,0.607561280511493
"12824","MT-CO1",0.00301804357403226,0.745936458902333,8.81548463420491,1,2276.44529574221,0.156627311527959
"10531","ZNF397",0.0030648976598537,0.745936458902333,8.78726812544461,1,2276.44529574221,-1.52815520865139
"12409","TLR8",0.00319871388608907,0.745936458902333,8.70903357657409,1,2276.44529574221,0.71719345027553
"3605","FBXL17",0.00323315803757273,0.745936458902333,8.68943456564892,1,2276.44529574221,0.385196183927054
"4187","TREML1",0.00328240378876708,0.745936458902333,8.66177907657997,1,2276.44529574221,0.996121269796574
"1198","ITPKB",0.00348317503220006,0.745936458902333,8.55323612246591,1,2276.44529574221,0.799426572392396
