"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"7645","ITGA5",7.017619838464e-64,9.01132563457163e-60,303.184729032292,1,2297.88485827493,2.20315329217337
"7746","LYZ",3.34190780354391e-07,0.00214567190526537,26.1951480839481,1,2297.88485827493,0.537801526304851
"5664","TEK",3.93302102396959e-05,0.168346409895978,16.9694691583996,1,2297.88485827493,5.48935457241034
"7885","FAM216A",6.68000973023236e-05,0.214445012364784,15.9580082816075,1,2297.88485827493,-10
"11440","ZNF175",9.45828022471309e-05,0.242907552731081,15.2958731320062,1,2297.88485827493,-2.88226727204891
"5477","DPYS",0.000126098173555823,0.26987110777172,14.7495589626668,1,2297.88485827493,2.4247563222516
"4745","IKZF1",0.000208840446453689,0.383102881844547,13.7940515796421,1,2297.88485827493,-0.542121415291103
"11345","CCDC9",0.000311521437033474,0.438642176736594,13.0395019189926,1,2297.88485827493,-3.35817436827579
"10964","KLF2",0.000312592279334301,0.438642176736594,13.0330385614349,1,2297.88485827493,2.53144764619362
"1320","ATP6V1C2",0.000341595028998204,0.438642176736594,12.8659930766112,1,2297.88485827493,2.82499449177203
"5354","CA8",0.000500040995821778,0.5677987034752,12.1501570526224,1,2297.88485827493,3.70152057476847
"3425","DAB2",0.000530611669005716,0.5677987034752,12.0389275254254,1,2297.88485827493,0.38431197493011
"8986","DNAJA4",0.000654798294846579,0.646789608009609,11.6452928183004,1,2297.88485827493,-3.21015298554793
"9920","VTN",0.000838996376021916,0.769539461749816,11.1824644974279,1,2297.88485827493,2.3947332164769
"11889","RTF2",0.000973422524580961,0.833314575876275,10.9056117801788,1,2297.88485827493,0.447477132063076
"7720","MON2",0.00105779957983335,0.848950275290006,10.7509644470413,1,2297.88485827493,-0.464041817136221
"9694","INPP5K",0.00130775340201327,0.893656722838029,10.357068296377,1,2297.88485827493,-3.08232498788
"7211","CUL5",0.00135209661963002,0.893656722838029,10.2952439488664,1,2297.88485827493,-0.454679905878793
"8242","TFDP1",0.00146149188348254,0.893656722838029,10.1511026421345,1,2297.88485827493,0.636038579302761
"1376","KHK",0.00172136973890259,0.893656722838029,9.84838165706471,1,2297.88485827493,1.5843877296065
"10344","WBP2",0.00199866847745497,0.893656722838029,9.57272003859716,1,2297.88485827493,-0.559207378364305
"10201","TOM1L1",0.0020009795661939,0.893656722838029,9.57058948970755,1,2297.88485827493,1.17649756375132
"917","USF1",0.00217588512013718,0.893656722838029,9.41619537240557,1,2297.88485827493,0.87817808484691
"605","MFSD14A",0.0022019941355847,0.893656722838029,9.39423475276703,1,2297.88485827493,-0.757730875253576
"3569","RASA1",0.00231591624591492,0.893656722838029,9.30140873265915,1,2297.88485827493,-0.389961581288342
"9861","TRPV2",0.00231775015268747,0.893656722838029,9.2999526371238,1,2297.88485827493,0.606027392587785
"1844","BBS5",0.0023274088662894,0.893656722838029,9.29230301154503,1,2297.88485827493,0.901546246077569
"3303","NAF1",0.00236175047251355,0.893656722838029,9.26536339608317,1,2297.88485827493,-1.39443824924213
"10060","KLHL11",0.00246869249403582,0.893656722838029,9.18395068262246,1,2297.88485827493,-10
"6708","LYVE1",0.00248011127841742,0.893656722838029,9.17547031462195,1,2297.88485827493,4.38784887725228
"6803","PEX16",0.002734628357052,0.893656722838029,8.99609105917233,1,2297.88485827493,-1.26383419317464
"6647","PHLDA2",0.002830954425674,0.893656722838029,8.93259336869228,1,2297.88485827493,1.70534949125077
"4695","HERPUD2",0.00284666856470284,0.893656722838029,8.92244340519944,1,2297.88485827493,-0.696916509715831
"6177","TMEM236",0.00287367715357874,0.893656722838029,8.90513054133873,1,2297.88485827493,-10
"733","ACP6",0.0028784670223794,0.893656722838029,8.90207744538021,1,2297.88485827493,-2.32958341527348
"2278","ZNF619",0.00290786314492115,0.893656722838029,8.88345250664142,1,2297.88485827493,-10
