"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9382","ITGAL",2.26725310926688e-34,2.91137971760959e-30,154.659820286119,1,2215.51662231415,3.52533704127706
"9463","MT1X",2.20337095150798e-10,1.4146743194157e-06,40.6550430242203,1,2215.51662231415,2.63100138686158
"9972","RHBDL3",2.48294375847382e-07,0.00106278269341874,26.7816894035793,1,2215.51662231415,4.96035580662319
"3803","LARP1",1.06863618406158e-05,0.0343058930988369,19.4740920139214,1,2215.51662231415,0.890533445835902
"9457","MT2A",1.41318170903081e-05,0.0362933326513293,18.9359702455495,1,2215.51662231415,1.78544329973907
"10213","MSI2",5.7206005321964e-05,0.122430385723223,16.2559705921845,1,2215.51662231415,-3.82594846144837
"7923","MED13L",0.000144720517803493,0.234823069652566,14.4901185852071,1,2215.51662231415,0.586935530845434
"5094","TMEM178B",0.000147979437777328,0.234823069652566,14.4478977823496,1,2215.51662231415,4.91820861856491
"1794","ACVR2A",0.000164582791595132,0.234823069652566,14.2463828832324,1,2215.51662231415,-2.89898683278431
"648","LAMTOR5",0.000654117161241373,0.695977473792618,11.6484287865551,1,2215.51662231415,-1.20307457772014
"4656","TRA2A",0.000715395608879523,0.695977473792618,11.4810447714263,1,2215.51662231415,-1.10116964362828
"9510","EXOC3L1",0.000717839985627312,0.695977473792618,11.4746722578161,1,2215.51662231415,3.91810537796377
"486","TM2D1",0.0007693798595309,0.695977473792618,11.3451854624063,1,2215.51662231415,0.927528365126269
"4361","PDSS2",0.000794411128946791,0.695977473792618,11.2854301411638,1,2215.51662231415,0.756274535517958
"3022","GUF1",0.000812994479159666,0.695977473792618,11.2422864958338,1,2215.51662231415,-10
"4863","RBM48",0.000931648550949384,0.747706190171315,10.9883381663761,1,2215.51662231415,1.71980420523797
"245","MED18",0.00111023533120423,0.83854043383203,10.6620352104975,1,2215.51662231415,1.93160114494995
"1615","GGCX",0.0011754324280801,0.83854043383203,10.5560115299219,1,2215.51662231415,-3.09430148942916
"1246","GGPS1",0.00147918031445863,0.912150446590244,10.1297383782105,1,2215.51662231415,-2.38813378650487
"5965","STXBP1",0.00155626249724127,0.912150446590244,10.0357038951872,1,2215.51662231415,-3.17991064724183
"10355","UBALD2",0.00162015330722224,0.912150446590244,9.96127330942412,1,2215.51662231415,1.17011196514601
"652","CEPT1",0.00177951125459398,0.912150446590244,9.78787566836524,1,2215.51662231415,-1.14053142062197
"5980","C9orf16",0.00187408400931628,0.912150446590244,9.69227031385151,1,2215.51662231415,-0.668907924746615
"8185","MYCBP2",0.0019406042275739,0.912150446590244,9.62791163418281,1,2215.51662231415,0.485249330293226
"8220","LIG4",0.00196271383667614,0.912150446590244,9.60701509830976,1,2215.51662231415,-10
"3305","TRIM61",0.00205296923224811,0.912150446590244,9.52411977585272,1,2215.51662231415,3.65112011126881
"10273","CEP95",0.00206600253074626,0.912150446590244,9.51245582665001,1,2215.51662231415,1.09342344221894
"8227","NAXD",0.00216316664147421,0.912150446590244,9.42778445811527,1,2215.51662231415,-10
"9461","MT1G",0.00223823317814764,0.912150446590244,9.3649720522644,1,2215.51662231415,3.09321803664348
"8518","ABCD4",0.00238556782835962,0.912150446590244,9.24767794268609,1,2215.51662231415,-2.28644855132793
"11564","ZNF548",0.00242898865317906,0.912150446590244,9.21451121517599,1,2215.51662231415,2.20512105064377
"8579","TDP1",0.00247342539885583,0.912150446590244,9.18118617594602,1,2215.51662231415,1.18077588300642
"4357","QRSL1",0.0025560871085019,0.912150446590244,9.12078156812834,1,2215.51662231415,1.26424076802844
"8446","SNAPC1",0.00259932562760417,0.912150446590244,9.08997102175605,1,2215.51662231415,-3.19811493814889
"10199","MBTD1",0.00272107192066898,0.912150446590244,9.00593756313779,1,2215.51662231415,-1.2968228273458
"1977","CYP20A1",0.00273217414991163,0.912150446590244,8.99846540204824,1,2215.51662231415,-1.41194280048998
"9072","ARRDC4",0.00274804098129456,0.912150446590244,8.98783989480147,1,2215.51662231415,-3.01797803492041
"6357","TMEM254",0.00275329925088336,0.912150446590244,8.98433235002338,1,2215.51662231415,-10
"4846","SLC25A40",0.00280475576030652,0.912150446590244,8.95036305480244,1,2215.51662231415,-2.35582498718571
"6931","NAA40",0.00284136888588192,0.912150446590244,8.92657617093852,1,2215.51662231415,1.55133356689872
"10969","MED26",0.00311283662696357,0.915800592807065,8.75936442706751,1,2215.51662231415,-10
"11924","GID8",0.00324205622279933,0.915800592807065,8.68491345580171,1,2215.51662231415,-1.91414247448439
"10461","SMCHD1",0.00325880108863606,0.915800592807065,8.6754873379641,1,2215.51662231415,0.521972435333175
"7433","MFAP5",0.00327942698312116,0.915800592807065,8.66394397358301,1,2215.51662231415,3.93470206493278
"9318","NSMCE1",0.00328936835837903,0.915800592807065,8.65840659104325,1,2215.51662231415,-2.25841196062157
"12318","NFAM1",0.00329346651726224,0.915800592807065,8.65612885489965,1,2215.51662231415,-1.0439113350119
"12689","PGRMC1",0.00335196852752372,0.915800592807065,8.62392442290372,1,2215.51662231415,-2.88409156094021
"1385","SNX17",0.00350098378467383,0.936586099562431,8.54440951421123,1,2215.51662231415,-1.60120184981907
"7195","DCUN1D5",0.00368197581844336,0.937863949875167,8.45233969987166,1,2215.51662231415,1.08134390312528
"7477","WBP11",0.00370445847716217,0.937863949875167,8.44122581696129,1,2215.51662231415,-1.24571320955151
"877","NAXE",0.00394484054585675,0.937863949875167,8.3265145905251,1,2215.51662231415,-2.26812057307181
"11349","DHX34",0.00395316015983715,0.937863949875167,8.32267298353552,1,2215.51662231415,1.0275602406906
"5466","ZNF706",0.00418934952723352,0.937863949875167,8.21691558221113,1,2215.51662231415,0.575772570623024
"6527","TRUB1",0.00420184227882775,0.937863949875167,8.21149212174975,1,2215.51662231415,-10
"2657","SRPRB",0.00420723562605194,0.937863949875167,8.20915578991847,1,2215.51662231415,-10
"3795","SPARC",0.00423678855242379,0.937863949875167,8.19640774163752,1,2215.51662231415,-2.75535862603719
"11529","UBE2S",0.00431163563962173,0.937863949875167,8.16452238829499,1,2215.51662231415,1.00362112161914
"11691","PET117",0.00433019647788499,0.937863949875167,8.15670260327424,1,2215.51662231415,1.7757727151253
"136","NECAP2",0.00435021996080746,0.937863949875167,8.14830479832635,1,2215.51662231415,-0.985365896451307
"7037","PPP1CA",0.00446097045289354,0.937863949875167,8.10255620369007,1,2215.51662231415,0.713325849294631
"7962","ANAPC5",0.00464824266264613,0.937863949875167,8.0277697014039,1,2215.51662231415,0.796319514968308
"3739","PCDHGA6",0.0046723141921217,0.937863949875167,8.01838027281188,1,2215.51662231415,3.80319590709348
"11615","C20orf96",0.00473571542135262,0.937863949875167,7.9938837971299,1,2215.51662231415,-10
"4622","MIOS",0.00490080048998344,0.937863949875167,7.93163565255388,1,2215.51662231415,0.812303582630426
"7471","FAM234B",0.00490135945473464,0.937863949875167,7.93142853704402,1,2215.51662231415,1.97101472958722
"12260","TMEM184B",0.00502431003919376,0.937863949875167,7.88644677840777,1,2215.51662231415,1.24478355144137
"4010","HMGN4",0.00504700791548945,0.937863949875167,7.87826557341748,1,2215.51662231415,-2.22645747862776
"7699","STAC3",0.00524248204816007,0.937863949875167,7.80932398830017,1,2215.51662231415,0.950431787040591
"490","ATG4C",0.00532625770849318,0.937863949875167,7.78057632900658,1,2215.51662231415,0.710755974630292
"8009","BRI3BP",0.00539210530115067,0.937863949875167,7.75830264924368,1,2215.51662231415,-2.29520392931836
"7053","CHKA",0.00542351722977239,0.937863949875167,7.74777480330071,1,2215.51662231415,-1.04914028292426
"3038","SPATA18",0.00556650569393114,0.937863949875167,7.70062488576145,1,2215.51662231415,2.90089467450987
"10204","MMD",0.00564920918578332,0.937863949875167,7.67391469943222,1,2215.51662231415,0.855241056826149
"7006","SF3B2",0.00574902034044803,0.937863949875167,7.64220588356664,1,2215.51662231415,0.70150100676931
"1447","SOS1",0.00575510574792615,0.937863949875167,7.64029083606483,1,2215.51662231415,0.496763654421424
"7901","ERP29",0.00576222559331835,0.937863949875167,7.63805287841161,1,2215.51662231415,0.572444814813628
"3632","DMXL1",0.00581951566934856,0.937863949875167,7.62014715790323,1,2215.51662231415,0.478829059416401
"9202","CDIP1",0.00590358543848496,0.937863949875167,7.59419476297334,1,2215.51662231415,-10
"3680","PPP2CA",0.0059378592383982,0.937863949875167,7.58372252097394,1,2215.51662231415,0.672319664494061
"7153","EED",0.00599915629444741,0.937863949875167,7.56514639713767,1,2215.51662231415,-1.82206483125978
"6636","LSP1",0.00600861937306135,0.937863949875167,7.5622958837735,1,2215.51662231415,-0.698147012610368
"4008","BTN3A3",0.00612985100349694,0.937863949875167,7.52617816236953,1,2215.51662231415,1.24515069436014
"6519","VTI1A",0.00635229093427899,0.937863949875167,7.46176631647748,1,2215.51662231415,0.463925403905337
"7871","UBE3B",0.00644618242514915,0.937863949875167,7.43526687381921,1,2215.51662231415,1.07458595558099
"10690","LMNB2",0.00663255379560623,0.937863949875167,7.3838151550223,1,2215.51662231415,2.070100003245
"6302","PPA1",0.0066500527744775,0.937863949875167,7.37906028240348,1,2215.51662231415,1.44023908009198
"10586","ZNF532",0.00666027826524619,0.937863949875167,7.37628769821099,1,2215.51662231415,1.07224633251418
"4397","NT5DC1",0.00672517022107769,0.937863949875167,7.35879337860042,1,2215.51662231415,0.853880129840048
"2377","RBM5",0.00679758157711336,0.937863949875167,7.33947441764223,1,2215.51662231415,-0.934595844595887
"7940","RAB35",0.00689844421745436,0.937863949875167,7.31291250845193,1,2215.51662231415,0.901941642939459
"7299","SC5D",0.00699147230196844,0.937863949875167,7.28876342301174,1,2215.51662231415,-2.69693560395516
"11952","GATD3B",0.00699480714415823,0.937863949875167,7.28790384447585,1,2215.51662231415,-10
"9094","MRPL28",0.00705856216921668,0.937863949875167,7.27155063663327,1,2215.51662231415,0.985737472949759
"12353","BRD1",0.00742805375072235,0.937863949875167,7.17965322387584,1,2215.51662231415,0.937744941811679
"2621","PODXL2",0.00754706072963762,0.937863949875167,7.15104758071203,1,2215.51662231415,3.66005697710965
