"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"8135","ITM2B",1.66001434332179e-114,2.13162441825951e-110,579.975439802242,1,2307.45676647973,1.55752437904658
"9116","TPSB2",2.13713653657129e-07,0.0013721485133056,27.0682847740546,1,2307.45676647973,1.36037352272858
"11713","CST3",2.66885022989864e-06,0.0114235686007095,22.1514458174214,1,2307.45676647973,0.370550635167734
"3523","HEXB",5.75918898079458e-05,0.160401239756229,16.2406263797787,1,2307.45676647973,0.450361378250985
"9117","TPSAB1",6.75802134770501e-05,0.160401239756229,15.9356337870068,1,2307.45676647973,1.53725186947161
"11596","ZNF544",7.49480132806925e-05,0.160401239756229,15.7384715234524,1,2307.45676647973,-2.56337958905798
"5144","ABCB8",0.000170368756789899,0.312529315134157,14.1790122480291,1,2307.45676647973,-2.73979341022235
"4617","C7orf26",0.000454371792376991,0.664793302780881,12.3296722278176,1,2307.45676647973,1.2930873509908
"9623","MBTPS1",0.000496114704154628,0.664793302780881,12.1647937924338,1,2307.45676647973,0.51141613546312
"1763","AMMECR1L",0.000523746781859391,0.664793302780881,12.0631887893371,1,2307.45676647973,-2.24022278325582
"9798","ZBTB4",0.000609173331825778,0.664793302780881,11.7802484414821,1,2307.45676647973,0.548909016305016
"2224","TOP2B",0.00062125376788183,0.664793302780881,11.7435094742504,1,2307.45676647973,0.483271766048438
"6476","NFKB2",0.000870978465789148,0.771901041072919,11.1126041184267,1,2307.45676647973,0.793628690290003
"1749","TMEM185B",0.000904846171116879,0.771901041072919,11.0415242672792,1,2307.45676647973,-3.17595792672343
"10329","MRPS7",0.000946176923264177,0.771901041072919,10.9583420855623,1,2307.45676647973,-0.933848018959303
"172","C1QC",0.000996637769356614,0.771901041072919,10.8616328914646,1,2307.45676647973,0.395091555304629
"4958","RASA4",0.00102190777184329,0.771901041072919,10.815049060857,1,2307.45676647973,-10
"10285","C17orf58",0.00114719248828204,0.777529481709561,10.6000809606337,1,2307.45676647973,-1.94880982072881
"7587","NCKAP5L",0.0013004312491661,0.777529481709561,10.3673746962957,1,2307.45676647973,0.733374989835901
"11539","ZNF580",0.00131514683891655,0.777529481709561,10.3465081976428,1,2307.45676647973,-0.969814858622568
"10063","CNP",0.00138936741928871,0.777529481709561,10.2447448055563,1,2307.45676647973,0.589829197356836
"3683","CDKN2AIPNL",0.00139092583059505,0.777529481709561,10.2426676017605,1,2307.45676647973,1.22978220218988
"4453","AHI1",0.00143885329361166,0.777529481709561,10.1799108719113,1,2307.45676647973,0.52133524383945
"4263","GCLC",0.00145631513888696,0.777529481709561,10.1575712585325,1,2307.45676647973,-0.683226908510928
"2744","LXN",0.00157993978195251,0.777529481709561,10.0067760834049,1,2307.45676647973,-1.01948690586909
"4503","PCMT1",0.00163984640041574,0.777529481709561,9.9379541670753,1,2307.45676647973,-0.553217646064727
"6410","TCTN3",0.00169789225132956,0.777529481709561,9.87365948119543,1,2307.45676647973,1.00453131479736
"11535","FIZ1",0.00173390444218404,0.777529481709561,9.83488132049411,1,2307.45676647973,-10
"5325","FNTA",0.00175596565451112,0.777529481709561,9.81152704029597,1,2307.45676647973,-0.63968544077934
"11297","BCAM",0.00187891197489906,0.795159524110189,9.68659196404425,1,2307.45676647973,1.75638141666396
