"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10859","LDLR",2.70729740011601e-08,0.000347644059148896,31.1264593877866,1,2254.95027518807,3.59673504528227
"7305","CLMP",1.1695686264097e-05,0.0750921536586345,19.2986801373022,1,2254.95027518807,3.73319269646725
"7032","ANKRD13D",0.000148759796754873,0.439114590387289,14.4370489756333,1,2254.95027518807,0.720872436046504
"1939","HSPE1",0.000178260479767821,0.439114590387289,14.0943747959523,1,2254.95027518807,-0.968298838464934
"4997","DOCK4",0.000184971576712641,0.439114590387289,14.0244353273328,1,2254.95027518807,0.376535015670789
"9937","FAM222B",0.000306871158120516,0.439114590387289,13.0685929101389,1,2254.95027518807,0.679665224558318
"1041","RNF2",0.00032665060633756,0.439114590387289,12.9509458976315,1,2254.95027518807,-1.57624706830943
"6035","DDX31",0.000356670314339113,0.439114590387289,12.785465098518,1,2254.95027518807,-10
"2787","NDUFB5",0.000362498000094832,0.439114590387289,12.7549755952586,1,2254.95027518807,-0.832163575523406
"8875","USP3",0.000388171332590472,0.439114590387289,12.6262975273752,1,2254.95027518807,0.594799839609564
"8495","SIPA1L1",0.000448766668464687,0.439114590387289,12.3538003286328,1,2254.95027518807,0.485203841460641
"6787","PRR5L",0.000457886983708113,0.439114590387289,12.3160355263113,1,2254.95027518807,1.45757672746034
"7343","ZBTB44",0.000463332165068202,0.439114590387289,12.2938489808077,1,2254.95027518807,0.73002504944355
"11913","PSMA7",0.000518685984564211,0.439114590387289,12.0821825853417,1,2254.95027518807,-0.455805858521506
"10216","VEZF1",0.000556031898083801,0.439114590387289,11.9519011277939,1,2254.95027518807,0.811124993226495
"11764","PROCR",0.00056562345874812,0.439114590387289,11.9198676223816,1,2254.95027518807,-10
"12741","INTS6L",0.000581336970374887,0.439114590387289,11.8685561007688,1,2254.95027518807,-1.42699996839753
"4525","ARID1B",0.00065902489452054,0.470141037252125,11.633871416792,1,2254.95027518807,0.382192184999432
"709","NBPF15",0.000750915346060768,0.493499235179468,11.3899821612453,1,2254.95027518807,-10
"7780","C12orf29",0.000807073239800019,0.493499235179468,11.2553805390864,1,2254.95027518807,-10
"10572","SMAD4",0.000886399041002872,0.493499235179468,11.0805741006956,1,2254.95027518807,0.586885713584895
"5583","HSF1",0.000896042624104484,0.493499235179468,11.0604105781198,1,2254.95027518807,-1.30316145589172
"11451","ZNF615",0.000962666164877442,0.493499235179468,10.9268341201322,1,2254.95027518807,1.5222664016477
"4592","GNA12",0.000973796326828239,0.493499235179468,10.9054343293335,1,2254.95027518807,0.496882659272992
"12671","RBM41",0.000993206010250352,0.493499235179468,10.8687011467495,1,2254.95027518807,0.761238211277207
"5839","ANP32B",0.00100519337867223,0.493499235179468,10.8463759874702,1,2254.95027518807,0.53938874197458
"8825","DMXL2",0.00104805227228178,0.493499235179468,10.7687031337341,1,2254.95027518807,0.327642049027097
"3046","EXOC1",0.0011034308911442,0.493499235179468,10.6729709066724,1,2254.95027518807,-0.707363311818441
