"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6785","LDLRAD3",5.27477008194541e-24,6.77333226222611e-20,104.507976369475,1,2221.69734785656,2.88894732758372
"1477","STPG4",5.20438405634721e-06,0.0334147478337773,20.8625724071056,1,2221.69734785656,1.92501236767745
"6225","ZNF33A",0.000129520681875179,0.554391691986393,14.7004641866181,1,2221.69734785656,0.956664282043598
"9315","LCMT1",0.00017989715003107,0.577514825887243,14.0777796718338,1,2221.69734785656,-2.12351760910752
"3149","GPRIN3",0.000367308454044406,0.780268313025798,12.7307577249021,1,2221.69734785656,0.597132457656287
"11797","BLCAP",0.000403727277458307,0.780268313025798,12.5530094454761,1,2221.69734785656,0.970996739726775
"110","MIIP",0.000425346794734101,0.780268313025798,12.4549984094694,1,2221.69734785656,-2.59120502439072
"7123","EMSY",0.000622252987106803,0.902824807344235,11.7417525043019,1,2221.69734785656,1.02672805192678
"2988","TBC1D19",0.000858017145282529,0.902824807344235,11.1416791182991,1,2221.69734785656,-10
"307","PSMB2",0.00104649742793436,0.902824807344235,10.7718845847194,1,2221.69734785656,-1.09978561188882
"5192","PINX1",0.00107549940509226,0.902824807344235,10.7210484058611,1,2221.69734785656,-10
"8036","ZNF268",0.00109282694698307,0.902824807344235,10.6913338950491,1,2221.69734785656,1.78239203625176
"10704","GNA15",0.00119038408401924,0.902824807344235,10.5324610316272,1,2221.69734785656,0.889067944776511
"8323","LTB4R",0.0012365213333221,0.902824807344235,10.4618642973216,1,2221.69734785656,1.45085370766112
"11646","DDRGK1",0.00146219826499624,0.902824807344235,10.1510513972491,1,2221.69734785656,-1.32157162948041
"2695","PCOLCE2",0.00148329510300452,0.902824807344235,10.1245238094429,1,2221.69734785656,1.37546798782092
"3408","RAD1",0.00150394536006629,0.902824807344235,10.0989255292669,1,2221.69734785656,-10
"7455","PRH1",0.00160426695749471,0.902824807344235,9.9794299984714,1,2221.69734785656,0.863332211961028
"4952","ALKBH4",0.00162004353445214,0.902824807344235,9.96133015172569,1,2221.69734785656,-10
"12799","MPP1",0.00169157460602769,0.902824807344235,9.88144649980905,1,2221.69734785656,-0.72530492212173
"4648","STEAP1B",0.0017554939721613,0.902824807344235,9.81290964099412,1,2221.69734785656,1.40225475130221
"7308","VWA5A",0.00194463690398816,0.902824807344235,9.62401814417108,1,2221.69734785656,-10
"6221","CREM",0.00197649430911972,0.902824807344235,9.59404744976141,1,2221.69734785656,0.568932754633401
"528","TYW3",0.00205296144432187,0.902824807344235,9.52406391071392,1,2221.69734785656,1.1566257889054
"954","UCK2",0.00206473040080616,0.902824807344235,9.5135282813366,1,2221.69734785656,-10
"6920","NXF1",0.00216666297490309,0.902824807344235,9.42474846172822,1,2221.69734785656,1.30073552620167
"11906","PRELID3B",0.00222203303853772,0.902824807344235,9.37828371879313,1,2221.69734785656,-2.98947707222553
"7881","ATP2A2",0.00230787763566714,0.902824807344235,9.30852028087709,1,2221.69734785656,0.59350891612233
"6980","ZNRD2",0.00256693447634163,0.902824807344235,9.11294476728022,1,2221.69734785656,-2.91987958688117
"491","ALG6",0.00272153755352663,0.902824807344235,9.00556704384666,1,2221.69734785656,-10
"5044","TSPAN33",0.00272750943831266,0.902824807344235,9.0015446758564,1,2221.69734785656,-2.04949748725849
"2951","ACOX3",0.00273247502839505,0.902824807344235,8.99820690706967,1,2221.69734785656,-2.92754708141169
"4352","PREP",0.00274078447511771,0.902824807344235,8.992635229105,1,2221.69734785656,-1.45599207539755
"2702","PLSCR2",0.00275205907813521,0.902824807344235,8.98510272947802,1,2221.69734785656,2.04203468844971
"2842","FGF12",0.00279452431060707,0.902824807344235,8.9570107432297,1,2221.69734785656,2.58858438982266
"5232","PPP3CC",0.00285159508757597,0.902824807344235,8.91993253830835,1,2221.69734785656,-0.998784227459439
"4675","CPVL",0.00293667667090332,0.902824807344235,8.8660334779205,1,2221.69734785656,0.55060932804804
"1027","RNASEL",0.00295023754298992,0.902824807344235,8.8575895993452,1,2221.69734785656,1.2141514149879
"271","TMEM39B",0.00316113097624633,0.902824807344235,8.73112431384568,1,2221.69734785656,1.37226913033532
