"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"5220","LPL",3.42659921754859e-20,4.40009605525414e-16,86.3591233614937,1,2252.8925877502,2.29747264692874
"3028","NIPAL1",4.47314522382422e-06,0.0287198289095634,21.1539584195168,1,2252.8925877502,5.01081816750056
"6770","HIPK3",7.23008219407537e-06,0.0309471618180406,20.22609446716,1,2252.8925877502,0.650331811392821
"6272","RTKN2",2.31408245339696e-05,0.0742878319601759,17.9869812786216,1,2252.8925877502,4.03828424005268
"9458","MT1E",0.000105851039009749,0.271846638384837,15.082968319933,1,2252.8925877502,2.7268791499192
"12679","TMEM164",0.000179220854966663,0.361224282712118,14.0842480548356,1,2252.8925877502,-1.07752750908138
"7299","SC5D",0.000196913790124198,0.361224282712118,13.9061237823144,1,2252.8925877502,-2.66444531779154
"7193","MMP8",0.000249406488794123,0.400328590325667,13.4596299255943,1,2252.8925877502,4.20481564751445
"9801","TNFSF13",0.000313429077445413,0.447193642608506,13.0287962925084,1,2252.8925877502,0.959689481045024
"2050","GMPPA",0.000410915387779194,0.527656449447263,12.5193196947123,1,2252.8925877502,-3.25933174410562
"4346","USP45",0.000510400148159693,0.595822572956238,12.112403394934,1,2252.8925877502,-2.33569654253431
"8851","CGNL1",0.00068752141319008,0.640004353526855,11.5547685502146,1,2252.8925877502,3.88381284668797
"11518","PPP1R12C",0.000720822250934069,0.640004353526855,11.4663926564918,1,2252.8925877502,-1.95734632166373
"5227","NUDT18",0.000762932863431905,0.640004353526855,11.3603694007617,1,2252.8925877502,-10
"10014","SYNRG",0.000959355733168816,0.640004353526855,10.93327375409,1,2252.8925877502,0.550325924685846
"5740","FAM122A",0.000959834831175741,0.640004353526855,10.9323442161237,1,2252.8925877502,-10
"242","DNAJC8",0.000982355749485928,0.640004353526855,10.8891711460192,1,2252.8925877502,-0.716177732891796
"4195","USP49",0.00100115256348811,0.640004353526855,10.8538973371778,1,2252.8925877502,0.989522536356719
"8007","UBC",0.00104106170047203,0.640004353526855,10.7811758467495,1,2252.8925877502,-0.324077623630255
"6762","RCN1",0.00108277812850136,0.640004353526855,10.7081175279317,1,2252.8925877502,-1.91847328209483
"11300","APOE",0.00113244177053024,0.640004353526855,10.624769137316,1,2252.8925877502,-0.451203872193053
"5653","HACD4",0.0011619126782296,0.640004353526855,10.577041661847,1,2252.8925877502,-2.36253674627382
"3640","PPIC",0.00117047739243337,0.640004353526855,10.5634010118323,1,2252.8925877502,-2.69262034436591
"5942","NEK6",0.00119617665950039,0.640004353526855,10.5230694772394,1,2252.8925877502,0.728355888115737
"5589","SLC39A4",0.00138862182982819,0.70159743165328,10.2463434193587,1,2252.8925877502,-10
"6551","NSMCE4A",0.00142056952129782,0.70159743165328,10.2041976306235,1,2252.8925877502,-2.4116956103682
"10603","TMX3",0.00148010252415616,0.703925796766268,10.1281627701941,1,2252.8925877502,-1.15920768336749
"4420","SMPDL3A",0.00154267440223637,0.707481499968473,10.0515172754785,1,2252.8925877502,-1.38266260805744
"10471","L3MBTL4",0.00178837190548037,0.769956923903209,9.77830789723189,1,2252.8925877502,0.588490548978502
"7906","PTPN11",0.00179882468009472,0.769956923903209,9.76754582790206,1,2252.8925877502,0.616577072927676
"3085","G3BP2",0.00188617137214197,0.774726493704809,9.680018514708,1,2252.8925877502,-0.656349246433925
"9783","GABARAP",0.00193063217806665,0.774726493704809,9.63703234932473,1,2252.8925877502,0.289339111598889
"2662","PPP2R3A",0.00203252474810673,0.790898493649652,9.54219228366013,1,2252.8925877502,-1.39401352291809
"7013","BRMS1",0.00209782806700428,0.792300300247117,9.48391311548822,1,2252.8925877502,-1.54425561198136
"12094","HIRA",0.00225026499987795,0.825590081812363,9.35474131862786,1,2252.8925877502,-1.22704121532994
"3547","JMY",0.00236111706439964,0.840725935430235,9.26626958800491,1,2252.8925877502,-1.8571246411676
"6561","BUB3",0.00242246395225595,0.840725935430235,9.21910408408551,1,2252.8925877502,0.792028810534654
"4027","GABBR1",0.00262037469937589,0.880421694872842,9.07481802334095,1,2252.8925877502,-2.35256851202962
"1267","CEP170",0.00267396979207545,0.880421694872842,9.03764787715422,1,2252.8925877502,-0.431365983728155
"12661","TCEAL3",0.00277112722705552,0.889601118065497,8.97215596276721,1,2252.8925877502,0.668315532626982
"2957","RAB28",0.0030391351473708,0.901572527602428,8.80292606783215,1,2252.8925877502,-0.940729254419016
"11755","PIGU",0.00311110325736395,0.901572527602428,8.7600645565107,1,2252.8925877502,1.15700232943229
"4257","EFHC1",0.00312537466207197,0.901572527602428,8.75168491613001,1,2252.8925877502,-10
"8925","PAQR5",0.00317628481458625,0.901572527602428,8.7221061468386,1,2252.8925877502,1.17642324032344
"10744","ARRDC5",0.00321291661808045,0.901572527602428,8.70111984505759,1,2252.8925877502,1.23270702809376
