"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10395","SGSH",8.69769900396525e-05,0.947355734033407,15.4569256249782,1,2233.70608855851,1.3499035972857
"3558","RASGRF2",0.00032708569722614,0.947355734033407,12.9488198374441,1,2233.70608855851,4.38652838376779
"9001","CEMIP",0.000383278924956089,0.947355734033407,12.6505066366262,1,2233.70608855851,3.1272060904533
"4181","SAYSD1",0.000629425879067491,0.947355734033407,11.7201286034239,1,2233.70608855851,-10
"12718","ELF4",0.000696807201056317,0.947355734033407,11.5299724465016,1,2233.70608855851,-2.14569371096256
"1521","PELI1",0.000714181420085285,0.947355734033407,11.4839552649247,1,2233.70608855851,0.935701316549276
"6405","TBC1D12",0.000715462368722901,0.947355734033407,11.480607485847,1,2233.70608855851,-1.27031243263926
"3570","CCNH",0.000894897701971926,0.947355734033407,11.0630739956922,1,2233.70608855851,0.679529624181245
"4581","MAD1L1",0.000966726539701447,0.947355734033407,10.9192725176314,1,2233.70608855851,-1.00389235466838
"4739","TBRG4",0.00103293449786565,0.947355734033407,10.7959959966255,1,2233.70608855851,-2.45921062045763
"10529","DTNA",0.00103632481566247,0.947355734033407,10.7899004804821,1,2233.70608855851,1.27064715066429
"11994","TMEM50B",0.00109727620790354,0.947355734033407,10.6836301085104,1,2233.70608855851,1.02157101690854
"9496","NAE1",0.00112693452970655,0.947355734033407,10.6340628535375,1,2233.70608855851,-1.91273424046922
"179","ID3",0.00117449615156774,0.947355734033407,10.5572676006937,1,2233.70608855851,1.20088244568126
"1610","TGOLN2",0.00142819742366988,0.947355734033407,10.1944941394464,1,2233.70608855851,-0.589659459117944
"11172","ZNF607",0.00150268501974506,0.947355734033407,10.1003421372933,1,2233.70608855851,3.00998979953479
"11045","GMIP",0.00156180477304739,0.947355734033407,10.028922711867,1,2233.70608855851,0.798896463858481
"6181","NSUN6",0.00157682276584016,0.947355734033407,10.0112166981947,1,2233.70608855851,-1.78609576314103
"2035","CYP27A1",0.00184928157005744,0.947355734033407,9.71667066736314,1,2233.70608855851,-0.735803719048043
"4995","DNAJB9",0.00186168898881774,0.947355734033407,9.70432769168579,1,2233.70608855851,1.47195040337113
"6007","MIGA2",0.0020936024419823,0.947355734033407,9.48781761882623,1,2233.70608855851,-10
"6454","HIF1AN",0.00232221335877031,0.947355734033407,9.29701159969619,1,2233.70608855851,-2.00371985399461
"3060","UBA6",0.00233045303600039,0.947355734033407,9.29049573742907,1,2233.70608855851,-0.739601474306185
"11031","TMEM161A",0.00233328998157819,0.947355734033407,9.28825771881986,1,2233.70608855851,-10
"8007","UBC",0.00259726280179556,0.947355734033407,9.09126064715665,1,2233.70608855851,0.306171785589462
