"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"1789","LRP1B",1.76470170394686e-33,2.26605345803817e-29,150.181896944788,1,2269.63640409546,6.3636442445876
"3532","SV2C",3.13151086558818e-07,0.00201058655125089,26.3241068280541,1,2269.63640409546,4.80091825107112
"725","TXNIP",3.24594687745889e-05,0.138937346178165,17.3377648580108,1,2269.63640409546,0.405635722897362
"6807","MDK",0.000108949650736718,0.34975561627755,15.0277493520321,1,2269.63640409546,1.73959218536646
"3329","WDR17",0.000231440946624701,0.517517648005002,13.6004571651072,1,2269.63640409546,1.81238571167394
"7005","CATSPER1",0.000275498811244943,0.517517648005002,13.2715994385396,1,2269.63640409546,2.40061773295451
"3821","SLU7",0.00028211381792968,0.517517648005002,13.2268605061256,1,2269.63640409546,0.761277265703086
"2683","PXYLP1",0.000356129128823685,0.538008576700764,12.788069385273,1,2269.63640409546,2.32163821336023
"10556","HDHD2",0.000377079447886214,0.538008576700764,12.6805560113906,1,2269.63640409546,-1.29980202385769
"4255","MCM3",0.000547900258343995,0.703558721739524,11.9792765022723,1,2269.63640409546,-10
"6904","B3GAT3",0.000680195892371835,0.794035950358794,11.5745518425668,1,2269.63640409546,0.960381772180614
"9197","CORO7",0.000874444192008997,0.840460700787817,11.1056879130601,1,2269.63640409546,0.688359427176773
"11124","ETV2",0.00101045177688948,0.840460700787817,10.836483900745,1,2269.63640409546,3.66824735558862
"8350","FAM177A1",0.00107264696697316,0.840460700787817,10.7253893415457,1,2269.63640409546,-1.04381334522131
"7824","GNPTAB",0.00117540810218974,0.840460700787817,10.555394400689,1,2269.63640409546,0.448798563184999
"2509","CLDND1",0.00118213886150693,0.840460700787817,10.5447908377104,1,2269.63640409546,0.857269887417114
"7884","GPN3",0.00154594716847953,0.840460700787817,10.0474140620804,1,2269.63640409546,0.966188684464353
"258","SDC3",0.00160073275091461,0.840460700787817,9.98298880198983,1,2269.63640409546,0.677674657143197
"5564","FAM83H",0.00169223284271059,0.840460700787817,9.88021699825091,1,2269.63640409546,1.83422675775148
"2885","ZNF721",0.00175150163363883,0.840460700787817,9.816611551368,1,2269.63640409546,-1.02954441955294
"765","SETDB1",0.00179021262207918,0.840460700787817,9.77623580195027,1,2269.63640409546,0.753970707597325
"6157","PRPF18",0.00196846439229708,0.840460700787817,9.6010720647708,1,2269.63640409546,0.805427369119295
"1257","MTR",0.00199396392295861,0.840460700787817,9.57733884243688,1,2269.63640409546,0.59306858035076
"592","DNTTIP2",0.00205973965632151,0.840460700787817,9.51751324706068,1,2269.63640409546,-1.06612240120146
"12428","TXLNG",0.00218991517516396,0.840460700787817,9.40462617746751,1,2269.63640409546,1.11870890651947
"64","KLHL21",0.00219944148170482,0.840460700787817,9.3966344055042,1,2269.63640409546,1.34830452570421
"4194","TOMM6",0.00222521265142552,0.840460700787817,9.37518941267286,1,2269.63640409546,-0.674466520131118
