"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"7541","LRRK2",2.73801620241349e-89,3.51588660551916e-85,438.59130874002,1,2303.52428544109,2.55776794530585
"12009","CBR3",3.7747464498545e-06,0.0242357595812908,21.4801287279226,1,2303.52428544109,1.81874503178903
"10806","PRAM1",9.3485640587668e-06,0.0400149703595415,19.7283784616775,1,2303.52428544109,-1.45376609466305
"800","S100A4",3.19937282228455e-05,0.10270786602739,17.3644109959087,1,2303.52428544109,0.64085124948276
"323","CSF3R",8.38449346715416e-05,0.215330561223453,15.524994094587,1,2303.52428544109,0.716329464024618
"1343","MFSD2B",0.000153956409199502,0.275237033839343,14.3709420442413,1,2303.52428544109,3.20508795765247
"5319","SLC20A2",0.000161782928029842,0.275237033839343,14.2770088887187,1,2303.52428544109,-1.10998432930603
"1831","DPP4",0.000171473893833404,0.275237033839343,14.166850995574,1,2303.52428544109,-1.85088802814024
"5770","TLE4",0.000282809654400466,0.403506530239599,13.2216076357531,1,2303.52428544109,0.45503675980393
"3751","NDFIP1",0.000367608952273387,0.472046655614256,12.7278247231472,1,2303.52428544109,-0.488286033322709
"11991","IL10RB",0.000514873358472426,0.544250467351934,12.0952730497344,1,2303.52428544109,-0.507386711694358
"10805","HNRNPM",0.000531169537458136,0.544250467351934,12.0368749780413,1,2303.52428544109,0.431970915140039
"2240","DYNC1LI1",0.000572797700427015,0.544250467351934,11.8955479406077,1,2303.52428544109,-0.834413633031234
"7428","NECAP1",0.000660452327409221,0.544250467351934,11.6291402100837,1,2303.52428544109,-1.57830245082452
"2533","BBX",0.000735651527459946,0.544250467351934,11.4276664522855,1,2303.52428544109,0.345090115785348
"425","LRRC41",0.000781323278394964,0.544250467351934,11.3152323914409,1,2303.52428544109,-0.911013168898691
"12559","SPIN3",0.000835800392730005,0.544250467351934,11.1895082442355,1,2303.52428544109,-3.22980406218146
"4951","ORAI2",0.000866336494858074,0.544250467351934,11.1226135612966,1,2303.52428544109,-1.11725316750888
"383","TIE1",0.000881548702872011,0.544250467351934,11.0901734817746,1,2303.52428544109,2.08046125604993
"8680","ATP10A",0.000882376599660625,0.544250467351934,11.0884242748645,1,2303.52428544109,0.767957068084484
"3359","CCDC127",0.000925098171062996,0.544250467351934,11.0003440869216,1,2303.52428544109,-1.77299463317271
"2424","GLT8D1",0.000932443756852468,0.544250467351934,10.9856151566984,1,2303.52428544109,-1.54202640165691
"11206","EID2B",0.00101900645179339,0.559532164037875,10.8203851303175,1,2303.52428544109,-10
"6290","DDX50",0.00104577306571988,0.559532164037875,10.7721599183816,1,2303.52428544109,-0.941014719874167
"8739","RMDN3",0.00112289791834695,0.566188882162057,10.6398917488325,1,2303.52428544109,0.772994230355842
"5642","CNTLN",0.00118070875432022,0.566188882162057,10.5466445039824,1,2303.52428544109,-0.604487284750852
"8911","AAGAB",0.00119049138060708,0.566188882162057,10.5313239681309,1,2303.52428544109,-0.951018838063492
"11664","PCNA",0.00137188390446923,0.607660730594248,10.2682544528712,1,2303.52428544109,-1.08884945121706
"1619","TMEM150A",0.0013723355803468,0.607660730594248,10.267644391021,1,2303.52428544109,-1.85412345388566
"11030","SLC25A42",0.00146971092736879,0.629085267278087,10.1406584772578,1,2303.52428544109,-10
"8780","PPIP5K1",0.00171205810145513,0.629263642997859,9.85834653818801,1,2303.52428544109,1.15727669763952
"11795","MANBAL",0.00174024545018797,0.629263642997859,9.82817725140333,1,2303.52428544109,0.814619826680644
"12022","HMGN1",0.00178531142971286,0.629263642997859,9.7809571844759,1,2303.52428544109,-0.39034328495433
"4335","BACH2",0.0017953768295764,0.629263642997859,9.7705758885151,1,2303.52428544109,2.55132965222576
"9470","CCL22",0.00180838133843636,0.629263642997859,9.75725029798527,1,2303.52428544109,2.61808701370866
"10329","MRPS7",0.00184306878846636,0.629263642997859,9.72217631181719,1,2303.52428544109,-0.898902614576222
"8021","DDX51",0.00186032674368146,0.629263642997859,9.70497468911377,1,2303.52428544109,-10
"10624","TXNL4A",0.00188365479816401,0.629263642997859,9.68197830774263,1,2303.52428544109,-0.636128078493215
"11839","ZSWIM1",0.00191116595879733,0.629263642997859,9.65522670081016,1,2303.52428544109,1.8355130079851
"4381","DDO",0.00208811281278276,0.647514412183361,9.49198053141688,1,2303.52428544109,1.31733903155142
"6612","LMNTD2",0.00215363207996773,0.647514412183361,9.43507247889291,1,2303.52428544109,2.1472088567316
"8794","SORD",0.00220251686344763,0.647514412183361,9.39374582941413,1,2303.52428544109,-1.17512542560882
"8271","RAB2B",0.00221055023026884,0.647514412183361,9.38704369557627,1,2303.52428544109,-0.959541961342512
"2895","IDUA",0.00221872394175437,0.647514412183361,9.38024980267969,1,2303.52428544109,-10
"1242","IRF2BP2",0.00229909281659672,0.656058907953744,9.31477005776199,1,2303.52428544109,-0.579772656212844
"5097","SSBP1",0.00236033859529755,0.658893650048171,9.26641247189829,1,2303.52428544109,-0.572162326571749
"9900","ULK2",0.00268577734431811,0.723522483736653,9.02911940386217,1,2303.52428544109,-1.04210811451713
"7474","ATF7IP",0.0027045463141001,0.723522483736653,9.01633948516943,1,2303.52428544109,0.385914909497788
"4612","RAC1",0.00302771414117855,0.766811255968734,8.80940161178914,1,2303.52428544109,-0.257440800621918
"212","CEP85",0.00305767743738819,0.766811255968734,8.79136555702188,1,2303.52428544109,0.990191137840889
