"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"7386","LTBR",8.10482713111246e-29,1.04074085190615e-24,127.543633657195,1,2279.9261798515,1.90324376132748
"7746","LYZ",1.92728856266631e-25,1.2374156216599e-21,111.3150523937,1,2279.9261798515,1.09649328078121
"8354","NFKBIA",8.06022012530946e-14,3.45004288763662e-10,56.4916711232182,1,2279.9261798515,1.29992569405615
"3796","ATOX1",8.3884694483412e-13,2.69290840465373e-09,51.7794988499303,1,2279.9261798515,0.665885277221429
"3413","IL7R",1.31919830727494e-12,3.3879650927435e-09,50.870674886551,1,2279.9261798515,2.2698971065077
"3901","SQSTM1",4.32369350978072e-12,9.2534247265157e-09,48.4908834083364,1,2279.9261798515,0.836165363805658
"12687","IL13RA1",5.76699527184906e-12,1.05791408979734e-08,47.9141260577131,1,2279.9261798515,0.915300609645828
"7189","BIRC3",6.7150572885167e-12,1.07785063302304e-08,47.6094776900641,1,2279.9261798515,1.87466039738589
"11845","MMP9",1.0743573469554e-11,1.53286918802825e-08,46.6692952439268,1,2279.9261798515,1.03117593682317
"10649","GPX4",4.13129208104919e-11,5.30499216127527e-08,43.9789683848877,1,2279.9261798515,0.600009431815764
"12243","LGALS2",4.57878021423624e-11,5.34510152100069e-08,43.7738053455957,1,2279.9261798515,1.92604367440566
"414","PRDX1",9.36888454211677e-11,1.00254872004435e-07,42.3465748689734,1,2279.9261798515,0.611131581011899
"6060","FCN1",1.94605022436767e-10,1.92224853316194e-07,40.8913360883608,1,2279.9261798515,1.84858145379886
"4461","TNFAIP3",9.48659922973124e-10,8.70124433635564e-07,37.74491458458,1,2279.9261798515,1.74139443049423
"11414","IL4I1",6.9726770216462e-09,5.96907637566392e-06,33.7978248092371,1,2279.9261798515,1.06932261581461
"3064","RUFY3",1.44845180453513e-08,1.16247310137722e-05,32.3557151558321,1,2279.9261798515,0.888417545809161
"3138","SPP1",3.30885316571425e-08,2.49935197064334e-05,30.7293328160356,1,2279.9261798515,-1.12667718497243
"12383","CSF2RA",3.7856053503762e-08,2.69195876005101e-05,30.4646653379275,1,2279.9261798515,0.843469809725242
"12587","IL2RG",3.98311786005523e-08,2.69195876005101e-05,30.3646877251323,1,2279.9261798515,1.06162696090567
