"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"7958","OASL",6.18978305867542e-23,7.9483004256451e-19,99.3766358375207,1,2251.49271835412,1.75528006293177
"2860","TM4SF19",1.00649434582712e-06,0.00646219694738306,24.0484970372662,1,2251.49271835412,1.84276732183797
"10710","MFSD12",6.5979279258316e-06,0.0282413308318679,20.4028029140622,1,2251.49271835412,0.76030451130591
"9463","MT1X",4.12549189703522e-05,0.132438603624573,16.8794523016099,1,2251.49271835412,1.55611944326151
"2624","SEC61A1",5.53032514050667e-05,0.142029810258492,16.3195248306357,1,2251.49271835412,0.79334728839877
"10744","ARRDC5",9.59022804705011e-05,0.18798887441979,15.2706406691024,1,2251.49271835412,-10
"7654","CD63",0.000102478165325016,0.18798887441979,15.1445486494106,1,2251.49271835412,0.490213608592479
"628","WDR47",0.000117420694261396,0.188474891876323,14.8859509038824,1,2251.49271835412,1.09131001812267
"12398","ANOS1",0.000152382369251458,0.217415778173107,14.3915230044159,1,2251.49271835412,2.29961006195906
"12304","PMM1",0.000228203911485088,0.293036642738001,13.6274132963507,1,2251.49271835412,-10
"12771","BCAP31",0.000280437453669805,0.327372485688543,13.2384313241797,1,2251.49271835412,0.500250550569093
"12657","TCEAL9",0.000367864117471139,0.349378011081845,12.727394750038,1,2251.49271835412,0.767400796023002
"2411","TWF2",0.000368480963549126,0.349378011081845,12.7242435355426,1,2251.49271835412,0.716066929792754
"11159","ZNF829",0.000400679837028963,0.349378011081845,12.566742505266,1,2251.49271835412,2.8052492347446
"2324","NBEAL2",0.0004496940172556,0.349378011081845,12.3499812442794,1,2251.49271835412,1.3139948430826
"6615","IRF7",0.000488466346946161,0.349378011081845,12.1947941215594,1,2251.49271835412,0.643897864270296
"8013","STX2",0.000496329063104503,0.349378011081845,12.1648450010139,1,2251.49271835412,-1.44557771629538
"12663","MORF4L2",0.000498509835933005,0.349378011081845,12.1566232960861,1,2251.49271835412,-1.00933845177079
"10761","RFX2",0.00051695212293085,0.349378011081845,12.0885130425698,1,2251.49271835412,0.892771319731796
"12728","GPC4",0.000560233342614757,0.357782257311757,11.9378536445522,1,2251.49271835412,1.65720038026532
"8243","TMEM255B",0.000585112327976551,0.357782257311757,11.8564885784441,1,2251.49271835412,-2.61946060442384
"4293","FILIP1",0.000650796249614032,0.377281728388629,11.6574162753558,1,2251.49271835412,3.98587547703139
"10113","TMUB2",0.000703463349991329,0.377281728388629,11.5119530296437,1,2251.49271835412,0.80900587520525
"175","KDM1A",0.000725359422894407,0.377281728388629,11.4546919426177,1,2251.49271835412,-1.10984898889889
"4828","RSBN1L",0.000734525598451501,0.377281728388629,11.431238384722,1,2251.49271835412,-0.716626264586586
"1892","CWC22",0.000873440284308175,0.425587467791902,11.1080672968119,1,2251.49271835412,-1.1580167484691
"8931","LRRC49",0.000894857225323679,0.425587467791902,11.062922611026,1,2251.49271835412,3.93054981231615
"1626","PTCD3",0.000994405573631111,0.443012883634122,10.8664986956896,1,2251.49271835412,-1.25666022407568
"6919","TMEM179B",0.00101234188582326,0.443012883634122,10.8332341687101,1,2251.49271835412,0.675464393347119
"6670","APBB1",0.00104328906579648,0.443012883634122,10.7772182365431,1,2251.49271835412,3.228469587037
"6321","NUDT13",0.00106949609786292,0.443012883634122,10.7310820345693,1,2251.49271835412,1.82975341842672
"4622","MIOS",0.0012095974508211,0.474311278200938,10.5023714083431,1,2251.49271835412,-0.974472725793146
"2501","ARL13B",0.00122599136387237,0.474311278200938,10.4773812103779,1,2251.49271835412,-1.85065530628547
"4905","ZSCAN21",0.00125586663490631,0.474311278200938,10.4326988455909,1,2251.49271835412,-10
"4227","XPO5",0.00131293571366201,0.481697357118109,10.3502603236707,1,2251.49271835412,1.05386283733677
"8992","CTSH",0.00149569557771465,0.529804592138587,10.1087750164412,1,2251.49271835412,0.475404514744671
"1878","HNRNPA3",0.00152657658353148,0.529804592138587,10.0709459294152,1,2251.49271835412,0.471465511594786
"970","TBX19",0.00162554605463057,0.549306233881872,9.95473492918066,1,2251.49271835412,-1.44134399496799
"6030","RAPGEF1",0.00169767003791328,0.558968742483189,9.87447898914932,1,2251.49271835412,0.324507583858896
"7758","TBC1D15",0.00179970938795798,0.572784894604436,9.76665234811702,1,2251.49271835412,0.671539826076846
"2457","PXK",0.00184402127594499,0.572784894604436,9.72174490831934,1,2251.49271835412,0.890394665043508
"1252","ERO1B",0.00187344954235545,0.572784894604436,9.69252195721377,1,2251.49271835412,-1.007493537961
"5052","TMEM209",0.00194261635187365,0.574207195643084,9.62563153112503,1,2251.49271835412,1.17722225432128
"9256","NDE1",0.00198481056793457,0.574207195643084,9.58600248625928,1,2251.49271835412,0.815881340500145
"8851","CGNL1",0.00205123180800431,0.574207195643084,9.52531919565154,1,2251.49271835412,3.80188843960786
"4381","DDO",0.00205696838249216,0.574207195643084,9.52017206164389,1,2251.49271835412,1.55375472248875
"8953","CSK",0.00225255006280724,0.615425433117188,9.35288665733107,1,2251.49271835412,-0.880717578310049
