"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6178","MRC1",1.83178058448249e-49,2.35218944853397e-45,229.589547449009,1,2255.83780722992,2.09071652643997
"12709","THOC2",1.19321157424456e-11,7.66101491243721e-08,46.4646152066238,1,2255.83780722992,0.993954667049612
"9920","VTN",8.36291609836073e-06,0.0357960685396834,19.9451049063796,1,2255.83780722992,3.15205684129745
"9843","MAP2K4",2.06520204626357e-05,0.0662981486901764,18.2052837070489,1,2255.83780722992,0.75417077540784
"835","ADAM15",9.46959535790359e-05,0.24319814798168,15.2946082575283,1,2255.83780722992,-2.83753363035402
"8093","ALG5",0.000148616031907965,0.318063077621697,14.4388622997981,1,2255.83780722992,-1.9597284242676
"7733","TMBIM4",0.000249364104639417,0.427301317906117,13.4598944112651,1,2255.83780722992,-0.625713339402393
"7730","LEMD3",0.000304761337706487,0.427301317906117,13.0815749972974,1,2255.83780722992,-1.21644151988505
"3522","ENC1",0.00031102365307129,0.427301317906117,13.0432556993077,1,2255.83780722992,1.52234319760899
"12833","MT-ND6",0.000332763272257704,0.427301317906117,12.916023374461,1,2255.83780722992,-0.633405554174656
"10724","SIRT6",0.000564368378133167,0.658823122146181,11.9240145188762,1,2255.83780722992,-2.59063832421942
"10168","SNF8",0.0006177680531075,0.661063297496117,11.7547778691187,1,2255.83780722992,-0.846745676342592
"5025","ZNF800",0.000857386491210625,0.839643825635573,11.1425897590696,1,2255.83780722992,0.69258007867253
"8785","MFAP1",0.000915428203325133,0.839643825635573,11.0205221881769,1,2255.83780722992,-1.2214202152239
"12829","MT-ND3",0.0010630116300965,0.867189325802957,10.7423363155221,1,2255.83780722992,-0.262992434033347
"96","TARDBP",0.00108751042530193,0.867189325802957,10.6999741738492,1,2255.83780722992,0.774416000622045
"4402","CALHM6",0.00114805844861384,0.867189325802957,10.5992881415009,1,2255.83780722992,1.00657507505048
"12834","MT-CYB",0.0013409933727704,0.940377938631819,10.3110018530736,1,2255.83780722992,-0.270095832362502
"12242","CDC42EP1",0.00158130384343871,0.940377938631819,10.0057251229537,1,2255.83780722992,2.34323864952411
"10570","ME2",0.00160849136179997,0.940377938631819,9.97419349496937,1,2255.83780722992,0.447646027717441
"6819","NR1H3",0.00162242516923067,0.940377938631819,9.95824208523465,1,2255.83780722992,0.768047472024507
"7337","ARHGAP32",0.0016766404731957,0.940377938631819,9.89747092540786,1,2255.83780722992,-1.78794978114863
"7799","FGD6",0.00183869935834163,0.940377938631819,9.72703559250645,1,2255.83780722992,0.583437939907125
"3616","SRP19",0.00188830874214682,0.940377938631819,9.6778987136436,1,2255.83780722992,-0.906582918754765
"1518","MDH1",0.00214571690789103,0.940377938631819,9.4423052263762,1,2255.83780722992,-0.848008287563542
"2902","SLBP",0.00218449981322796,0.940377938631819,9.40931679390013,1,2255.83780722992,0.730778205573998
"5847","ALG2",0.00221140697312538,0.940377938631819,9.38677723546005,1,2255.83780722992,-1.80396364270513
"3657","CDC42SE2",0.00224767633399156,0.940377938631819,9.35683179707719,1,2255.83780722992,0.38923608582667
"7478","C12orf60",0.0023922989383938,0.940377938631819,9.24211503538985,1,2255.83780722992,1.86290091028206
"1359","DNMT3A",0.00244242396733106,0.940377938631819,9.20399217467571,1,2255.83780722992,0.830092096064979
