"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6864","MS4A6A",2.81324462068306e-26,3.61248741741912e-22,115.387336853783,1,2228.36415075887,1.89675202397382
"9463","MT1X",2.74046927642714e-05,0.175951829893005,17.6634341843695,1,2228.36415075887,1.83653513151681
"9458","MT1E",6.22322470806737e-05,0.266374761587644,16.0949216700325,1,2228.36415075887,3.08191724304432
"12428","TXLNG",0.000104085335153109,0.31912907108936,15.1155314711121,1,2228.36415075887,1.68229504255868
"7930","KSR2",0.000124261767420512,0.31912907108936,14.7789796093606,1,2228.36415075887,4.56220965388801
"8735","CHST14",0.000200803133067297,0.429752171952861,13.8696388054314,1,2228.36415075887,2.85307165437865
"11165","ZNF875",0.000258699861890239,0.459846578635837,13.3910585089083,1,2228.36415075887,-10
"6674","TIMM10B",0.000286486459706152,0.459846578635837,13.1986278714572,1,2228.36415075887,1.51947258619095
"3883","B4GALT7",0.000465224295929997,0.663771687115232,12.2866322274109,1,2228.36415075887,-10
"10173","SPOP",0.000543609000147802,0.667327231534628,11.9946424419579,1,2228.36415075887,-1.18060808816796
"2082","PTMA",0.000571653262742847,0.667327231534628,11.9004148263535,1,2228.36415075887,-0.379548839876598
"11152","ZNF529",0.000686601848932783,0.706006004625591,11.5576239651342,1,2228.36415075887,-10
"10386","CANT1",0.000727895982189583,0.706006004625591,11.4484997886918,1,2228.36415075887,1.19413019235203
"9065","VPS33B",0.000794792307949765,0.706006004625591,11.2843548581339,1,2228.36415075887,-10
"1248","B3GALNT2",0.000824709140205893,0.706006004625591,11.2154209981567,1,2228.36415075887,1.07877527522383
"8486","SRSF5",0.00102720432490112,0.733908974941725,10.8064129387513,1,2228.36415075887,-0.725565661376602
"6542","RGS10",0.0011173354454105,0.733908974941725,10.6500260397314,1,2228.36415075887,-0.764568858839308
"6682","OR6A2",0.00115041763171666,0.733908974941725,10.5958099829925,1,2228.36415075887,4.51896639364753
"3776","HMGXB3",0.00117510973924149,0.733908974941725,10.5563629568902,1,2228.36415075887,0.785332560487456
"7816","ACTR6",0.00126138076426296,0.733908974941725,10.4248437222049,1,2228.36415075887,-2.11142789819126
"3644","GRAMD2B",0.00131799134846359,0.733908974941725,10.3434031965084,1,2228.36415075887,1.69829472089137
"5078","ZC3HAV1",0.0013627167008649,0.733908974941725,10.281528495867,1,2228.36415075887,0.552592896066074
"10531","ZNF397",0.00143800785868889,0.733908974941725,10.1818739313329,1,2228.36415075887,1.30352861816884
"12368","LMF2",0.00145957347233983,0.733908974941725,10.154302797394,1,2228.36415075887,-2.372274313353
"11126","KMT2B",0.00149672332654366,0.733908974941725,10.1077618061042,1,2228.36415075887,1.05691063608902
"7012","RIN1",0.00150827679766596,0.733908974941725,10.0935261451985,1,2228.36415075887,-10
"10053","SMARCE1",0.00154314635335461,0.733908974941725,10.0512222446369,1,2228.36415075887,0.819660735735427
"4101","GPSM3",0.0016449853679906,0.747585516879941,9.93300376652673,1,2228.36415075887,-0.849116263406708
"12621","RPS6KA6",0.00168834047110959,0.747585516879941,9.88491137106716,1,2228.36415075887,3.99751845769116
"7836","NFYB",0.00177636112671554,0.760341774271809,9.79101091877749,1,2228.36415075887,1.20592420164802
"99","MTOR",0.00200435258582421,0.827390509627353,9.56817004786698,1,2228.36415075887,0.976136827304483
"4876","PDK4",0.00211880537807635,0.827390509627353,9.46582401397324,1,2228.36415075887,-2.59868684706359
"1522","LGALSL",0.00215489936709426,0.827390509627353,9.43470905061536,1,2228.36415075887,3.26209666047855
"10946","NDUFB7",0.00231890848234122,0.827390509627353,9.29968300535375,1,2228.36415075887,0.582470506328322
"7104","PGM2L1",0.00235379779838174,0.827390509627353,9.27221221444047,1,2228.36415075887,-2.34949599682879
"4812","POR",0.00239692273935548,0.827390509627353,9.23882278186738,1,2228.36415075887,0.810575669935804
"4744","UPP1",0.00244714582526089,0.827390509627353,9.20069816242289,1,2228.36415075887,-1.7542438363982
"10010","AATF",0.00251162468951211,0.827390509627353,9.15290058308852,1,2228.36415075887,0.7901527860693
"12685","WDR44",0.00252020124241816,0.827390509627353,9.14663696614259,1,2228.36415075887,-1.21847808287216
"11362","GRIN2D",0.00257733980103529,0.827390509627353,9.10545228736554,1,2228.36415075887,-10
"10948","ADGRE3",0.00275462483568456,0.838009835064868,8.98333262097378,1,2228.36415075887,1.52608122247277
"10139","ARL17B",0.00276035166696948,0.838009835064868,8.97952221294655,1,2228.36415075887,-0.966923181524313
"10293","ABCA9",0.00283452561631618,0.838009835064868,8.93088307895468,1,2228.36415075887,4.65032481811892
"6722","PDE3B",0.00297825621589195,0.838009835064868,8.84020912792798,1,2228.36415075887,-1.59780449528062
"12680","AMMECR1",0.00299042817970611,0.838009835064868,8.83273571485122,1,2228.36415075887,1.18238197341222
"6284","RUFY2",0.00304062626553852,0.838009835064868,8.80223814465818,1,2228.36415075887,-1.81047784876609
"4899","ZNF655",0.00311728808535748,0.838009835064868,8.7566367584199,1,2228.36415075887,-0.995191693022706
"10708","DOHH",0.00313250308255694,0.838009835064868,8.74772202232867,1,2228.36415075887,1.81348230649269
"5825","SLC35D2",0.00328348475027345,0.846956289777369,8.66157294724277,1,2228.36415075887,1.12609013585684
"9919","SARM1",0.00329785955056993,0.846956289777369,8.65358184295726,1,2228.36415075887,-10
"11353","NOP53",0.00340506929246045,0.857343034989894,8.59507731651998,1,2228.36415075887,-0.935723935627017
"12239","RAC2",0.00353977968528685,0.874121364207086,8.52416717222194,1,2228.36415075887,0.789412518939171
"5185","PRAG1",0.00378638495769188,0.901195366729963,8.40119732702916,1,2228.36415075887,1.13840826730194
"10236","VMP1",0.00383203850131009,0.901195366729963,8.37932900925692,1,2228.36415075887,-0.507411576318806
"2873","MELTF",0.00391480375173211,0.901195366729963,8.34035189496965,1,2228.36415075887,1.76170187776258
"1733","CBWD2",0.00399587982350263,0.901195366729963,8.30297541917469,1,2228.36415075887,-1.6876598888997
"1488","ERLEC1",0.00400032208578833,0.901195366729963,8.30094988688297,1,2228.36415075887,0.818987337159507
"4964","ARMC10",0.00419346695516782,0.913867607503617,8.21502786535709,1,2228.36415075887,0.862747481702718
"10324","NT5C",0.00442592312632278,0.913867607503617,8.11681093670225,1,2228.36415075887,-2.84288159502621
"11305","RELB",0.00461728187273156,0.913867607503617,8.03982503768247,1,2228.36415075887,-1.26564218367255
"3756","PRELID2",0.00463317400799888,0.913867607503617,8.0335783539695,1,2228.36415075887,1.43318885022197
"9297","POLR3E",0.00476151996859173,0.913867607503617,7.98391597957135,1,2228.36415075887,-10
"8340","ARHGAP5",0.00479676853424728,0.913867607503617,7.9705155751388,1,2228.36415075887,-0.89499697548113
"3346","ACSL1",0.00491752417032489,0.913867607503617,7.92535739943594,1,2228.36415075887,-0.871444575550168
"1631","CHMP3",0.00491994162005527,0.913867607503617,7.92446494924283,1,2228.36415075887,0.510491710400704
"8057","CENPJ",0.0050855813069316,0.913867607503617,7.86435727885413,1,2228.36415075887,-10
"5529","SLA",0.00524243647515461,0.913867607503617,7.80925032280359,1,2228.36415075887,-0.555304037874914
"4970","ORC5",0.00526597305715037,0.913867607503617,7.80112676237085,1,2228.36415075887,0.994939702417222
"6249","WDFY4",0.00528989415446936,0.913867607503617,7.79290835326332,1,2228.36415075887,-0.816650413071461
"3245","SETD7",0.00537552286458722,0.913867607503617,7.76379713890939,1,2228.36415075887,-1.34429212244669
"10099","VAT1",0.00543297838082924,0.913867607503617,7.74452800697613,1,2228.36415075887,0.640617627495592
"11018","KXD1",0.0054517787256249,0.913867607503617,7.73826796845491,1,2228.36415075887,0.897974827131691
"9137","FAHD1",0.0054802222608455,0.913867607503617,7.72883874322445,1,2228.36415075887,1.31620985711028
"5998","TBC1D13",0.00550664188619746,0.913867607503617,7.72012508755979,1,2228.36415075887,-2.80354200343899
"11894","RAE1",0.00550672538050389,0.913867607503617,7.72009761735179,1,2228.36415075887,-2.81283580585375
"4108","HLA-DQA2",0.00553876952798257,0.913867607503617,7.70958613238058,1,2228.36415075887,1.30572542408049
"12270","CBX6",0.00560954010429211,0.913867607503617,7.68658938942568,1,2228.36415075887,-1.45954465755011
"7694","NEMP1",0.00566377605340686,0.913867607503617,7.66916507138543,1,2228.36415075887,1.34936333945095
"11182","RASGRP4",0.00571876801155991,0.913867607503617,7.65167089721348,1,2228.36415075887,-10
"6859","MPEG1",0.00578763322818535,0.913867607503617,7.63000392449552,1,2228.36415075887,-0.824152301487549
"9500","CES2",0.005816934769579,0.913867607503617,7.62086451703361,1,2228.36415075887,-1.64783518397175
"5351","SDCBP",0.00583577165448926,0.913867607503617,7.61501391293586,1,2228.36415075887,0.390797570525797
"3316","NEK1",0.00606101540094321,0.921325677468721,7.54651155615185,1,2228.36415075887,0.792245430572362
