"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"1287","NLRP3",1.08694562279482e-35,1.39574687423082e-31,161.036031788561,1,2251.45882283728,2.37474087509548
"1260","RGS7",7.98362883536245e-06,0.0512588889374446,20.0348254550825,1,2251.45882283728,5.31134873295352
"4656","TRA2A",5.97407534756053e-05,0.170871095200047,16.172233231563,1,2251.45882283728,0.631834414992997
"2559","LSAMP",6.36145435927276e-05,0.170871095200047,16.0523901535057,1,2251.45882283728,2.91640274023188
"1071","CSRP1",6.86496988686999e-05,0.170871095200047,15.9071548312323,1,2251.45882283728,-1.87313531650126
"2003","ERBB4",7.98400880928494e-05,0.170871095200047,15.6194599425028,1,2251.45882283728,4.02764427203802
"8508","DNAL1",0.000114107280948383,0.209321656379741,14.9403122859833,1,2251.45882283728,1.49741937486693
"12640","ARMCX4",0.000158480503829589,0.254381018709469,14.3171720121163,1,2251.45882283728,0.935811245146667
"2533","BBX",0.000289763210267444,0.377838090140274,13.1767585718516,1,2251.45882283728,0.449175358535474
"2503","DHFR2",0.000294243509181741,0.377838090140274,13.1478379909157,1,2251.45882283728,-10
"8857","MINDY2",0.000333494728059748,0.389309618455929,12.9119670787132,1,2251.45882283728,0.784651658510436
"12752","SLITRK4",0.00048374625521413,0.463201748256822,12.2130083184507,1,2251.45882283728,2.58287182069786
"4308","PGM3",0.000518293780099163,0.463201748256822,12.0836548079877,1,2251.45882283728,1.20392578282748
"3145","HERC3",0.000562149460259659,0.463201748256822,11.9314590762835,1,2251.45882283728,0.649392192795059
"11482","ZNF761",0.000565752623171589,0.463201748256822,11.9194928723527,1,2251.45882283728,-10
"7895","ATXN2",0.000577153490546621,0.463201748256822,11.8821313740949,1,2251.45882283728,0.489290878004151
"11767","EIF6",0.000620459115811078,0.46866561800765,11.7467096442392,1,2251.45882283728,-1.10527560042793
"407","UROD",0.000666018495307658,0.47513019434698,11.6141853209473,1,2251.45882283728,-1.69742937752233
"11683","MACROD2",0.000704866034049263,0.476378144380347,11.5082316302454,1,2251.45882283728,2.23610398339294
"1684","EIF5B",0.000827726999665563,0.518289624492834,11.2082937368029,1,2251.45882283728,0.567360963308666
"4123","RING1",0.000847603933832997,0.518289624492834,11.1640425347672,1,2251.45882283728,-1.75188727837657
"1616","VAMP8",0.000904498768708472,0.522664142566171,11.0429553600254,1,2251.45882283728,-0.359380169245957
"11191","SIRT2",0.000968326105785146,0.522664142566171,10.9159653981194,1,2251.45882283728,0.794439694375247
"12784","RPL10",0.000976866242628152,0.522664142566171,10.8996199301731,1,2251.45882283728,-0.310036241318992
