"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9463","MT1X",2.0415826190883e-07,0.00262159624117129,27.1617208089123,1,2253.31000483687,1.7965229062445
"1789","LRP1B",1.21699017025615e-05,0.078136853881296,19.22220956759,1,2253.31000483687,3.48765560133006
"12670","MORC4",7.19581497105355e-05,0.271338163723567,15.8174032030842,1,2253.31000483687,2.42477953771459
"4079","LSM2",8.45224402222778e-05,0.271338163723567,15.5109136765988,1,2253.31000483687,0.975335064932083
"10968","SLC35E1",0.000148657719087268,0.331761925124215,14.4383860050522,1,2253.31000483687,-1.69369335329294
"8889","ANKDD1A",0.000188865050573955,0.331761925124215,13.9850567064918,1,2253.31000483687,0.965684578552833
"9292","OTOA",0.000199210287736776,0.331761925124215,13.8841873828523,1,2253.31000483687,1.74955541678446
"9673","SPIRE2",0.000206689152012594,0.331761925124215,13.8145028226771,1,2253.31000483687,2.25865236974437
"12063","PCBP3",0.000299517703685274,0.398065218882969,13.114323117865,1,2253.31000483687,2.11216855999712
"6837","TNKS1BP1",0.000309995497923035,0.398065218882969,13.0495388066939,1,2253.31000483687,-10
"10325","JPT1",0.000521201527590796,0.575276599607504,12.0731392186615,1,2253.31000483687,0.546060048648267
"8048","SAP18",0.000537599812731878,0.575276599607504,12.0150835912104,1,2253.31000483687,0.497550034917337
"2544","CCDC80",0.000591617739650508,0.584381799604013,11.8357623093509,1,2253.31000483687,3.26248429172401
"2539","CD96",0.000675270347878408,0.604513710230131,11.5883686785176,1,2253.31000483687,4.40303047330566
"11451","ZNF615",0.000706152609099911,0.604513710230131,11.5047982015732,1,2253.31000483687,1.56309871839909
"12157","ASPHD2",0.000755992901397961,0.606731552928201,11.3774229826021,1,2253.31000483687,1.91241312327702
"12622","HDX",0.000905176365577914,0.681487602304726,11.0415359374586,1,2253.31000483687,1.00180293651681
"7756","TMEM19",0.000955282052915277,0.681487602304726,10.9411911073187,1,2253.31000483687,0.825715158617079
"3254","IL15",0.00115159702738589,0.681780430065906,10.5936017186726,1,2253.31000483687,0.775858001269346
"1983","NRP2",0.0012073072456127,0.681780430065906,10.5058681600358,1,2253.31000483687,0.512473599877919
"5203","SGCZ",0.00120789289968074,0.681780430065906,10.504967797937,1,2253.31000483687,3.2130850633727
"2958","BOD1L1",0.00123261314231719,0.681780430065906,10.4673615986034,1,2253.31000483687,0.502898186006047
"10433","GPS1",0.00129038361625545,0.681780430065906,10.3823745097281,1,2253.31000483687,-2.06476152496102
"3517","FCHO2",0.00129293031457211,0.681780430065906,10.3787172619885,1,2253.31000483687,-0.456871595349026
"3242","NDUFC1",0.00132735073215853,0.681780430065906,10.3299905081878,1,2253.31000483687,0.557157084575708
"11623","SRXN1",0.00145316485985573,0.717695767900286,10.1621712842771,1,2253.31000483687,1.37626012916203
"8096","UFM1",0.00152355195166058,0.724590022639761,10.0745967063443,1,2253.31000483687,0.65534157898757
"12202","RNF185",0.00163498272438599,0.732593544302739,9.94401177621029,1,2253.31000483687,-1.21466776103749
"10602","DSEL",0.00165448273380418,0.732593544302739,9.92209073202384,1,2253.31000483687,2.76549577992005
"7770","CSRP2",0.00178558814567406,0.741924927198679,9.78118045592025,1,2253.31000483687,2.60320522666147
"3253","ZNF330",0.00183057892356826,0.741924927198679,9.73523253702804,1,2253.31000483687,0.737239722325922
"4717","PSMA2",0.00189441354070689,0.741924927198679,9.67196838251986,1,2253.31000483687,0.524754381646429
"1299","ADI1",0.00190666790729355,0.741924927198679,9.66007125872433,1,2253.31000483687,0.58188992707277
"7959","P2RX7",0.00209242325440913,0.759795039794923,9.48866211962976,1,2253.31000483687,-2.58665965211142
"4849","SRI",0.00211336567998039,0.759795039794923,9.47031388951535,1,2253.31000483687,0.617351259283557
"2520","TFG",0.00225761813131901,0.759795039794923,9.34873311667913,1,2253.31000483687,0.54512773397324
"7402","LAG3",0.00231819520728333,0.759795039794923,9.30001129510303,1,2253.31000483687,1.78951408662428
"5423","TMEM64",0.00234751833198291,0.759795039794923,9.2768892679833,1,2253.31000483687,-3.06856135937594
"8845","NEDD4",0.00236789735603077,0.759795039794923,9.26099197869461,1,2253.31000483687,1.15228449507837
"11963","BTG3",0.00246163154438385,0.759795039794923,9.18961718758215,1,2253.31000483687,0.867586855451436
"11952","GATD3B",0.0024995101698362,0.759795039794923,9.16155415286908,1,2253.31000483687,-2.95029088678079
"12546","TSR2",0.00250918751443523,0.759795039794923,9.15445379455066,1,2253.31000483687,-1.62296975351176
"7494","CMAS",0.00257227643235079,0.759795039794923,9.10883576264228,1,2253.31000483687,0.765006216174468
"5760","OSTF1",0.0026551963715972,0.759795039794923,9.05057736022322,1,2253.31000483687,0.433013115806443
"4485","STX11",0.00267055526467382,0.759795039794923,9.03998957778327,1,2253.31000483687,0.641528833031036
"598","RWDD3",0.00285616319716956,0.759795039794923,8.91671846398328,1,2253.31000483687,1.03976440469838
"4631","ARL4A",0.00289515216468355,0.759795039794923,8.89186059028531,1,2253.31000483687,1.24890932949913
"11631","SIRPD",0.0029065715723524,0.759795039794923,8.88464441043932,1,2253.31000483687,-1.60914620791342
"1359","DNMT3A",0.00293241811131632,0.759795039794923,8.8684172716524,1,2253.31000483687,-1.34487002994628
"2628","RAB7A",0.00296615566784516,0.759795039794923,8.84745333354606,1,2253.31000483687,0.349823296867169
"2845","OPA1",0.00318458465759308,0.759795039794923,8.71732621194924,1,2253.31000483687,-0.695260051255234
"199","RHD",0.00319322229105682,0.759795039794923,8.71236879044098,1,2253.31000483687,-10
