"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"7449","OLR1",4.40814593265077e-56,5.66050019211686e-52,263.078603943079,1,2284.1734305642,2.83707552637199
"6089","PTGDS",6.66499354248061e-27,4.27925910394968e-23,118.317104050519,1,2284.1734305642,4.58916241154223
"8698","SCG5",0.000100786042347513,0.359410950221295,15.1754204043943,1,2284.1734305642,1.8549670501719
"5732","ALDH1B1",0.000111957308689758,0.359410950221295,14.9756830999122,1,2284.1734305642,3.26639172866769
"8972","FBXO22",0.000202970876787665,0.52126980576608,13.848208891252,1,2284.1734305642,-1.18838626431577
"12398","ANOS1",0.000275016269802373,0.588580653422046,13.2746400447716,1,2284.1734305642,2.03892672565561
"7107","POLD3",0.000453328424192316,0.68065794590629,12.3343495221283,1,2284.1734305642,0.79244570943711
"1775","GPR39",0.000469636157134017,0.68065794590629,12.2680287007184,1,2284.1734305642,4.84926484067489
"6812","ZNF408",0.000477059536886272,0.68065794590629,12.2386057776695,1,2284.1734305642,1.65696047324981
"2456","RPP14",0.000545579486341283,0.700578618410841,11.9870107292083,1,2284.1734305642,1.17021239776165
"8824","GLDN",0.000868813804890834,0.978643059805486,11.1175389844126,1,2284.1734305642,3.08429589830446
"2764","PHC3",0.00110208969092465,0.978643059805486,10.6748783138391,1,2284.1734305642,0.419958146557885
"9547","ZFP90",0.00128482612944469,0.978643059805486,10.3900265412287,1,2284.1734305642,-1.4342020662089
"4830","PHTF2",0.00130903046722206,0.978643059805486,10.355411663611,1,2284.1734305642,0.473967148790884
"10101","NBR1",0.00141888903127906,0.978643059805486,10.2060433232059,1,2284.1734305642,-0.721905872031119
"8420","PELI2",0.00153153207557204,0.978643059805486,10.0645943651903,1,2284.1734305642,-1.19470828476715
"5669","TOPORS",0.00155187383121144,0.978643059805486,10.0401786444757,1,2284.1734305642,-1.00392825014847
"7067","FADD",0.00157700543326356,0.978643059805486,10.0104579082992,1,2284.1734305642,0.988081919080394
"11738","MAPRE1",0.00167636150963016,0.978643059805486,9.89748227416115,1,2284.1734305642,0.540302102559598
"4851","GTPBP10",0.00171149453544655,0.978643059805486,9.85915149199539,1,2284.1734305642,0.795637227849618
"12076","IL17RA",0.00197078108003255,0.978643059805486,9.59876052828098,1,2284.1734305642,0.425311699096648
"11140","THAP8",0.0020400534014618,0.978643059805486,9.53507228826518,1,2284.1734305642,-2.99367532586262
"12648","ARMCX5",0.00207985211355941,0.978643059805486,9.49946705929032,1,2284.1734305642,-10
"7084","PDE2A",0.00226199445362884,0.978643059805486,9.34487950202808,1,2284.1734305642,-10
"3505","GTF2H2C",0.00230612202758837,0.978643059805486,9.30933029445406,1,2284.1734305642,1.49595382000256
"5762","RFK",0.00239627867192998,0.978643059805486,9.23879889762751,1,2284.1734305642,0.722122646062151
"3771","ARHGEF37",0.00240304019869826,0.978643059805486,9.23361831716606,1,2284.1734305642,-10
"10230","SMG8",0.00287086699444015,0.978643059805486,8.90703930291471,1,2284.1734305642,-2.93845229926754
"6107","NOXA1",0.00287133273628892,0.978643059805486,8.90674190600076,1,2284.1734305642,1.24481050058102
"12077","TMEM121B",0.00304364071909445,0.978643059805486,8.79995073432845,1,2284.1734305642,2.11804270989408
"11192","NFKBIB",0.00304672460503808,0.978643059805486,8.79809591849716,1,2284.1734305642,-1.74823072705713
"1010","TOR3A",0.00309948685350285,0.978643059805486,8.76665421404567,1,2284.1734305642,0.89232486966262
"4222","ZNF318",0.00328135674027933,0.978643059805486,8.66230054105571,1,2284.1734305642,-1.20384918523995
"3398","PDZD2",0.00331554081856485,0.978643059805486,8.64334457737952,1,2284.1734305642,-10
"11804","RALGAPB",0.00336983989544236,0.978643059805486,8.61363925517914,1,2284.1734305642,0.523417789164713
"7264","SMIM35",0.00338154087436059,0.978643059805486,8.60730180520303,1,2284.1734305642,2.36387268428704
"5213","MTUS1",0.00362978285583914,0.978643059805486,8.47786435442612,1,2284.1734305642,-2.51184544358029
"7052","TCIRG1",0.00368348473488447,0.978643059805486,8.45105033511701,1,2284.1734305642,0.435905827426585
"10579","TXNL1",0.00383066538271092,0.978643059805486,8.37955237432133,1,2284.1734305642,-0.558966734457613
"12216","TIMP3",0.00388075158542677,0.978643059805486,8.3558575492326,1,2284.1734305642,-1.64847958166874
"11319","VASP",0.0039067374653572,0.978643059805486,8.34368650742248,1,2284.1734305642,-0.671118121885659
"2978","DHX15",0.00414737657136113,0.978643059805486,8.23474326623367,1,2284.1734305642,0.532122949847717
"3248","SCOC",0.00420761275065202,0.978643059805486,8.20848025188376,1,2284.1734305642,0.645267626088721
"2027","USP37",0.00436359193050217,0.978643059805486,8.14221402824681,1,2284.1734305642,0.578239425068954
"1565","SFXN5",0.00444542310395231,0.978643059805486,8.1084076416848,1,2284.1734305642,0.597362571484597
"838","SLC50A1",0.00473236238388632,0.978643059805486,7.99468354885983,1,2284.1734305642,-0.91176580759043
"2141","SETMAR",0.00484169229044119,0.978643059805486,7.95319170108506,1,2284.1734305642,-10
"1996","PIKFYVE",0.00489120785816973,0.978643059805486,7.93471331183465,1,2284.1734305642,0.408573876707993
"12005","RCAN1",0.00492746875981413,0.978643059805486,7.92130192495358,1,2284.1734305642,-0.89094889930719
"7639","SMUG1",0.00507751749714997,0.978643059805486,7.86685487154142,1,2284.1734305642,-1.13640860276716
"4946","IFT22",0.00549793871947804,0.978643059805486,7.72262183674229,1,2284.1734305642,-2.78953717466117
"2988","TBC1D19",0.00551917615133147,0.978643059805486,7.71563761896446,1,2284.1734305642,-1.57377696454687
"11646","DDRGK1",0.00560989046854886,0.978643059805486,7.68611057028325,1,2284.1734305642,0.512154303607283
"5252","DOCK5",0.00571984678787295,0.978643059805486,7.65096687020917,1,2284.1734305642,0.360387818012868
"3053","REST",0.00578037590542299,0.978643059805486,7.63191398028608,1,2284.1734305642,-0.570340858114108
"2237","CMTM8",0.00618832099046614,0.978643059805486,7.50858550709387,1,2284.1734305642,-1.95098920613199
"5478","DCSTAMP",0.0063449747173342,0.978643059805486,7.46341984064778,1,2284.1734305642,-1.44313841151936
"12348","TRMU",0.00636612267261871,0.978643059805486,7.45740998719659,1,2284.1734305642,-1.30932010300657
"476","DHCR24",0.00642610587724484,0.978643059805486,7.44047420717472,1,2284.1734305642,-10
"207","PAQR7",0.00649139053904683,0.978643059805486,7.42222418305971,1,2284.1734305642,-10
"12185","OSM",0.00652159652646329,0.978643059805486,7.41384360095963,1,2284.1734305642,-10
"10156","CDK5RAP3",0.00667237292250713,0.978643059805486,7.3725955095602,1,2284.1734305642,-0.904427300781037
"1070","PHLDA3",0.00697092140736003,0.978643059805486,7.29365980306647,1,2284.1734305642,-1.27141175716724
"8726","BMF",0.0070099697543952,0.978643059805486,7.28359189258816,1,2284.1734305642,0.770223120888631
"10796","SNAPC2",0.00705173972053379,0.978643059805486,7.27288553606932,1,2284.1734305642,-2.11834641038507
"11431","SIGLEC7",0.00706309573560878,0.978643059805486,7.26998600398642,1,2284.1734305642,-0.808667242374
"10528","GAREM1",0.00718701957489717,0.978643059805486,7.23865081168899,1,2284.1734305642,0.969922519874726
"2587","CSTA",0.00727611751168295,0.978643059805486,7.21646118691133,1,2284.1734305642,0.460378412792776
"8250","TTC5",0.00731474781764276,0.978643059805486,7.20692662547247,1,2284.1734305642,0.91734173374235
"7482","PTPRO",0.00735904602257133,0.978643059805486,7.19605632144316,1,2284.1734305642,0.579493560241247
"9117","TPSAB1",0.00736772529549266,0.978643059805486,7.19393436324557,1,2284.1734305642,1.3248888748736
"10070","GHDC",0.00737001707866761,0.978643059805486,7.19337448168052,1,2284.1734305642,-1.35943858635893
"4911","CNPY4",0.0073888761850656,0.978643059805486,7.18877396131893,1,2284.1734305642,1.56220471607194
"4750","LANCL2",0.00749950949878042,0.978643059805486,7.16202547211695,1,2284.1734305642,0.889040663594557
"12458","GK",0.0077616782639737,0.978643059805486,7.10021780272436,1,2284.1734305642,0.586277590109953
"7692","ZBTB39",0.00782217415082421,0.978643059805486,7.08625899879496,1,2284.1734305642,-10
"8111","VWA8",0.00787235397907377,0.978643059805486,7.07476408583029,1,2284.1734305642,-0.618497631560107
"286","SYNC",0.00795691457654604,0.978643059805486,7.05556202433841,1,2284.1734305642,1.19000758377231
"5064","AGBL3",0.00828134783976885,0.978643059805486,6.98377913648464,1,2284.1734305642,-2.96659236300168
"6742","TMEM86A",0.00835603046410266,0.978643059805486,6.96766294411332,1,2284.1734305642,0.87233833600894
"6621","PIDD1",0.00837869319664191,0.978643059805486,6.96280157994969,1,2284.1734305642,-10
"5094","TMEM178B",0.00857547147614549,0.978643059805486,6.92114830004059,1,2284.1734305642,3.27571850808194
"9543","PLA2G15",0.00859825112821104,0.978643059805486,6.91638973083992,1,2284.1734305642,-0.783704118029093
"12785","DNASE1L1",0.00866205749474865,0.978643059805486,6.90312928596752,1,2284.1734305642,-1.0388982062513
"6935","STIP1",0.00867632276678157,0.978643059805486,6.90017831673903,1,2284.1734305642,-0.79205989685054
"3389","ANKH",0.00890702327046709,0.978643059805486,6.85313288867715,1,2284.1734305642,0.417168787558956
"5724","POLR1E",0.00896134180560285,0.978643059805486,6.84223761264084,1,2284.1734305642,-10
"12214","FBXO7",0.00897151191267058,0.978643059805486,6.84020520267068,1,2284.1734305642,0.408898345259582
"4020","ZSCAN26",0.00899994065160612,0.978643059805486,6.8345364573103,1,2284.1734305642,0.668471351943483
"4876","PDK4",0.00904999820665767,0.978643059805486,6.82459933684348,1,2284.1734305642,0.748605300958518
"4067","BAG6",0.00912276286144839,0.978643059805486,6.81025453028112,1,2284.1734305642,-0.771108018344811
"8238","GRTP1",0.00923854045031154,0.978643059805486,6.78767013025474,1,2284.1734305642,2.56544262910763
"4926","AGFG2",0.00930698019092908,0.978643059805486,6.77445580286256,1,2284.1734305642,-10
"3464","MIER3",0.00939197237940748,0.978643059805486,6.75818349582679,1,2284.1734305642,-1.503397485291
"5301","LETM2",0.00943826347355457,0.978643059805486,6.74938414245333,1,2284.1734305642,2.02243934343547
"10619","ATP9B",0.00993235552041103,0.978643059805486,6.65812849079487,1,2284.1734305642,-0.313094534912988
"7748","FRS2",0.00998213019401713,0.978643059805486,6.64919479066707,1,2284.1734305642,-0.519598282832837
"12712","SMARCA1",0.0101975458573771,0.978643059805486,6.61105104053882,1,2284.1734305642,1.71796077963733
"10352","SRP68",0.0102545102235752,0.978643059805486,6.60110248517655,1,2284.1734305642,-0.959551191390166
"5822","FANCC",0.0104945731317888,0.978643059805486,6.55979052673292,1,2284.1734305642,-1.50502231919171
"3616","SRP19",0.0105361674738257,0.978643059805486,6.55273130860531,1,2284.1734305642,-0.599098024210791
"7196","DYNC2H1",0.0106070105023417,0.978643059805486,6.54077370891474,1,2284.1734305642,1.40509177560198
"5981","CIZ1",0.0107024859045486,0.978643059805486,6.5247874393142,1,2284.1734305642,-1.01874839713476
"6365","BMPR1A",0.0107192893463083,0.978643059805486,6.52198904828664,1,2284.1734305642,-1.21288546994343
