"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"2721","P2RY13",8.88805136622202e-101,1.14131467593657e-96,503.333646545569,1,2252.23142080892,6.74443687064158
"2842","FGF12",2.77259989182707e-05,0.178014776054757,17.6403077952311,1,2252.23142080892,2.71522883828254
"851","RUSC1",0.000120332944089803,0.322301333282911,14.8394159367875,1,2252.23142080892,-10
"10536","GALNT1",0.000124682052110251,0.322301333282911,14.772017217452,1,2252.23142080892,0.59278038493343
"12654","BEX4",0.000159430863603341,0.322301333282911,14.3058284037544,1,2252.23142080892,-1.00711628364758
"3744","HDAC3",0.000173649095242424,0.322301333282911,14.1440454813733,1,2252.23142080892,0.811056116168964
"10005","MYO19",0.000175695766138181,0.322301333282911,14.121863430635,1,2252.23142080892,1.26535889073551
"3356","CYP4V2",0.000228586204756347,0.345118307017591,13.6242371056668,1,2252.23142080892,1.0824217824715
"9397","BCL7C",0.000241886516872387,0.345118307017591,13.5174361005624,1,2252.23142080892,-1.22480319167319
"10509","TMEM241",0.000336063865494907,0.366297459318598,12.8975067209523,1,2252.23142080892,1.15019667464662
"5179","MYOM2",0.000336412544474635,0.366297459318598,12.8955546351846,1,2252.23142080892,2.63572493469515
"7856","PRDM4",0.000402416474708688,0.366297459318598,12.558602471736,1,2252.23142080892,0.938205003401035
"9470","CCL22",0.000418804038618659,0.366297459318598,12.4836059209249,1,2252.23142080892,3.13120028850562
"12230","EIF3D",0.000431148101447458,0.366297459318598,12.4290455199449,1,2252.23142080892,-0.923312206017157
"11416","ATF5",0.000486123951980392,0.366297459318598,12.2037987933428,1,2252.23142080892,-0.88159758620578
"1982","PARD3B",0.000492197417905301,0.366297459318598,12.1805105357173,1,2252.23142080892,1.41567901081036
"5273","DUSP4",0.000502496742925289,0.366297459318598,12.1416741963675,1,2252.23142080892,-2.13136344857464
"9698","RILP",0.000513461122010338,0.366297459318598,12.1012039882478,1,2252.23142080892,-1.38128333689464
"575","LRRC8D",0.000545243841622712,0.368498745804065,11.9886462923571,1,2252.23142080892,0.533089491594401
"2532","CBLB",0.000577582498229561,0.370836842988289,11.8807284428335,1,2252.23142080892,0.558857635341165
"3452","ITGA2",0.000613106316439984,0.374899914733611,11.7690044982872,1,2252.23142080892,2.56670573824157
"9920","VTN",0.000783634666484554,0.455996863576702,11.3104076380269,1,2252.23142080892,2.54749831905039
"1616","VAMP8",0.000816753201640383,0.455996863576702,11.2331766343384,1,2252.23142080892,-0.367129946926718
"2486","SHQ1",0.000898015991326219,0.480475972692499,11.056347215576,1,2252.23142080892,-2.20540266469316
"8283","HAUS4",0.000978875837806368,0.502789785330863,10.8957848072442,1,2252.23142080892,-1.4256640271862
"4662","OSBPL3",0.00107939958164961,0.533098847229334,10.7139356220043,1,2252.23142080892,0.545730584255352
"2800","YEATS2",0.00134292995838295,0.599702181239736,10.3083676912873,1,2252.23142080892,0.496358807651814
"5490","UTP23",0.00136701488266919,0.599702181239736,10.2754158076924,1,2252.23142080892,-1.88943534426921
"4959","UPK3BL1",0.00139320910781422,0.599702181239736,10.2402392658268,1,2252.23142080892,1.0745126702258
"8503","NUMB",0.00151663191791041,0.599702181239736,10.0830346415185,1,2252.23142080892,0.381871743146986
"3858","NOP16",0.00152875693994424,0.599702181239736,10.0682962808227,1,2252.23142080892,2.07771488006736
"4463","ARFGEF3",0.00162189040469224,0.599702181239736,9.95889040401066,1,2252.23142080892,1.9855054070847
"6005","NUP188",0.00164312331883239,0.599702181239736,9.93483995032309,1,2252.23142080892,-2.11749568648971
"1521","PELI1",0.00168721710993296,0.599702181239736,9.88588601222824,1,2252.23142080892,0.764778211356325
"3376","TENT4A",0.00176526760175718,0.599702181239736,9.80233085489556,1,2252.23142080892,0.727240253128643
"6091","ABCA2",0.00179305235829274,0.599702181239736,9.7734879368387,1,2252.23142080892,1.71271709707764
"11979","TIAM1",0.00188217099391807,0.599702181239736,9.68394322842284,1,2252.23142080892,0.605640474338787
"8794","SORD",0.00188438462078477,0.599702181239736,9.68177415095396,1,2252.23142080892,-1.58436562894183
"8237","LAMP1",0.00192915784611569,0.599702181239736,9.63844828551246,1,2252.23142080892,0.355485101055308
"6199","ABI1",0.00199184234911354,0.599702181239736,9.57947401603427,1,2252.23142080892,0.388240088914023
"2040","ZFAND2B",0.00208529790521538,0.599702181239736,9.49495793130651,1,2252.23142080892,-2.33304260614362
"9718","SHPK",0.00209329672729291,0.599702181239736,9.48790369089147,1,2252.23142080892,1.27412423316172
"5626","PDCD1LG2",0.00214206494467829,0.599702181239736,9.44547765626904,1,2252.23142080892,0.903246595794599
"3767","AFAP1L1",0.00214322614190679,0.599702181239736,9.44447946005707,1,2252.23142080892,1.92586108126267
"6849","ZDHHC5",0.00215357496897189,0.599702181239736,9.43560750174935,1,2252.23142080892,0.716488854094167
"5629","KIAA2026",0.00228821730208173,0.599702181239736,9.32396889118959,1,2252.23142080892,0.49652281486295
"5297","BAG4",0.00232817704388115,0.599702181239736,9.29211733993895,1,2252.23142080892,0.75791473408606
"2712","RNF13",0.00249444816760053,0.599702181239736,9.16528921200433,1,2252.23142080892,0.317648201004574
"9674","TCF25",0.00254041390797615,0.599702181239736,9.13174075265672,1,2252.23142080892,-0.431910354209324
"5507","ATAD2",0.00254409543781858,0.599702181239736,9.12908048308139,1,2252.23142080892,1.09324336350304
"9911","KSR1",0.0025515190138136,0.599702181239736,9.12372808730448,1,2252.23142080892,-2.45989729686637
