"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"4920","PILRA",2.22400546913145e-85,2.8558454229117e-81,417.22747253795,1,2307.63398008706,1.82095177548539
"11931","HELZ2",1.60225331553756e-05,0.102872674124089,18.6911249406752,1,2307.63398008706,0.765566642059672
"12778","HCFC1",2.5128890087875e-05,0.107560025872801,17.8271049376343,1,2307.63398008706,-1.87542325569326
"10067","KAT2A",4.21027570707974e-05,0.119755787634238,16.8389322412236,1,2307.63398008706,1.67373467915734
"4028","HLA-F",4.66302420505559e-05,0.119755787634238,16.6437334444013,1,2307.63398008706,-0.890447770121237
"11501","LILRA5",6.85589945794571e-05,0.146727674899135,15.9082237147855,1,2307.63398008706,0.85877794138897
"11757","TP53INP2",9.88478836870886e-05,0.181329382060843,15.2117854698324,1,2307.63398008706,-10
"9965","EVI2A",0.000124352703439219,0.199601633107877,14.7757974849912,1,2307.63398008706,0.494630080598258
"323","CSF3R",0.000149808401672795,0.201890493055985,14.422610911465,1,2307.63398008706,0.664371504523706
"11632","SIRPB1",0.000157223341683658,0.201890493055985,14.3310755464828,1,2307.63398008706,0.667501463134045
"920","PFDN2",0.000194861146437193,0.227473816490909,13.9248503051107,1,2307.63398008706,-0.731918699399275
"10514","LAMA3",0.000282950749849825,0.296981437449003,13.2205948073343,1,2307.63398008706,3.84301068925774
"2378","GNAI2",0.000300658724930849,0.296981437449003,13.1061939014247,1,2307.63398008706,0.257741678431518
"9981","CCL8",0.000327511277191779,0.300398022172831,12.9450788629764,1,2307.63398008706,1.21763822339821
"12005","RCAN1",0.000374580348439213,0.320665750287195,12.6924303366292,1,2307.63398008706,-1.06722869242429
"5299","PLPP5",0.000431836896974646,0.346576099628214,12.4251599296254,1,2307.63398008706,-1.62426930716209
"9756","SCIMP",0.00055500452602361,0.419224301098187,11.9545824906562,1,2307.63398008706,0.7248490188737
"12032","ZBTB21",0.000747532566649181,0.514474738534076,11.3976979605221,1,2307.63398008706,0.993207313322367
"3129","PTPN13",0.000799239927103828,0.514474738534076,11.2728772899601,1,2307.63398008706,-10
"4683","NOD1",0.000827598087797748,0.514474738534076,11.2078455064592,1,2307.63398008706,0.674737164756476
"12135","DRICH1",0.000841365120256646,0.514474738534076,11.1770828772643,1,2307.63398008706,-10
"8089","NBEA",0.000922759364060796,0.522134620240312,11.0050075665674,1,2307.63398008706,-1.73640230356186
"7784","DUSP6",0.000971427541806808,0.522134620240312,10.9093110832519,1,2307.63398008706,0.442886007943287
"3509","NAIP",0.000994701656511818,0.522134620240312,10.8652490283021,1,2307.63398008706,0.417393076833958
"9770","XAF1",0.00101653808161419,0.522134620240312,10.8248473573153,1,2307.63398008706,0.314752378763184
"5266","ZNF395",0.00106617518642032,0.526567521877822,10.7361847124028,1,2307.63398008706,-1.59053204390499
"6346","COMTD1",0.00111486592875701,0.527286650839332,10.6531824255139,1,2307.63398008706,1.33862917544024
"5230","POLR3D",0.00114975673417189,0.527286650839332,10.5959316422355,1,2307.63398008706,1.4800754025831
"12698","UPF3B",0.00120503338145398,0.533580470732776,10.5087371132747,1,2307.63398008706,-0.781127987352011
"4700","AOAH",0.0012707740483717,0.543933651838033,10.4101629111277,1,2307.63398008706,0.316648158146844
"11753","DYNLRB1",0.00133693016803167,0.553790977022408,10.3160480249083,1,2307.63398008706,-0.487649786193171
"12270","CBX6",0.00146311661244286,0.561442813031308,10.1489413608972,1,2307.63398008706,0.635958432008349
"9791","KCTD11",0.00148462420101836,0.561442813031308,10.1219229735967,1,2307.63398008706,-10
"8699","GREM1",0.00151209363313152,0.561442813031308,10.0879863184408,1,2307.63398008706,2.11641227093844
"5608","WASHC1",0.00153029347060944,0.561442813031308,10.0658440394889,1,2307.63398008706,0.776253166363802
"8840","PIGBOS1",0.00167095152389054,0.584345216009914,9.90321693232075,1,2307.63398008706,0.655706851467816
"11025","COPE",0.00173310191872288,0.584345216009914,9.83573478074207,1,2307.63398008706,-0.387788151982385
"9437","ADCY7",0.00177482252640278,0.584345216009914,9.79179782344859,1,2307.63398008706,0.493231538503858
"10151","OSBPL7",0.001817860112752,0.584345216009914,9.7475581378666,1,2307.63398008706,-3.08604165972116
"9937","FAM222B",0.00182024831714014,0.584345216009914,9.74513443157234,1,2307.63398008706,0.473078313577007
"10431","DCXR",0.00188875704557529,0.591549493225178,9.67694722096339,1,2307.63398008706,-1.17506195172959
"8378","KLHDC1",0.00194100312369123,0.592533300084463,9.62661187436925,1,2307.63398008706,-1.01527388082323
"4486","UTRN",0.0019841859593203,0.592533300084463,9.58603519747715,1,2307.63398008706,0.260612164268027
"6859","MPEG1",0.00214104457183953,0.611667596932505,9.44582990809509,1,2307.63398008706,0.444366795825834
"6790","LRRC4C",0.00214352790763669,0.611667596932505,9.44369502850936,1,2307.63398008706,2.53875883838909
"12694","NKRF",0.00227039476096044,0.632068409696275,9.33784365737179,1,2307.63398008706,-2.35142159015465
"6865","MS4A4A",0.00234903578404887,0.632068409696275,9.27520339228866,1,2307.63398008706,0.326463835616206
"5787","DAPK1",0.00245514717138549,0.632068409696275,9.19397610895519,1,2307.63398008706,0.312701512353476
"11908","FAM217B",0.00249471899873989,0.632068409696275,9.16459371382433,1,2307.63398008706,-1.13362359273212
"3880","DDX41",0.00256396393071589,0.632068409696275,9.11429985846592,1,2307.63398008706,0.792762253990291
"12702","ZBTB33",0.00261725517989183,0.632068409696275,9.07652422420222,1,2307.63398008706,0.870687031298007
"3015","UCHL1",0.00262889662376233,0.632068409696275,9.06837619063509,1,2307.63398008706,-10
"207","PAQR7",0.00264923106350501,0.632068409696275,9.05423133652848,1,2307.63398008706,-10
"2402","PARP3",0.00265802461830066,0.632068409696275,9.04814857760091,1,2307.63398008706,-10
"7423","CD163",0.0028083753819971,0.644892405311756,8.94719642846168,1,2307.63398008706,0.351371550676663
"12485","NDUFB11",0.00285334737665936,0.644892405311756,8.9180654827451,1,2307.63398008706,-0.40776147652634
"152","AKR7A2",0.00291331722111135,0.644892405311756,8.87993737519623,1,2307.63398008706,-0.777775249742889
"12039","U2AF1",0.00295603208170601,0.644892405311756,8.85326316428949,1,2307.63398008706,-2.92291420224438
"8464","GPHN",0.00296305987955717,0.644892405311756,8.84891207054694,1,2307.63398008706,-0.655959295343964
"7735","HELB",0.00302471709119354,0.647339869466937,8.81118224114887,1,2307.63398008706,0.749302239944074
"1967","TMEM237",0.00313215341494676,0.659343967234939,8.74726985376645,1,2307.63398008706,-10
"2383","HYAL2",0.00327267857091555,0.677813960147203,8.66695851319445,1,2307.63398008706,-2.91526848142065
"8205","UBAC2",0.00340744981170248,0.677985083294006,8.59316483172718,1,2307.63398008706,0.319122738487995
"11791","SAMHD1",0.00348933139081061,0.677985083294006,8.54976710346924,1,2307.63398008706,0.206336643726227
"600","DPYD",0.00355231525197148,0.677985083294006,8.51708458467898,1,2307.63398008706,0.225239295473733
"6155","SEPHS1",0.00363296597262563,0.677985083294006,8.47608518511434,1,2307.63398008706,0.837244060345781
"9463","MT1X",0.00363841815441213,0.677985083294006,8.47334704180584,1,2307.63398008706,0.918361080278607
"11177","KCNK6",0.00366818170679448,0.677985083294006,8.45847270745006,1,2307.63398008706,0.734650425636345
"2246","UBP1",0.00377048561500023,0.677985083294006,8.40826709455189,1,2307.63398008706,0.478893137603351
"1713","RGPD5",0.00381883103348765,0.677985083294006,8.38502208038927,1,2307.63398008706,-10
"1046","ODR4",0.00383089712596182,0.677985083294006,8.37926728102529,1,2307.63398008706,-0.72310813211577
"7119","DGAT2",0.00391133946379919,0.677985083294006,8.34136641400817,1,2307.63398008706,-10
"5363","PDE7A",0.00407246417945075,0.677985083294006,8.26778215741871,1,2307.63398008706,0.365351318993881
"6776","ABTB2",0.00409115583423169,0.677985083294006,8.25943842467644,1,2307.63398008706,-1.64633875689128
"12001","ATP5PO",0.00410161602493716,0.677985083294006,8.25478604572397,1,2307.63398008706,-0.489504669178881
"6086","EDF1",0.00421810525521914,0.677985083294006,8.20377682559756,1,2307.63398008706,-0.29377000001241
"2196","NR2C2",0.00430107263278318,0.677985083294006,8.16831388106703,1,2307.63398008706,0.535233828388895
"10325","JPT1",0.00431964930948478,0.677985083294006,8.16046911989081,1,2307.63398008706,-0.409868903937336
"11147","ZNF146",0.0043494001445395,0.677985083294006,8.1479769331825,1,2307.63398008706,-1.00860882383459
"963","MPZL1",0.0043983849756316,0.677985083294006,8.1275969770712,1,2307.63398008706,-0.503838543579393
"3572","MEF2C",0.00459830568523747,0.677985083294006,8.04675211377446,1,2307.63398008706,0.297604952696693
"9060","MAN2A2",0.00460424086181439,0.677985083294006,8.04440711880992,1,2307.63398008706,-1.03037663960367
"11255","CIC",0.00462063784627883,0.677985083294006,8.03794462999734,1,2307.63398008706,-1.28534024429424
"6123","KLF6",0.00463586203922563,0.677985083294006,8.03196526142887,1,2307.63398008706,0.39863147458253
"6134","IL2RA",0.0046624328781226,0.677985083294006,8.02157723756487,1,2307.63398008706,1.08450398292526
"10538","RPRD1A",0.00467440625919061,0.677985083294006,8.01691588116326,1,2307.63398008706,0.471655150616089
"7400","MLF2",0.00474068913365951,0.677985083294006,7.9913294882436,1,2307.63398008706,-0.568320317132552
"2426","NEK4",0.00480387274105267,0.677985083294006,7.96727672517528,1,2307.63398008706,-0.866699750001184
"4539","SOD2",0.00488020227843785,0.677985083294006,7.93864609486894,1,2307.63398008706,-0.400036588452138
