"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"8698","SCG5",3.48731488946159e-07,0.00447806104955763,26.1163221598975,1,2234.53638821496,2.67512632041682
"12492","TIMP1",1.66233359803845e-06,0.00935440850886161,23.0738745130207,1,2234.53638821496,0.809471263448577
"12216","TIMP3",2.18543925913751e-06,0.00935440850886161,22.5426759711328,1,2234.53638821496,1.84160897075168
"6943","PLCB3",4.16428038567506e-06,0.0133683811081134,21.2932531259987,1,2234.53638821496,1.58485547375076
"2859","TCTEX1D2",6.28835280197171e-06,0.0161497476660237,20.4963563023498,1,2234.53638821496,2.09352437609345
"3249","CLGN",1.19573848636366e-05,0.0255907965056596,19.2568554944262,1,2234.53638821496,3.91865808232955
"8110","RGCC",2.64216892491338e-05,0.0449828269216499,17.7332683539885,1,2234.53638821496,1.12175820862486
"1241","TARBP1",2.80245008467564e-05,0.0449828269216499,17.6203568383324,1,2234.53638821496,1.22244816262638
"6722","PDE3B",3.67456866363341e-05,0.0524279291219073,17.1014059055033,1,2234.53638821496,1.08251997169534
"10710","MFSD12",5.49352957370756e-05,0.0705424132559788,16.3327438711001,1,2234.53638821496,0.747125357736099
"3849","BOD1",0.000121528762674075,0.137947641592767,14.8210540087306,1,2234.53638821496,-10
"12064","COL6A1",0.000136938220958289,0.137947641592767,14.5945115489156,1,2234.53638821496,1.72310849368941
"3767","AFAP1L1",0.000139655738704616,0.137947641592767,14.5572409886243,1,2234.53638821496,2.28236504304762
"12601","HDAC8",0.000167101279081024,0.153267680334245,14.2172037569791,1,2234.53638821496,0.621410854364074
"12243","LGALS2",0.000215911441082373,0.177412432425864,13.732370147177,1,2234.53638821496,1.56188922072109
"879","CRABP2",0.000221057465837071,0.177412432425864,13.687859232422,1,2234.53638821496,2.65790675471392
"1110","RAB7B",0.000247374194085319,0.186854825073505,13.4754286256118,1,2234.53638821496,0.741720201151436
"10959","TPM4",0.000299856190830352,0.213914074802919,13.1125391359372,1,2234.53638821496,0.516372618925565
"3816","RNF145",0.000402655232058078,0.257448553350927,12.5577866632358,1,2234.53638821496,0.589336945422947
"5220","LPL",0.000435938838785386,0.257448553350927,12.4085864008458,1,2234.53638821496,1.15089029000023
"12288","SGSM3",0.000447329289678247,0.257448553350927,12.3601567324607,1,2234.53638821496,1.14630100295845
"771","C1orf56",0.000470356717695907,0.257448553350927,12.2659421742587,1,2234.53638821496,-3.28830347938853
