"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9616","PLCG2",5.40316334812511e-64,6.93820205532746e-60,303.242064218868,1,2363.12284916252,1.58249997313983
"2860","TM4SF19",2.03334679953165e-08,0.000130551031263929,31.6795661732145,1,2363.12284916252,1.5654636377614
"6089","PTGDS",3.12177888522666e-08,0.000133622542217318,30.8362459255631,1,2363.12284916252,2.98349759701677
"77","GPR157",5.67739859895837e-08,0.000182258688523061,29.6613489415598,1,2363.12284916252,1.61524621225679
"5849","NR4A3",9.23040551948459e-08,0.000237055274551403,28.708040167572,1,2363.12284916252,2.03471144647552
"7189","BIRC3",3.22542222844166e-06,0.00690294113923656,21.7819185944637,1,2363.12284916252,1.24917513093339
"8659","PLD4",9.77824697633041e-06,0.0169932044734807,19.6395558476843,1,2363.12284916252,3.81525242876095
"9414","ITGAM",1.16728456293894e-05,0.0169932044734807,19.2984777909877,1,2363.12284916252,0.603187974931797
"3524","GFM2",1.19101970455047e-05,0.0169932044734807,19.2597299444181,1,2363.12284916252,0.958631879701478
"4714","INHBA",1.90273596993046e-05,0.0244330325898771,18.3590673540561,1,2363.12284916252,2.63705425987683
"11396","FCGRT",2.79600556561608e-05,0.0326395522437056,17.6207832247135,1,2363.12284916252,0.323135080355848
"9896","MAPK7",4.32878703974117e-05,0.0442742207507063,16.7843519916441,1,2363.12284916252,1.70336005184168
"11414","IL4I1",4.48224335923356e-05,0.0442742207507063,16.7177833061312,1,2363.12284916252,0.638491869371702
"6874","SLC15A3",7.94913001761637e-05,0.0729105561115799,15.6250757864144,1,2363.12284916252,0.441724175030579
"3413","IL7R",9.17751263637102e-05,0.0785656265090935,15.3516787616234,1,2363.12284916252,1.19581957538338
"3729","CD14",0.000121647442085595,0.0976296752388205,14.8163524698229,1,2363.12284916252,0.442580647283365
"11217","PLD3",0.000145917755515608,0.110219405798583,14.4713465175894,1,2363.12284916252,0.222951147937531
"9228","TVP23A",0.000157611978071954,0.112438633912331,14.325283634141,1,2363.12284916252,3.72725850235766
"8783","SERF2",0.000181817088464237,0.122879643840487,14.054841232367,1,2363.12284916252,-0.238491386529449
"3482","CENPK",0.000200508367087009,0.128736397088214,13.8697820100007,1,2363.12284916252,-10
"8135","ITM2B",0.000216947594553962,0.13265828865083,13.7208669773768,1,2363.12284916252,0.254638089020699
"11300","APOE",0.000291846697233284,0.15621974482544,13.1613008949382,1,2363.12284916252,0.307815940450459
"341","RHBDL2",0.000291924373490836,0.15621974482544,13.1607994395118,1,2363.12284916252,2.06197825032058
"4208","PTCRA",0.000291976783413329,0.15621974482544,13.1604611722812,1,2363.12284916252,1.56912058328624
"3915","IRF4",0.000305996949450532,0.157172273115771,13.0721033954189,1,2363.12284916252,3.02601880576854
"2795","LAMP3",0.000346858972910965,0.171308310428835,12.8361505507929,1,2363.12284916252,2.6633135818854
"11413","TBC1D17",0.000470351042824451,0.217706846331868,12.2639868903503,1,2363.12284916252,0.800569520361355
"10336","LLGL2",0.000474713160757908,0.217706846331868,12.2466707382273,1,2363.12284916252,-1.72620432622637
"6171","CUBN",0.000517954184458262,0.222036463024208,12.0832267289353,1,2363.12284916252,1.54000606916988
"1972","FAM117B",0.000555982918080492,0.222036463024208,11.9504973714196,1,2363.12284916252,-2.82321708532944
"1786","CXCR4",0.000556327019390071,0.222036463024208,11.9493387200695,1,2363.12284916252,0.593035855517023
"4599","SLC29A4",0.000559292999607769,0.222036463024208,11.9393816435461,1,2363.12284916252,2.5928862724625
"5309","IDO1",0.000586703519428745,0.222036463024208,11.8498090128561,1,2363.12284916252,1.68799114565734
"7654","CD63",0.000587901233768637,0.222036463024208,11.8459921486434,1,2363.12284916252,0.301825161030571
"4020","ZSCAN26",0.00063766213257337,0.224404861789046,11.6939916953413,1,2363.12284916252,0.701375124131322
"5373","ARFGEF1",0.000639630371340054,0.224404861789046,11.6882287285763,1,2363.12284916252,0.373284555165312
"1760","WDR33",0.000646599165656469,0.224404861789046,11.667967335917,1,2363.12284916252,0.388204644231503
"1537","PLEK",0.000690017506052619,0.231362640690307,11.5464979199177,1,2363.12284916252,0.360408412514016
"800","S100A4",0.000702682266717698,0.231362640690307,11.5125195690306,1,2363.12284916252,0.470821995875898
"1072","NAV1",0.000732372336824098,0.235109829428956,11.4352313853948,1,2363.12284916252,0.72292905646998
"12700","NDUFA1",0.000794356530101086,0.248788590317757,11.283606925836,1,2363.12284916252,-0.392251379843157
"10117","GRN",0.000840107020380424,0.256852720207263,11.1791810737723,1,2363.12284916252,0.198870760288519
"5091","NDUFB2",0.000884719372864911,0.264201894580426,11.0827512300714,1,2363.12284916252,-0.386180767714111
"11677","JAG1",0.000938039256106266,0.269782167999061,10.9737555504891,1,2363.12284916252,-3.29473047396113
"3777","CSF1R",0.000945424621132134,0.269782167999061,10.9591548987352,1,2363.12284916252,0.263241032068258
"707","FAM72B",0.000980349856686696,0.273666793689432,10.8916363870431,1,2363.12284916252,-3.19233348336404
"11416","ATF5",0.00106529999431184,0.289489737040344,10.7370711198565,1,2363.12284916252,-0.52602239283812
"10863","TMEM205",0.00112907785070531,0.289489737040344,10.6290185776118,1,2363.12284916252,0.662820537173226
"8792","B2M",0.00113175296389892,0.289489737040344,10.6246224970052,1,2363.12284916252,0.148695552302794
"3667","RAD50",0.00113510625155504,0.289489737040344,10.6191267907131,1,2363.12284916252,0.471460232246784
"173","C1QB",0.00117849301394534,0.289489737040344,10.5494662189065,1,2363.12284916252,0.421287987461696
"10667","UQCR11",0.0011858220532224,0.289489737040344,10.5379558071581,1,2363.12284916252,-0.283340439799269
"10771","CD70",0.00119484121666056,0.289489737040344,10.5238894910264,1,2363.12284916252,1.81660003793106
"3429","RPL37",0.00124190128166249,0.295319525144963,10.452196012905,1,2363.12284916252,-0.236059192650221
"79","SPSB1",0.00148847479876812,0.347518270745116,10.1165561220278,1,2363.12284916252,0.982171268109961
"7398","ZNF384",0.00165208117394654,0.377144319106134,9.92365968135707,1,2363.12284916252,-1.26585969346877
"3215","C4orf3",0.00168359059299017,0.377144319106134,9.88874247028342,1,2363.12284916252,-0.289543683160446
"3671","UQCRQ",0.00175103923939432,0.377144319106134,9.81617494215267,1,2363.12284916252,-0.393316016438562
"9095","NME4",0.00175487746236353,0.377144319106134,9.81213108776053,1,2363.12284916252,-0.579391417331309
"404","PTCH2",0.00182426872138936,0.377144319106134,9.74052984251413,1,2363.12284916252,1.41306938518202
"2560","IGSF11",0.00187213106728565,0.377144319106134,9.69273510828194,1,2363.12284916252,-10
"8612","SERPINA1",0.001876081532062,0.377144319106134,9.68884575259578,1,2363.12284916252,1.09900743037127
"10495","SEH1L",0.00188566830564363,0.377144319106134,9.67944171158343,1,2363.12284916252,0.798567831330022
"10385","LGALS3BP",0.00191671572500835,0.377144319106134,9.64931559861689,1,2363.12284916252,0.362243478099763
"2312","LIMD1",0.0019917763723964,0.377144319106134,9.57848059080164,1,2363.12284916252,-0.485114693754678
"3499","CCDC125",0.00199188510796845,0.377144319106134,9.57837995352962,1,2363.12284916252,0.576360279005801
"10383","TIMP2",0.00199706106655448,0.377144319106134,9.5735959215695,1,2363.12284916252,0.195915870575413
"10584","ALPK2",0.00199718197174808,0.377144319106134,9.57348432181628,1,2363.12284916252,2.32991209285274
"8699","GREM1",0.00211680142438464,0.393939812906132,9.46630077362593,1,2363.12284916252,1.73081291967973
"6808","AMBRA1",0.00217174451341645,0.398391018525437,9.41911373332921,1,2363.12284916252,-0.395471577232087
"6451","SCD",0.00225227648586824,0.402256154823565,9.35209558151003,1,2363.12284916252,0.840051454993188
"4248","PLA2G7",0.00229810040318591,0.402256154823565,9.31503889841279,1,2363.12284916252,0.264795201879344
"11687","RRBP1",0.0023740630300393,0.402256154823565,9.25523187572556,1,2363.12284916252,0.338471204605796
"10681","PLEKHJ1",0.00239452096091735,0.402256154823565,9.2394568742967,1,2363.12284916252,0.617245937141638
"232","FGR",0.00239748272996813,0.402256154823565,9.23718441771826,1,2363.12284916252,0.712402983668091
"11624","FAM110A",0.00241103111584255,0.402256154823565,9.22682545654939,1,2363.12284916252,-1.58379111707371
"11247","ARHGEF1",0.0024120959365637,0.402256154823565,9.22601381232276,1,2363.12284916252,0.691797860554421
"455","ECHDC2",0.0024814023329079,0.404793372054172,9.17395387984433,1,2363.12284916252,-1.36120028864869
"2859","TCTEX1D2",0.0024903571678436,0.404793372054172,9.16733536803306,1,2363.12284916252,1.14941742948463
"6302","PPA1",0.00254547083042522,0.408579886668629,9.12712563306121,1,2363.12284916252,0.859016926088221
"2267","SCN11A",0.00261492488351483,0.414546301595234,9.07769468282235,1,2363.12284916252,2.07821396840778
"8290","RNF212B",0.00271692779966213,0.425464266773919,9.00746510544607,1,2363.12284916252,2.22430372807406
"4447","EYA4",0.00280779179088837,0.434395835985513,8.94712520461487,1,2363.12284916252,3.76165879222087
"11781","AAR2",0.00284822485297231,0.435405420678779,8.9209101513936,1,2363.12284916252,0.862604212774609
"4210","PEX6",0.00291649299732609,0.440596312690168,8.87749485668686,1,2363.12284916252,-0.884172940104809
"6780","PDHX",0.00298286026628495,0.445382659062385,8.83626753943412,1,2363.12284916252,-0.596977246426957
"11401","RRAS",0.00308096943902791,0.454744006512154,8.77699959755706,1,2363.12284916252,0.440734663591753
"4385","GTF3C6",0.00319326965431819,0.463804426733919,8.71147007926375,1,2363.12284916252,-0.485896194894737
"2431","RFT1",0.0032145934101175,0.463804426733919,8.69929232364361,1,2363.12284916252,-1.27761126156156
"6843","TIMM10",0.00328041131649754,0.467679221306866,8.66221613310586,1,2363.12284916252,-0.748769440554193
"4491","ADGB",0.00334345150642114,0.467679221306866,8.62740734347283,1,2363.12284916252,2.12782627246308
"8623","CCDC85C",0.00335071165487358,0.467679221306866,8.62344146074646,1,2363.12284916252,2.53180670850783
"8122","GTF2F2",0.00344950564501494,0.476291419221902,8.57032714359665,1,2363.12284916252,0.36896494008693
"11424","EMC10",0.00350929058578779,0.479391493745756,8.53893165656318,1,2363.12284916252,0.427902877783276
"7901","ERP29",0.00357217588913785,0.482845374657043,8.50648996682076,1,2363.12284916252,0.309265253835536
"10843","CDC37",0.00384218603707552,0.51393240523007,8.37350086120192,1,2363.12284916252,-0.442444755591922
"10288","ARSG",0.00389029562226739,0.515002949335417,8.3508072218507,1,2363.12284916252,-0.682886121725745
"1668","COX5B",0.0039605025692106,0.515820331097233,8.3181977058563,1,2363.12284916252,-0.285634150703146
"7941","GCN1",0.00400157597109198,0.515820331097233,8.29939185025545,1,2363.12284916252,0.606184139726815
"9356","ASPHD1",0.00401847575846442,0.515820331097233,8.29171112742055,1,2363.12284916252,0.980413302898834
"12811","VAMP7",0.00405714924389226,0.515820331097233,8.27425760823866,1,2363.12284916252,-0.77712186371422
"4026","ZNF311",0.00413539205299188,0.518773814727243,8.23945858841403,1,2363.12284916252,-10
"10030","RPL19",0.00416117926305631,0.518773814727243,8.22813631524145,1,2363.12284916252,-0.182735846759895
"743","SF3B4",0.00422816481992233,0.519449425477148,8.19905596930992,1,2363.12284916252,-0.82712997919482
"6641","CD81",0.00428456474746486,0.519449425477148,8.17493276031175,1,2363.12284916252,0.256193712346658
"6728","RPS13",0.00428795569664183,0.519449425477148,8.17349271946062,1,2363.12284916252,-0.215826217175194
"2520","TFG",0.00438899371542085,0.523245997933551,8.13110878199778,1,2363.12284916252,-0.420005060549075
