"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6580","PTPRE",1.60989976610456e-05,0.206727228965486,18.6810450671941,1,2334.90160677367,0.402384282542991
"9448","RPGRIP1L",4.12943373745286e-05,0.265130293113161,16.8752378034185,1,2334.90160677367,2.4184757791308
"5476","RIMS2",8.23605095490515e-05,0.352530434373123,15.5582433624901,1,2334.90160677367,4.09763040797445
"9148","PKD1",0.00017087639184509,0.548555936920702,14.1728329626554,1,2334.90160677367,-1.81497607110881
"8817","USP8",0.000240839507354899,0.618524022788852,13.5240846209343,1,2334.90160677367,-0.436615484733247
"4273","PHF3",0.000291347516583731,0.623532243408615,13.165002799528,1,2334.90160677367,0.371218826606253
"5265","PNOC",0.000460257384014817,0.844309295447751,12.3051033872085,1,2334.90160677367,3.63366111646073
"4631","ARL4A",0.000596299655278535,0.933526271884457,11.8198338070173,1,2334.90160677367,-2.07830010995256
"1968","ALS2",0.000677278568648341,0.933526271884457,11.5816894676503,1,2334.90160677367,-0.958279957504857
"800","S100A4",0.00103159573253351,0.933526271884457,10.7971743125957,1,2334.90160677367,-0.540401428797419
"2110","PER2",0.00120101153795128,0.933526271884457,10.514637277971,1,2334.90160677367,-1.98493045446415
"3195","SEC24B",0.00143892725432099,0.933526271884457,10.1795261581016,1,2334.90160677367,-0.513103003282132
"7505","SSPN",0.00148439835325209,0.933526271884457,10.1219200992023,1,2334.90160677367,2.42216422941141
"2431","RFT1",0.00160085297217869,0.933526271884457,9.98217559529408,1,2334.90160677367,-1.49823942063624
"2435","CACNA1D",0.00165199375493217,0.933526271884457,9.92403440982201,1,2334.90160677367,-10
"1660","CNNM4",0.0016811456242666,0.933526271884457,9.89170325817869,1,2334.90160677367,-1.25508362922226
"12702","ZBTB33",0.00171246612646711,0.933526271884457,9.85759439462917,1,2334.90160677367,0.84643918740856
"831","SHC1",0.00174076409326024,0.933526271884457,9.82731677222633,1,2334.90160677367,0.823011336820444
"8394","TMX1",0.00184269889532818,0.933526271884457,9.72224304726231,1,2334.90160677367,-0.538170458847956
"6642","TSSC4",0.00185297812569923,0.933526271884457,9.71197632385462,1,2334.90160677367,-1.03478810103804
"12683","PLS3",0.00188163047330464,0.933526271884457,9.6836609285218,1,2334.90160677367,2.73630586381537
"4268","BAG2",0.00189644505855802,0.933526271884457,9.66919162579261,1,2334.90160677367,1.33910899916046
"5879","LPAR1",0.00191677769227324,0.933526271884457,9.64951846892099,1,2334.90160677367,0.646260994342538
"3483","PPWD1",0.002030395379624,0.933526271884457,9.54334094407049,1,2334.90160677367,-0.883791864674732
"7534","ALG10",0.00224387730088865,0.933526271884457,9.35921841043906,1,2334.90160677367,-10
"3551","MTX3",0.00241267421490123,0.933526271884457,9.22581418560261,1,2334.90160677367,-2.3264522899886
"2047","DNAJB2",0.00258248120283067,0.933526271884457,9.10085178981779,1,2334.90160677367,-0.958654143528132
"11349","DHX34",0.0026887726092746,0.933526271884457,9.02681008945467,1,2334.90160677367,0.583975194255204
"1218","TAF5L",0.00289942150463343,0.933526271884457,8.8884784427279,1,2334.90160677367,0.797306737553199
"4426","HINT3",0.00327148340041707,0.933526271884457,8.66741484739761,1,2334.90160677367,0.576208725500031
"548","SPATA1",0.00331034366959955,0.933526271884457,8.64581744399346,1,2334.90160677367,-1.32145828742147
"5589","SLC39A4",0.00348433341368411,0.933526271884457,8.55217971068734,1,2334.90160677367,-1.99284677946136
"5465","YWHAZ",0.00365105901572534,0.933526271884457,8.46681207055271,1,2334.90160677367,0.245234991088551
"4501","LATS1",0.00372549070217169,0.933526271884457,8.42997440329751,1,2334.90160677367,0.4177013899185
"5115","EZH2",0.00376266322387991,0.933526271884457,8.41185653871904,1,2334.90160677367,-1.0886963855381
"1266","EXO1",0.0038078690519106,0.933526271884457,8.39006718980639,1,2334.90160677367,3.54865602601925
"7279","TRAPPC4",0.00384548366715917,0.933526271884457,8.37213660517255,1,2334.90160677367,-0.770123683758933
"9977","MYO1D",0.00385387678900455,0.933526271884457,8.36816004020462,1,2334.90160677367,-1.08070232109386
"3678","TCF7",0.00386003773267956,0.933526271884457,8.36524666291984,1,2334.90160677367,-10
"10736","LRG1",0.00395604652377378,0.933526271884457,8.32044801511317,1,2334.90160677367,2.07119755259465
"2271","CSRNP1",0.00397384870388133,0.933526271884457,8.31226312121303,1,2334.90160677367,1.03779161428575
"10886","ZNF20",0.00411884548575653,0.933526271884457,8.24695639072106,1,2334.90160677367,1.48070258998638
"8120","NUFIP1",0.00413404064986787,0.933526271884457,8.24024846386165,1,2334.90160677367,1.1085659327643
"6470","HPS6",0.0042447278763398,0.933526271884457,8.19213023241665,1,2334.90160677367,0.998735240620862
"3707","EGR1",0.00427747854718467,0.933526271884457,8.17813759956556,1,2334.90160677367,-10
"10382","USP36",0.00433505043699829,0.933526271884457,8.15380268623181,1,2334.90160677367,-0.696652687566938
"7444","KLRF1",0.00452809152310803,0.933526271884457,8.0745450563697,1,2334.90160677367,-10
"4012","ZNF322",0.00457766032794854,0.933526271884457,8.05474882731333,1,2334.90160677367,0.706650090543327
"4966","PMPCB",0.00461889172142359,0.933526271884457,8.03844802910176,1,2334.90160677367,-0.723014844663864
"2702","PLSCR2",0.0048125053583111,0.933526271884457,7.9638350459036,1,2334.90160677367,-3.12028933624926
