"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11183","RYR1",3.88394925417647e-174,4.987379237288e-170,943.312841198021,1,2321.84180367055,6.39209938404136
"6690","STK33",6.52132976868679e-05,0.328474322023322,16.003229297648,1,2321.84180367055,3.27014276011133
"5008","CAV2",9.59422251502853e-05,0.328474322023322,15.2681805287638,1,2321.84180367055,2.83059385528567
"2643","ATP2C1",0.000102320480343687,0.328474322023322,15.1458333059332,1,2321.84180367055,0.530751732168707
"659","TMIGD3",0.000193189658378203,0.336733279400287,13.9408669371174,1,2321.84180367055,0.91066087801302
"4844","ABCB1",0.000193691124194723,0.336733279400287,13.9359643635732,1,2321.84180367055,2.20764687479516
"11626","PSMF1",0.000195730800666834,0.336733279400287,13.9161545079477,1,2321.84180367055,-0.688761955566531
"11261","PHLDB3",0.000209786327793964,0.336733279400287,13.7850536371985,1,2321.84180367055,-3.38549683584959
"3290","TDO2",0.000270278268685911,0.382403046084162,13.306737694801,1,2321.84180367055,2.0546924582819
"9701","WDR81",0.000313447001419809,0.382403046084162,13.0274860357946,1,2321.84180367055,-1.07923610442888
"1424","FAM98A",0.000327578343347542,0.382403046084162,12.9444544428486,1,2321.84180367055,0.850823384576979
"10011","ACACA",0.000405835589507089,0.434277900405044,12.5415749540421,1,2321.84180367055,0.743226692086391
"9277","IQCK",0.000623606357112671,0.597386096209994,11.7362384553543,1,2321.84180367055,1.18634982051692
"1688","PDCL3",0.000763658966021871,0.597386096209994,11.3576698050639,1,2321.84180367055,1.04120559517863
"2158","ARPC4",0.000828925007666149,0.597386096209994,11.2046769601929,1,2321.84180367055,-0.428964433559153
"2474","SUCLG2",0.000867450311433726,0.597386096209994,11.11998837842,1,2321.84180367055,0.404543091038792
"7023","RBM14",0.000900028334342532,0.597386096209994,11.0512912999792,1,2321.84180367055,-1.55577014954618
"11056","ZNF626",0.000909781483894481,0.597386096209994,11.0312136188775,1,2321.84180367055,1.36808955976667
"1767","SMPD4",0.00105395435790877,0.597386096209994,10.7574524852456,1,2321.84180367055,-1.43382691582097
"6733","SERGEF",0.0010680001993396,0.597386096209994,10.7328382613124,1,2321.84180367055,0.643190331553608
"2756","PDCD10",0.00112969459385305,0.597386096209994,10.628468471029,1,2321.84180367055,0.422231793719662
"2049","DNPEP",0.00113573185952829,0.597386096209994,10.6185668114472,1,2321.84180367055,0.756789554611998
"7306","GRAMD1B",0.00117068993910198,0.597386096209994,10.562259878452,1,2321.84180367055,0.716882133765357
"7351","SLC6A12",0.00117289341423411,0.597386096209994,10.5587679940111,1,2321.84180367055,-10
"1836","COBLL1",0.00121261970222784,0.597386096209994,10.4969276650729,1,2321.84180367055,1.16390991306063
"10179","PDK2",0.00127099550514154,0.597386096209994,10.4096823717342,1,2321.84180367055,-2.10145548024836
"11389","CD37",0.00128111149900642,0.597386096209994,10.3949771253154,1,2321.84180367055,-0.601901685553661
"5986","COQ4",0.00134344844580123,0.597386096209994,10.3068772822054,1,2321.84180367055,-1.43521690293355
"1959","NDUFB3",0.00139321714056863,0.597386096209994,10.2394634783502,1,2321.84180367055,0.535792585142257
"1091","ATP2B4",0.00143359624172535,0.597386096209994,10.1865374531353,1,2321.84180367055,-0.932564060596541
"1457","HAAO",0.0015471805068909,0.597386096209994,10.0453894393528,1,2321.84180367055,-1.62773456817442
"529","SLC44A5",0.00157844238388568,0.597386096209994,10.0083822865202,1,2321.84180367055,3.16756868532354
"1185","CNIH3",0.00162249339997839,0.597386096209994,9.95747760580503,1,2321.84180367055,-0.926851679895016
"5388","LY96",0.00162512929764012,0.597386096209994,9.95447618231113,1,2321.84180367055,0.289872500931521
"4840","DMTF1",0.00167329921612173,0.597386096209994,9.90047898153251,1,2321.84180367055,0.49780276460278
"8569","GALC",0.00167478385355968,0.597386096209994,9.89883988321608,1,2321.84180367055,-0.567179513318923
"11516","RDH13",0.00177985722592682,0.600597079003964,9.78642683029369,1,2321.84180367055,-3.06793152976026
"4719","STK17A",0.00185152938779134,0.600597079003964,9.71354500146314,1,2321.84180367055,0.583933830731679
"9370","CORO1A",0.00191445687725492,0.600597079003964,9.65187697375223,1,2321.84180367055,0.599470726971012
"10269","PECAM1",0.00192797692469537,0.600597079003964,9.63889607809203,1,2321.84180367055,-0.321865772974029
"11438","SIGLEC10",0.00195815634304392,0.600597079003964,9.61025022473626,1,2321.84180367055,1.21386499203367
"1638","THNSL2",0.00196441689262257,0.600597079003964,9.60436392445238,1,2321.84180367055,1.72745014763894
"11000","ARRDC2",0.00221887274143469,0.639719045328703,9.37995980880889,1,2321.84180367055,-1.01458067058204
"12422","PIR",0.00225544186416698,0.639719045328703,9.34987494259333,1,2321.84180367055,0.763323348015797
"4177","CCDC167",0.00232141693533618,0.639719045328703,9.29683007520125,1,2321.84180367055,0.864961373131294
"5415","WWP1",0.00234335033160724,0.639719045328703,9.27953379013279,1,2321.84180367055,0.346414195610623
"7154","HIKESHI",0.00236102056702636,0.639719045328703,9.26571849986299,1,2321.84180367055,0.619563422045869
"9022","ZSCAN2",0.00239128682935735,0.639719045328703,9.24229728364213,1,2321.84180367055,1.33972731431061
"393","B4GALT2",0.00256179688921103,0.644967668796248,9.11573066669652,1,2321.84180367055,-10
"7535","ALG10B",0.0025684432129043,0.644967668796248,9.1109721315012,1,2321.84180367055,1.1295702962056
"12569","ZC4H2",0.00262192215624148,0.644967668796248,9.07313226753612,1,2321.84180367055,1.02407329499395
"2549","SPICE1",0.0026555017798503,0.644967668796248,9.04977114430401,1,2321.84180367055,0.716146382168123
"7478","C12orf60",0.00267955195065532,0.644967668796248,9.03322332405547,1,2321.84180367055,-10
"8826","SCG3",0.00271226961412642,0.644967668796248,9.01095247158275,1,2321.84180367055,3.31383498848228
"6527","TRUB1",0.00276996452515221,0.64646166636047,8.97233671976233,1,2321.84180367055,0.909277503136905
"582","RPAP2",0.00281923941407883,0.64646166636047,8.93999826260816,1,2321.84180367055,0.491403403644895
"5344","TGS1",0.00305090176318816,0.687309290194722,8.79528093958754,1,2321.84180367055,0.602696889787445
"10192","ABCC3",0.00325621054266048,0.714328351416981,8.67607558874281,1,2321.84180367055,-0.414502041160548
"3760","PPP2R2B",0.00328209428655104,0.714328351416981,8.66159253319158,1,2321.84180367055,3.03833508768064
"3136","NUDT9",0.0033781485203737,0.722980085835312,8.60884337706127,1,2321.84180367055,0.698922175015014
