"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"800","S100A4",2.84505301794709e-211,3.65333258034586e-207,1196.50866147602,1,2288.45100204912,3.88631318331649
"799","S100A6",1.75867297472647e-08,0.000112915598342313,31.9724880041054,1,2288.45100204912,-0.842625508309399
"5699","STOML2",2.90203253194565e-05,0.124216665809047,17.5517186542397,1,2288.45100204912,-1.63856547879229
"7746","LYZ",4.89312488580916e-05,0.157081541646689,16.5522481479741,1,2288.45100204912,0.452230155121501
"5692","GALT",9.00867942678303e-05,0.231360905038642,15.3887286348641,1,2288.45100204912,-3.49291861102766
"7945","COX6A1",0.000273469571456668,0.450212477947308,13.2851979602951,1,2288.45100204912,-0.592205859447544
"11913","PSMA7",0.000279673543128599,0.450212477947308,13.2428992211349,1,2288.45100204912,-0.405425980994974
"8712","GOLGA8B",0.000308240401820041,0.450212477947308,13.0596104160608,1,2288.45100204912,-10
"920","PFDN2",0.000419365832354416,0.450212477947308,12.4804974843629,1,2288.45100204912,-0.774913355057489
"9171","PAQR4",0.000421487147529969,0.450212477947308,12.4710203919785,1,2288.45100204912,-10
"2365","NICN1",0.000451379838746304,0.450212477947308,12.34236749033,1,2288.45100204912,-10
"8397","RTRAF",0.00046461118519829,0.450212477947308,12.2881465360287,1,2288.45100204912,-0.759397068650729
"4663","CYCS",0.000514559017516705,0.450212477947308,12.0966439336341,1,2288.45100204912,-0.893380010638822
"10572","SMAD4",0.00052154063461326,0.450212477947308,12.0713832110833,1,2288.45100204912,0.537222095714464
"11772","CPNE1",0.000525908197898109,0.450212477947308,12.0557537101848,1,2288.45100204912,-0.772151459910949
"1584","INO80B",0.000569647624849608,0.457177821918363,11.9060929431797,1,2288.45100204912,1.4393697251938
"11717","ENTPD6",0.000774905727369926,0.532717048114042,11.3308229305225,1,2288.45100204912,-1.35017665080034
"8670","MTA1",0.000824622190516602,0.532717048114042,11.2148116678667,1,2288.45100204912,-2.48455975818312
"547","GNG5",0.000846016315722017,0.532717048114042,11.1670511065883,1,2288.45100204912,-0.407643255836372
"3522","ENC1",0.000885724137709531,0.532717048114042,11.0815595301778,1,2288.45100204912,-3.40554546244528
"8088","RFC3",0.000903934602790772,0.532717048114042,11.0436409627647,1,2288.45100204912,-2.16810770254009
"11153","ZNF382",0.00103284289857969,0.532717048114042,10.7954799503056,1,2288.45100204912,-10
"11700","SLC24A3",0.00103409501990223,0.532717048114042,10.7932264523878,1,2288.45100204912,2.72339308044095
"6023","ABL1",0.00106331693338563,0.532717048114042,10.7414044700904,1,2288.45100204912,0.4081289605228
"2395","DOCK3",0.00122954742737559,0.532717048114042,10.4715748746401,1,2288.45100204912,-1.00537110289367
"6645","SLC22A18AS",0.00127145165260254,0.532717048114042,10.4093894367518,1,2288.45100204912,-10
"11195","PAK4",0.00129218247942214,0.532717048114042,10.379388490582,1,2288.45100204912,-2.47849726908241
"3780","RPS14",0.00131222164521567,0.532717048114042,10.3508483569823,1,2288.45100204912,-0.267979640985731
"3247","MAML3",0.0013273430137071,0.532717048114042,10.3296030051528,1,2288.45100204912,0.491749318227829
"4759","CHCHD2",0.0013433795982863,0.532717048114042,10.3073380298103,1,2288.45100204912,-0.404785484400236
"11866","SPATA2",0.00137110928264624,0.532717048114042,10.2694664353791,1,2288.45100204912,-10
"2520","TFG",0.00137540097334796,0.532717048114042,10.2636745236649,1,2288.45100204912,-0.609849978336384
"7992","RILPL2",0.00142388734611161,0.532717048114042,10.1994824349093,1,2288.45100204912,-0.622363666008179
"4201","MRPS10",0.00146009408367193,0.532717048114042,10.1529759767647,1,2288.45100204912,-0.896002537836162
"9609","CMC2",0.00149058294087265,0.532717048114042,10.1147115425546,1,2288.45100204912,-0.725446277201596
"1495","RPS27A",0.00149348288545327,0.532717048114042,10.111113421729,1,2288.45100204912,-0.277273003135721
"5040","ATP6V1F",0.00173378725168124,0.589108305500769,9.83519773520467,1,2288.45100204912,-0.330912964602323
"5848","SEC61B",0.00180649380306982,0.589108305500769,9.75932834405024,1,2288.45100204912,-0.444013652566474
"993","PRDX6",0.00182861025551922,0.589108305500769,9.7368631894661,1,2288.45100204912,-0.486442595190793
"9290","METTL9",0.0018350854466187,0.589108305500769,9.73033804153353,1,2288.45100204912,-0.98288583837565
"11834","PIGT",0.00197860715977749,0.607487375554779,9.59141092558501,1,2288.45100204912,0.619462262390012
"1483","PPP1R21",0.00206139254005163,0.607487375554779,9.51585393366606,1,2288.45100204912,-0.582550206701303
"7879","C12orf76",0.00208115347185866,0.607487375554779,9.49827377318068,1,2288.45100204912,-1.19459474107376
"794","S100A11",0.00232574814644627,0.607487375554779,9.29370170970166,1,2288.45100204912,-0.233448392246386
"7347","NCAPD3",0.00233784620867777,0.607487375554779,9.28415842124525,1,2288.45100204912,-1.54457575902661
"6717","BTBD10",0.00234755743267918,0.607487375554779,9.27653414866869,1,2288.45100204912,0.666222119737093
"4502","NUP43",0.00236802388192288,0.607487375554779,9.26057029007335,1,2288.45100204912,0.844336166505687
"10802","RPS28",0.00240068229841495,0.607487375554779,9.23538458653606,1,2288.45100204912,-0.256313783280033
"9829","RPL26",0.00242758204431825,0.607487375554779,9.21489983638796,1,2288.45100204912,-0.262524518303825
"1195","ACBD3",0.00244773335962321,0.607487375554779,9.19970463116712,1,2288.45100204912,-0.604416547633663
"5538","AGO2",0.00254031418418796,0.607487375554779,9.1314881380379,1,2288.45100204912,0.576097428609783
"10019","EPOP",0.00261966213124963,0.607487375554779,9.0750024288677,1,2288.45100204912,-10
"725","TXNIP",0.00265931147053983,0.607487375554779,9.04742506741871,1,2288.45100204912,0.267584260773071
"6426","EXOSC1",0.00266664858150614,0.607487375554779,9.04236770867427,1,2288.45100204912,-1.00368738780987
"137","NBPF1",0.0026972579657526,0.607487375554779,9.0214205547737,1,2288.45100204912,-1.32305218858753
"999","RABGAP1L",0.00272401237171077,0.607487375554779,9.00330839171728,1,2288.45100204912,0.298342515422875
"1790","KYNU",0.00273668822461406,0.607487375554779,8.99479012374155,1,2288.45100204912,0.362500050273417
"2115","COPS9",0.00278987807673061,0.607487375554779,8.95947794705763,1,2288.45100204912,-0.566286746654615
"12834","MT-CYB",0.00279119657018394,0.607487375554779,8.95861132786113,1,2288.45100204912,0.209535999505188
"11030","SLC25A42",0.0028549650642349,0.608581006151657,8.91718677715372,1,2288.45100204912,-10
"7559","SLC48A1",0.00293717444919785,0.608581006151657,8.86514926491066,1,2288.45100204912,0.778431698269146
"7882","ANAPC7",0.00294902759558188,0.608581006151657,8.85776872818782,1,2288.45100204912,-1.09893541639552
"11917","ADRM1",0.00305163590269028,0.608581006151657,8.79511072221103,1,2288.45100204912,-0.739087390600562
"11628","FKBP1A",0.00312453682657805,0.608581006151657,8.75188175643317,1,2288.45100204912,-0.547689301528256
"3662","PDLIM4",0.00315711745089042,0.608581006151657,8.73289258359362,1,2288.45100204912,-10
"9642","FBXO31",0.0031668027468192,0.608581006151657,8.72728605175736,1,2288.45100204912,-2.92783763489529
"1662","ANKRD23",0.00321785278036875,0.608581006151657,8.69801993778235,1,2288.45100204912,1.45115333152202
"2860","TM4SF19",0.00327427535499774,0.608581006151657,8.66621822139462,1,2288.45100204912,-2.15422067282546
"262","ZCCHC17",0.00333128609041356,0.608581006151657,8.63464618018284,1,2288.45100204912,-0.646067953307333
"6449","BLOC1S2",0.00337073800905655,0.608581006151657,8.61311818415405,1,2288.45100204912,-0.508015266325123
"6726","C11orf58",0.0033925387884857,0.608581006151657,8.60133169553058,1,2288.45100204912,-0.377011301516342
"6737","LDHA",0.00349138807304599,0.608581006151657,8.54883855200426,1,2288.45100204912,-0.40297367902321
"7690","NACA",0.00352369251911375,0.608581006151657,8.53201086640636,1,2288.45100204912,-0.257458232293461
"1247","TBCE",0.00354273612047921,0.608581006151657,8.52216426758633,1,2288.45100204912,1.05265717386762
"6345","VDAC2",0.00355451876500072,0.608581006151657,8.51609892095692,1,2288.45100204912,-0.640398562017919
"11185","EIF3K",0.00362145367614682,0.611882719150017,8.48202647784806,1,2288.45100204912,-0.430196772037787
"1647","ANKRD36C",0.00381897374957428,0.613724384560943,8.38509669674355,1,2288.45100204912,0.679140819526639
"7268","ATP5MG",0.00383638304336316,0.613724384560943,8.37679945228745,1,2288.45100204912,-0.341638219780319
"662","INKA2",0.00390415964271221,0.613724384560943,8.34485832045494,1,2288.45100204912,0.892809703859179
"2250","TRANK1",0.00392285820113099,0.613724384560943,8.33614556118568,1,2288.45100204912,0.522998221084174
"10059","NT5C3B",0.00394131177789163,0.613724384560943,8.3275883125452,1,2288.45100204912,-1.92325732984136
"5485","ENY2",0.00394891338101789,0.613724384560943,8.32407517262539,1,2288.45100204912,-0.414752632014257
"12841","AC007325.4",0.0040355138915763,0.613724384560943,8.28453126782439,1,2288.45100204912,-10
"1295","ACP1",0.00408714197692946,0.613724384560943,8.2613657170925,1,2288.45100204912,-0.756871196960331
"1577","BOLA3",0.00422709209491789,0.613724384560943,8.20003829287919,1,2288.45100204912,-1.30797020365237
"5261","CLU",0.00425395533795123,0.613724384560943,8.1885034531507,1,2288.45100204912,2.70185760649183
"11821","FITM2",0.00430408202584033,0.613724384560943,8.16717655684122,1,2288.45100204912,-10
"932","FCGR2A",0.00433015205616728,0.613724384560943,8.15618461059156,1,2288.45100204912,0.38658694235522
"11657","PANK2",0.00442201155526006,0.613724384560943,8.11798406352552,1,2288.45100204912,-0.546380676869025
"8007","UBC",0.00442817132513202,0.613724384560943,8.11545147032645,1,2288.45100204912,-0.228699889146187
"2273","RPSA",0.00443900890513024,0.613724384560943,8.11100429418367,1,2288.45100204912,-0.39349290642745
"11501","LILRA5",0.00445381612506887,0.613724384560943,8.10494603666578,1,2288.45100204912,0.70700167371675
"7042","TMEM134",0.00448168761744664,0.613724384560943,8.09359810603692,1,2288.45100204912,-0.686052173090589
"6582","C10orf143",0.00449264793619879,0.613724384560943,8.08915527986828,1,2288.45100204912,-10
"6558","PSTK",0.00466098993449386,0.6144526431141,8.02227115175197,1,2288.45100204912,-10
"6833","FNBP4",0.00474119431253063,0.6144526431141,7.99126626501765,1,2288.45100204912,0.414743256027922
"11468","ZNF600",0.00480202302624264,0.6144526431141,7.96810595097305,1,2288.45100204912,-2.29380959278507
"2799","KLHL24",0.00481309881818413,0.6144526431141,7.96392108746514,1,2288.45100204912,0.443722478867902
"10358","SPHK1",0.00483813671275757,0.6144526431141,7.95449687159319,1,2288.45100204912,-1.00018567556678
"6339","PLAU",0.0048590485458038,0.6144526431141,7.94666372735988,1,2288.45100204912,0.768643188767128
"8616","GLRX5",0.00492284978896433,0.6144526431141,7.92297578468964,1,2288.45100204912,-0.77597953488864
"3046","EXOC1",0.00496369925157085,0.6144526431141,7.90797312190503,1,2288.45100204912,-0.496855499441586
"2070","FBXO36",0.00497090760519252,0.6144526431141,7.90533880414994,1,2288.45100204912,-2.28651651830703
"6214","KIF5B",0.00498394150435302,0.6144526431141,7.90058539532269,1,2288.45100204912,-0.377734673783962
"6502","GSTO1",0.0050950160811499,0.6144526431141,7.8605839316072,1,2288.45100204912,-0.306929928406403
"8186","SLAIN1",0.00513677343344331,0.6144526431141,7.84577537651108,1,2288.45100204912,1.87408629793832
"3631","DTWD2",0.00517609211066362,0.6144526431141,7.83194346704567,1,2288.45100204912,0.727012500710439
"332","C1orf122",0.00520407002511647,0.6144526431141,7.82216622906011,1,2288.45100204912,-0.559957849662329
"10302","FAM104A",0.00524755495895454,0.6144526431141,7.80707579597213,1,2288.45100204912,-0.874130835965079
"7134","NDUFC2",0.00531279334199452,0.6144526431141,7.78467392335922,1,2288.45100204912,-0.426837206061762
"4549","PACRG",0.00533216672574837,0.6144526431141,7.77807541641598,1,2288.45100204912,2.63579357643608
"7423","CD163",0.00546529556974099,0.6144526431141,7.73338322949643,1,2288.45100204912,0.364480445032939
"4855","MTERF1",0.00548631054304103,0.6144526431141,7.72643002969026,1,2288.45100204912,0.633732220519116
"1710","SH3RF3",0.00550179593188309,0.6144526431141,7.72132376695276,1,2288.45100204912,-0.881160147066986
"4609","EIF2AK1",0.00550284665977116,0.6144526431141,7.72097782393677,1,2288.45100204912,-0.703939139009502
"1414","MEMO1",0.00581986232322135,0.643055781544981,7.6195673518452,1,2288.45100204912,-1.64387220464244
"10202","COX11",0.00588506378096425,0.643055781544981,7.59941019766077,1,2288.45100204912,-1.1910489874442
"3444","C5orf34",0.00590924244391463,0.643055781544981,7.59199321490969,1,2288.45100204912,-10
"6038","SPACA9",0.0061453329523782,0.657557573886194,7.52115773969542,1,2288.45100204912,-10
"6578","DOCK1",0.00618461846271914,0.657557573886194,7.50964095211043,1,2288.45100204912,-0.606819202407262
"911","CD48",0.00640354253150962,0.657557573886194,7.44680004899713,1,2288.45100204912,0.517224162033251
"12623","APOOL",0.00642397405656027,0.657557573886194,7.44104765850308,1,2288.45100204912,-0.866138846538312
"2260","ACAA1",0.00646873294257291,0.657557573886194,7.42851107909282,1,2288.45100204912,-0.717741692114264
"2451","ARF4",0.00647011025161338,0.657557573886194,7.42812671358804,1,2288.45100204912,-0.558255744487143
"11730","TM9SF4",0.00647262697458399,0.657557573886194,7.42742458783529,1,2288.45100204912,0.547899032943538
"6588","PWWP2B",0.00660537178878684,0.657557573886194,7.390780912205,1,2288.45100204912,-1.82120519269328
"12622","HDX",0.00665651222750105,0.657557573886194,7.37686420918361,1,2288.45100204912,-1.05619908756091
