"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"8006","SCARB1",1.58455987107224e-39,2.03473333044386e-35,179.866584257705,1,2272.20591696241,2.01468330541691
"11674","PLCB4",4.37062084544848e-11,2.8061571138202e-07,43.8680773791403,1,2272.20591696241,4.02652075395154
"8170","PCDH9",1.0062654717576e-06,0.00430715164094644,24.0477241436167,1,2272.20591696241,4.06833286872275
"9461","MT1G",3.54140044658713e-05,0.113687807836563,17.170904678516,1,2272.20591696241,2.85142821656735
"2559","LSAMP",6.79357857933607e-05,0.174472685074509,15.9265362709749,1,2272.20591696241,2.79538482509149
"5119","ZNF398",0.000125002557791906,0.26752630743431,14.7666908712187,1,2272.20591696241,0.979404211981107
"6470","HPS6",0.000171966739488095,0.296061197385995,14.1620589879685,1,2272.20591696241,-10
"9462","MT1H",0.000184447440159486,0.296061197385995,14.0294503334792,1,2272.20591696241,4.6177279001317
"6506","SORCS1",0.000269865918702277,0.350632127749437,13.3105115065716,1,2272.20591696241,2.39098355838593
"8186","SLAIN1",0.000273056715013969,0.350632127749437,13.2883431706784,1,2272.20591696241,2.29776605774602
"9469","ARL2BP",0.000389877327308481,0.433901349892523,12.6177649314064,1,2272.20591696241,-1.38672035802272
"999","RABGAP1L",0.000424969966496563,0.433901349892523,12.4558260665605,1,2272.20591696241,0.372575343021831
"4431","PTPRK",0.000439274008924757,0.433901349892523,12.3936600773882,1,2272.20591696241,3.07072143142041
"4638","HDAC9",0.000521819251536571,0.478620072070079,12.0706283054792,1,2272.20591696241,-3.30708103915924
"2062","CUL3",0.000569451648905027,0.487488574905964,11.9069769690788,1,2272.20591696241,-0.531217491201433
"7365","FKBP4",0.000630468356356322,0.502906383656764,11.7164684265341,1,2272.20591696241,-1.71669221481765
"3715","DNAJC18",0.000665789932416867,0.502906383656764,11.6145303570339,1,2272.20591696241,-10
"10898","MAN2B1",0.000788737060837645,0.562676255456455,11.298025559073,1,2272.20591696241,-0.50128905253204
"4274","EYS",0.000945212600228463,0.575693561921866,10.9606807604019,1,2272.20591696241,1.97156236784033
"5063","CALD1",0.000975215892058831,0.575693561921866,10.902504539736,1,2272.20591696241,2.44918062762057
"2973","SLIT2",0.000998881749864513,0.575693561921866,10.8578803868204,1,2272.20591696241,2.8527122366602
"5044","TSPAN33",0.00101750038436975,0.575693561921866,10.8235189266663,1,2272.20591696241,-1.43383438014362
"3621","TRIM36",0.00105493872222313,0.575693561921866,10.7563107419551,1,2272.20591696241,1.81283067932493
"5968","SH2D3C",0.00107597893358187,0.575693561921866,10.7195918838508,1,2272.20591696241,-10
"7062","IGHMBP2",0.00114376830057412,0.587485149906892,10.6060469837471,1,2272.20591696241,1.32239410853848
"12759","MTMR1",0.00119251731376927,0.588965954850429,10.5285297650673,1,2272.20591696241,-1.34879102481553
"11301","APOC1",0.0013654815563809,0.642319367023561,10.2772701280289,1,2272.20591696241,0.492617504923676
"5577","MAF1",0.00140058735897981,0.642319367023561,10.2302278908842,1,2272.20591696241,0.681259594210733
"4275","ADGRB3",0.00146805592455967,0.650045038871403,10.1430823934698,1,2272.20591696241,2.99330082046348
"3644","GRAMD2B",0.00174261639174958,0.680861140356489,9.82598010730773,1,2272.20591696241,1.31390986310763
"11354","SELENOW",0.00187939151867147,0.680861140356489,9.68646864847918,1,2272.20591696241,-0.485806376178901
"7096","MRPL48",0.00190607953846125,0.680861140356489,9.66045087714154,1,2272.20591696241,1.06221402658134
"5792","CKS2",0.00191832397398043,0.680861140356489,9.6486373769782,1,2272.20591696241,1.22043260173203
"7385","TNFRSF1A",0.00194844269677165,0.680861140356489,9.61990112670901,1,2272.20591696241,-0.601466122366263
"4901","ZSCAN25",0.00196313285762627,0.680861140356489,9.60604835831499,1,2272.20591696241,-10
"8956","MPI",0.00196398431746944,0.680861140356489,9.60524866247752,1,2272.20591696241,-2.99172738717043
"4436","AKAP7",0.00202512396805538,0.680861140356489,9.54872676610352,1,2272.20591696241,0.749612391474574
"8351","PPP2R3C",0.00212154627551807,0.680861140356489,9.46301421465805,1,2272.20591696241,0.559190129607581
