"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9756","SCIMP",7.01150953428202e-26,9.00347939297154e-22,113.45064093552,1,2254.16501700428,2.15690367536676
"12216","TIMP3",2.9189110673433e-07,0.00187408685078776,26.4625805328811,1,2254.16501700428,1.75757452600381
"3362","AHRR",0.000399850779670794,0.82919883999542,12.5705902933317,1,2254.16501700428,0.59651162894521
"1480","MSH6",0.000420006276542676,0.82919883999542,12.4781891905579,1,2254.16501700428,-2.60607035746605
"6807","MDK",0.000459482721041586,0.82919883999542,12.3095188003038,1,2254.16501700428,1.63974847422524
"11176","YIF1B",0.000476692228409823,0.82919883999542,12.2405222619879,1,2254.16501700428,1.05063624922372
"4555","RNASET2",0.000545222191283764,0.82919883999542,11.9886910787877,1,2254.16501700428,0.397215780073242
"11675","MKKS",0.000571416090526157,0.82919883999542,11.9007982406527,1,2254.16501700428,-3.20651444454426
"6551","NSMCE4A",0.000587771325579748,0.82919883999542,11.8479601236737,1,2254.16501700428,-2.54932923311229
"10272","DDX5",0.000975462262102134,0.82919883999542,10.9022625841134,1,2254.16501700428,0.308015184508617
"5198","CTSB",0.00100364307481736,0.82919883999542,10.8492579588022,1,2254.16501700428,0.298622628288483
"12497","ZNF182",0.00105614054430369,0.82919883999542,10.7544158017507,1,2254.16501700428,-10
"3901","SQSTM1",0.00106285205553219,0.82919883999542,10.7426361936568,1,2254.16501700428,-0.570079542472437
"5174","FBXO25",0.00106903128202453,0.82919883999542,10.7318572045004,1,2254.16501700428,-2.14125885719739
"6567","EEF1AKMT2",0.00108417698840471,0.82919883999542,10.7057016657542,1,2254.16501700428,-1.22176109082785
"11715","APMAP",0.00111979309952165,0.82919883999542,10.6456248403511,1,2254.16501700428,0.507667394790548
"5921","PHF19",0.00121446129474906,0.82919883999542,10.4948898356885,1,2254.16501700428,-3.10523706385742
"6948","PRDX5",0.00123035519078742,0.82919883999542,10.4707546171385,1,2254.16501700428,-0.708897437971066
"2618","PLXNA1",0.00125904296558822,0.82919883999542,10.4279803526497,1,2254.16501700428,-10
"6755","METTL15",0.00129148639513343,0.82919883999542,10.3807800097896,1,2254.16501700428,0.61063606529058
"2806","AP2M1",0.00153641356733974,0.874660473054809,10.0590291487517,1,2254.16501700428,-0.467697734156203
"7686","RBMS2",0.00159588561406138,0.874660473054809,9.98876373707576,1,2254.16501700428,0.685575128712019
