"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"7862","SELPLG",1.94510206773752e-21,2.49770556518175e-17,92.2383503545997,1,2278.61041391008,2.30900521545332
"6354","PPIF",7.60518832869819e-07,0.00488291116644067,24.5924788981993,1,2278.61041391008,0.904067902908617
"10485","CHMP1B",5.09595539658406e-05,0.218123877491786,16.4749485380659,1,2278.61041391008,0.779451615691084
"12524","PRICKLE3",7.19631586821771e-05,0.231019730159459,15.8166165507505,1,2278.61041391008,1.76765392601821
"9462","MT1H",0.000152428931872391,0.353990789929781,14.390359722551,1,2278.61041391008,4.15864559732351
"12294","EP300",0.00018014517336671,0.353990789929781,14.0739813833187,1,2278.61041391008,0.476206363024851
"3999","C6orf62",0.000192970604276028,0.353990789929781,13.9438623668153,1,2278.61041391008,0.417925084697082
"4275","ADGRB3",0.000244868844524002,0.393045104066589,13.4938001188141,1,2278.61041391008,2.64464267898053
"10934","IL27RA",0.000309835605935811,0.43099202553901,13.0500596964554,1,2278.61041391008,-3.47533375461441
"5613","VLDLR",0.000357343115433264,0.43099202553901,12.7815146113122,1,2278.61041391008,2.58348314985825
"800","S100A4",0.000369201174435723,0.43099202553901,12.7201104794237,1,2278.61041391008,0.628109715715829
"12693","UBE2A",0.000471978007716516,0.505055799757315,12.2587829738323,1,2278.61041391008,0.679360709427556
"12537","TSPYL2",0.000627363828943819,0.619690686728276,11.7256103393237,1,2278.61041391008,1.68151808556749
"9227","NUBP1",0.000711210731668829,0.626977391629312,11.4911103199611,1,2278.61041391008,0.794668488406287
"4349","ASCC3",0.000732393183898425,0.626977391629312,11.4362927170168,1,2278.61041391008,0.517237681078157
"12195","SLC35E4",0.000908839796184145,0.651759172865697,11.0336843763669,1,2278.61041391008,-10
"1177","TLR5",0.000927847720847634,0.651759172865697,10.9951296238785,1,2278.61041391008,1.02796387804136
"5647","PLIN2",0.000973081575086399,0.651759172865697,10.9065025212178,1,2278.61041391008,0.535748739555472
"5343","TMEM68",0.00101247865099146,0.651759172865697,10.8326444959694,1,2278.61041391008,1.04912614252953
"498","JAK1",0.0010151221444836,0.651759172865697,10.8277933443742,1,2278.61041391008,0.400072706768348
"9355","SEZ6L2",0.00121149481873009,0.74080023653872,10.4991429604979,1,2278.61041391008,-2.16923089888241
"4508","MTHFD1L",0.00131175882029776,0.758050779798526,10.3516132649563,1,2278.61041391008,0.87256514684488
