"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"2723","SUCNR1",7.25580673556322e-155,9.31718142913673e-151,821.292813858636,1,2316.64208317663,4.01838939505137
"1089","CHIT1",2.88614822448851e-09,1.85305146753285e-05,35.5366104217869,1,2316.64208317663,1.98288408459808
"7058","GAL",2.51293439994858e-07,0.00107561968765799,26.7509187092354,1,2316.64208317663,2.40020578398575
"8520","NPC2",2.46447708524618e-05,0.0710817177176675,17.8641271353008,1,2316.64208317663,0.289036910803145
"4349","ASCC3",3.30813385320623e-05,0.0710817177176675,17.3000135506557,1,2316.64208317663,0.533341538255383
"1216","NUP133",3.3213169247411e-05,0.0710817177176675,17.2923994946048,1,2316.64208317663,-1.31457824160309
"10841","ICAM3",5.44057504200468e-05,0.0998034630205459,16.3489907565694,1,2316.64208317663,2.04912212024819
"12732","FAM122B",8.45304495439379e-05,0.135681937824213,15.5091830442009,1,2316.64208317663,1.14970018317505
"8299","AP1G2",0.000164893415276391,0.235266260618238,14.2406767298517,1,2316.64208317663,-2.72804137618971
"633","SORT1",0.000190441503283297,0.244545934366081,13.9680650238275,1,2316.64208317663,0.825062675888757
"11982","MIS18A",0.00024961194953696,0.291387913091283,13.4568894371439,1,2316.64208317663,-10
"5258","TRIM35",0.000282355965922796,0.302144413201218,13.2244034365696,1,2316.64208317663,-3.38654870057714
"763","CTSK",0.000393647853535292,0.384543141571859,12.5989521574343,1,2316.64208317663,1.24682723756682
"8013","STX2",0.000463226959400503,0.384543141571859,12.2933115901296,1,2316.64208317663,-0.951741950535981
"12658","BEX3",0.000503799073301866,0.384543141571859,12.1358381988599,1,2316.64208317663,0.483387299555214
"11236","TGFB1",0.000524412452221487,0.384543141571859,12.0606732760213,1,2316.64208317663,0.440876229512805
"2250","TRANK1",0.000529651055264583,0.384543141571859,12.0420467637675,1,2316.64208317663,0.55551783917512
"9295","MOSMO",0.000573551461603472,0.384543141571859,11.8928975040034,1,2316.64208317663,-0.825977427779771
"11443","SPACA6",0.000627900102651334,0.384543141571859,11.7234753875425,1,2316.64208317663,-1.10233159135037
"7673","MYL6",0.000663047560265437,0.384543141571859,11.6216285132934,1,2316.64208317663,0.241008264663478
"1705","SULT1C2",0.000685958852645777,0.384543141571859,11.5581357298436,1,2316.64208317663,1.75778914690096
"10102","TMEM106A",0.000694658007276888,0.384543141571859,11.5345881561973,1,2316.64208317663,0.484300871092429
"7240","NCAM1",0.000712988727396291,0.384543141571859,11.4859301072578,1,2316.64208317663,3.46346475912202
"7235","IL18",0.000749060729546882,0.384543141571859,11.3937665328142,1,2316.64208317663,0.428064432633593
"1463","PPM1B",0.000779163085577769,0.384543141571859,11.320227625882,1,2316.64208317663,-0.431174507523421
"10399","RPTOR",0.000787937867911802,0.384543141571859,11.2993314185233,1,2316.64208317663,0.514559751954124
"2505","MTRNR2L12",0.000808555784007491,0.384543141571859,11.2511439626667,1,2316.64208317663,0.340529844954295
"2681","CLSTN2",0.000856863520586183,0.392963730994542,11.1429410826857,1,2316.64208317663,4.36548220874771
"4933","GIGYF1",0.000891476998989108,0.394739867035143,11.0691413788358,1,2316.64208317663,-1.12383071493037
"6265","TFAM",0.000976843367259366,0.410541983959456,10.8988541882418,1,2316.64208317663,0.825494749308523
"10870","PRKCSH",0.000991106728661564,0.410541983959456,10.8718777008868,1,2316.64208317663,0.597311221042022
"7216","POGLUT3",0.00109024264776018,0.437493932496516,10.6945830509731,1,2316.64208317663,1.34853945124008
"11482","ZNF761",0.00115944587006105,0.451164982347089,10.5802419592194,1,2316.64208317663,-2.45908583340346
"8236","CUL4A",0.00125093458875754,0.470917122178106,10.439255771679,1,2316.64208317663,-0.642349355346247
"7821","ARL1",0.00128355262644916,0.470917122178106,10.3915033099034,1,2316.64208317663,0.613325727274761
"8159","ATP7B",0.00137439906543654,0.490240511090852,10.2647179571431,1,2316.64208317663,2.121852885165
"4234","TMEM63B",0.00164266503083207,0.525529182416668,9.93468593949317,1,2316.64208317663,0.701822134288542
"10898","MAN2B1",0.00168081137978874,0.525529182416668,9.89225237399654,1,2316.64208317663,-0.366751163185249
"5564","FAM83H",0.00171006840517033,0.525529182416668,9.86036366409652,1,2316.64208317663,-10
"6821","MYBPC3",0.00172185115153245,0.525529182416668,9.84767703607613,1,2316.64208317663,-10
"8999","FAH",0.00175230507820622,0.525529182416668,9.815290411634,1,2316.64208317663,0.718718959896179
"10453","USP14",0.00175314450578569,0.525529182416668,9.81440581553148,1,2316.64208317663,0.460468804143853
"2663","MSL2",0.0018000791906234,0.525529182416668,9.76561708984606,1,2316.64208317663,-0.647367750724479
