"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"5796","SYK",1.63636752190177e-33,2.10125953487406e-29,150.357305227452,1,2262.51047861927,1.28873102693122
"734","GPR89B",0.000108284522390269,0.685128577429348,15.0395507084789,1,2262.51047861927,-10
"5137","GIMAP6",0.000233257188327306,0.685128577429348,13.5858318891547,1,2262.51047861927,1.16914269090696
"5402","FABP4",0.000244816393162049,0.685128577429348,13.4945093900952,1,2262.51047861927,1.40661418951532
"5476","RIMS2",0.000266773840600167,0.685128577429348,13.3324276040533,1,2262.51047861927,4.31770666501113
"3562","ATG10",0.000412973040084379,0.883831134620586,12.5097758398459,1,2262.51047861927,0.758331844549417
"3898","MAML1",0.000513835237640645,0.928731589250262,12.099678927599,1,2262.51047861927,-1.5260415364893
"12216","TIMP3",0.000696889236123171,0.928731589250262,11.5293413648121,1,2262.51047861927,1.25639898509295
"1226","FAM89A",0.000986370696268676,0.928731589250262,10.8814579095551,1,2262.51047861927,1.27553370534944
"173","C1QB",0.000998442829314751,0.928731589250262,10.858819499399,1,2262.51047861927,0.583508236823704
"2535","IFT57",0.00104561674507049,0.928731589250262,10.7729362854155,1,2262.51047861927,-3.18818739743916
"9350","MAZ",0.00133829181760291,0.928731589250262,10.3146645271695,1,2262.51047861927,-1.20700321461097
"3847","CREBRF",0.00136793825450688,0.928731589250262,10.2740475470652,1,2262.51047861927,-0.557634569807634
"9178","ZNF213",0.00137437532436151,0.928731589250262,10.2653463614332,1,2262.51047861927,-10
"660","ADORA3",0.00140315594075665,0.928731589250262,10.2269411345628,1,2262.51047861927,0.817406525056024
"4546","MAP3K4",0.00142011162365032,0.928731589250262,10.2046871417157,1,2262.51047861927,0.685783365925512
"12486","RBM10",0.00150738574251068,0.928731589250262,10.0942413391308,1,2262.51047861927,-1.49501811100492
"8959","RPP25",0.00151544305202751,0.928731589250262,10.0843735665164,1,2262.51047861927,1.52829391841003
"9849","CDRT4",0.00163361519458699,0.928731589250262,9.94546091562028,1,2262.51047861927,0.891776177518402
"8535","JDP2",0.00170264501146862,0.928731589250262,9.86895533980981,1,2262.51047861927,-1.22142964265181
"4753","NIPSNAP2",0.00171333737824047,0.928731589250262,9.85738704272062,1,2262.51047861927,-0.615361041867514
"10578","TCF4",0.00173364960697179,0.928731589250262,9.83561106265842,1,2262.51047861927,-0.486211883005891
"2922","HTT",0.00206216539350104,0.928731589250262,9.51541352576495,1,2262.51047861927,0.432673136554895
"9859","CENPV",0.0021230807026349,0.928731589250262,9.46177564127726,1,2262.51047861927,2.97118558794584
"3793","SLC36A1",0.00226180026330359,0.928731589250262,9.34523989319656,1,2262.51047861927,0.443098106029123
"1369","SLC35F6",0.00236381295050161,0.928731589250262,9.26408127770864,1,2262.51047861927,0.665830815654992
"9537","SLC12A4",0.00244531292450516,0.928731589250262,9.20175794516773,1,2262.51047861927,-2.99746462977133
"4589","IQCE",0.00252839110204346,0.928731589250262,9.14036239347784,1,2262.51047861927,-1.35906840309722
"6984","PCNX3",0.00255408639123963,0.928731589250262,9.12178766636779,1,2262.51047861927,-2.2990503879312
"3171","SLC39A8",0.00255835938643354,0.928731589250262,9.11871720233493,1,2262.51047861927,0.566990203803844
"11229","C19orf54",0.00258529562213527,0.928731589250262,9.09948064047614,1,2262.51047861927,-10
"8792","B2M",0.00269963805013839,0.928731589250262,9.02002807154925,1,2262.51047861927,0.194617872913765
"7847","CKAP4",0.00275424357991993,0.928731589250262,8.98328319215543,1,2262.51047861927,-1.06378229710121
"561","SELENOF",0.002969852980544,0.928731589250262,8.84509214505277,1,2262.51047861927,0.458568254611946
"3884","RMND5B",0.00303097536576909,0.928731589250262,8.80776931704649,1,2262.51047861927,-1.49195381159328
"2200","SH3BP5",0.00309895818934322,0.928731589250262,8.76714582901679,1,2262.51047861927,-0.924948868172652
"5832","CCDC180",0.00314696719001428,0.928731589250262,8.73900005267705,1,2262.51047861927,-2.96974741915069
