"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11236","TGFB1",3.90588610291424e-33,5.01554834475218e-29,148.594745071392,1,2225.36999291013,1.89263069756799
"11931","HELZ2",0.000131892474015504,0.512609065859223,14.6659450193731,1,2225.36999291013,0.997805676146245
"10724","SIRT6",0.0001592344123329,0.512609065859223,14.3087501086167,1,2225.36999291013,-10
"12604","RLIM",0.000214914852693734,0.512609065859223,13.7413001285503,1,2225.36999291013,-1.89719860043125
"12587","IL2RG",0.000226345904713955,0.512609065859223,13.6433760262146,1,2225.36999291013,-1.69447537471969
"11912","LSM14B",0.000239518292590557,0.512609065859223,13.5365388458016,1,2225.36999291013,-10
"7078","LAMTOR1",0.000576402822415486,0.722141140043504,11.8849664256691,1,2225.36999291013,-0.926987172276696
"7305","CLMP",0.000610689153341012,0.722141140043504,11.7767991579531,1,2225.36999291013,3.46682285123631
"11721","NINL",0.000626047242012366,0.722141140043504,11.7303230309213,1,2225.36999291013,2.14906673157312
"4534","DYNLT1",0.000663552422963559,0.722141140043504,11.6215021003057,1,2225.36999291013,0.585942716359177
"9240","GSPT1",0.000687090237518509,0.722141140043504,11.5563387054186,1,2225.36999291013,-1.06758223496594
"11748","RALY",0.000702564749200813,0.722141140043504,11.514716425058,1,2225.36999291013,-0.930339690669897
"8011","SLC15A4",0.000828569627780397,0.722141140043504,11.2067517585101,1,2225.36999291013,0.899138002515054
"11038","MAU2",0.000842358655984676,0.722141140043504,11.175970880362,1,2225.36999291013,-1.5406688067738
"1193","PYCR2",0.000854427355120788,0.722141140043504,11.14944567025,1,2225.36999291013,-10
"9578","IST1",0.000899794271528391,0.722141140043504,11.0530177174145,1,2225.36999291013,-0.825922355472549
"9342","LAT",0.00101228920682314,0.741781984570397,10.833664736914,1,2225.36999291013,-10
"3330","SPCS3",0.00103980030544873,0.741781984570397,10.7837791564834,1,2225.36999291013,-0.874151396713393
"614","DPH5",0.00136725781144801,0.906956187386001,10.2753965158022,1,2225.36999291013,-10
"5174","FBXO25",0.00141259432658827,0.906956187386001,10.2149420239624,1,2225.36999291013,-3.10006836380599
"491","ALG6",0.00149904332004139,0.90753038209341,10.1049281345601,1,2225.36999291013,-10
"9901","AKAP10",0.00156549960660122,0.90753038209341,10.0246431507992,1,2225.36999291013,-0.702017768847758
"10448","FN3KRP",0.00179652591728161,0.90753038209341,9.7701956412901,1,2225.36999291013,-10
"2876","RUBCN",0.00186981631499163,0.90753038209341,9.69637459044249,1,2225.36999291013,0.649973013263005
"3413","IL7R",0.00192431126966629,0.90753038209341,9.64336338936162,1,2225.36999291013,-10
"7814","ANKS1B",0.00213964623462234,0.90753038209341,9.44782281112148,1,2225.36999291013,2.57503087994672
"5368","SGK3",0.00221041855182985,0.90753038209341,9.387895871695,1,2225.36999291013,-0.518988059523141
"8945","CD276",0.00228528706783694,0.90753038209341,9.32658452584627,1,2225.36999291013,-1.3086907044897
"9200","NMRAL1",0.00229731103228319,0.90753038209341,9.31692827779729,1,2225.36999291013,-1.99533929007042
"11947","TCEA2",0.00245734081722709,0.90753038209341,9.19308443119344,1,2225.36999291013,-10
"5975","DPM2",0.00273786893811403,0.90753038209341,8.99455485421986,1,2225.36999291013,-2.29878660371153
"8861","MYO1E",0.00277023890101491,0.90753038209341,8.97298949272732,1,2225.36999291013,-0.880673494724541
"807","SLC27A3",0.00281812953435683,0.90753038209341,8.9415492333089,1,2225.36999291013,1.8620603306242
"609","DBT",0.00285643224582777,0.90753038209341,8.91679183314237,1,2225.36999291013,1.02259859920468
"12713","OCRL",0.00295636196816266,0.90753038209341,8.85375669084603,1,2225.36999291013,-2.96137175358962
"8083","N4BP2L1",0.00297342885056825,0.90753038209341,8.8432079157693,1,2225.36999291013,0.811996424281102
"11294","PVR",0.00311718240395271,0.90753038209341,8.7567245997489,1,2225.36999291013,-10
"5730","SLC25A51",0.00316336122471982,0.90753038209341,8.72980173713443,1,2225.36999291013,1.02700654020803
"12167","HSCB",0.0034344702016962,0.90753038209341,8.57938521079861,1,2225.36999291013,-1.9695564447951
"699","WDR3",0.00346020538889852,0.90753038209341,8.56573978062548,1,2225.36999291013,-10
