"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"3694","TGFBI",3.10480121382974e-29,3.98687523867877e-25,129.587225643221,1,2260.21089981299,1.14808464858793
"9463","MT1X",2.75585235765761e-08,0.000176939500623407,31.0909652141858,1,2260.21089981299,1.85160417797022
"71","TNFRSF9",1.86669289975149e-06,0.00799006784190296,22.847308155737,1,2260.21089981299,1.86775879428573
"8072","SLC46A3",2.82204304830474e-05,0.0905946369582028,17.6061713933045,1,2260.21089981299,-1.9091914979201
"8878","CIAO2A",0.000171942535983406,0.423376880796259,14.1625757912255,1,2260.21089981299,-0.853308078924575
"2491","ROBO2",0.000222534929574025,0.423376880796259,13.6747635651099,1,2260.21089981299,3.21014888144535
"10310","CD300C",0.000230794966558197,0.423376880796259,13.605918168931,1,2260.21089981299,1.68006106602921
"11259","CXCL17",0.000296717512501532,0.468784532351378,13.1318986648547,1,2260.21089981299,4.30371128097194
"11615","C20orf96",0.000336783679046158,0.468784532351378,12.8933389044563,1,2260.21089981299,-3.37924423670839
"9470","CCL22",0.000386051040901341,0.468784532351378,12.6365055430789,1,2260.21089981299,3.01460977124777
"3014","APBB2",0.000401575411250304,0.468784532351378,12.5624009751448,1,2260.21089981299,-2.63542595733553
"204","MAN1C1",0.000547030941335397,0.554019837437024,11.9823939379572,1,2260.21089981299,1.03882416491368
"3868","ZNF346",0.000582106497404731,0.554019837437024,11.8660007118383,1,2260.21089981299,-1.98117588624475
"5772","FRMD3",0.000604024431439789,0.554019837437024,11.7968143486038,1,2260.21089981299,0.984071896012339
"4398","COL10A1",0.000740284525357153,0.605680095139847,11.4165326192141,1,2260.21089981299,2.93038666302394
"9042","PEX11A",0.000776578227205281,0.605680095139847,11.3271799325302,1,2260.21089981299,1.80723480037845
"8611","IFI27L2",0.000801850449137714,0.605680095139847,11.2674214872401,1,2260.21089981299,-0.88238712355059
"9430","PHKB",0.00100080247509134,0.668150210199869,10.8544558178867,1,2260.21089981299,0.401898196408427
"7022","CCS",0.00103734344093838,0.668150210199869,10.7877396547771,1,2260.21089981299,-0.950106381472231
"8545","ANGEL1",0.00113756313368792,0.668150210199869,10.6162970663062,1,2260.21089981299,-0.861651549634687
"7813","APAF1",0.00116692689514537,0.668150210199869,10.568955677826,1,2260.21089981299,-1.28667103293627
"8440","PPM1A",0.00117137157871888,0.668150210199869,10.5618950701527,1,2260.21089981299,0.711177424938719
"9598","GABARAPL2",0.00119674907208138,0.668150210199869,10.5220941647664,1,2260.21089981299,-0.690876715799076
