"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"5846","TGFBR1",3.10043600457444e-49,3.98126987347403e-45,227.950218400621,1,2357.64479410658,1.95049582975568
"3948","BMP6",9.73906409154742e-06,0.0625296609997802,19.6474908941956,1,2357.64479410658,1.63132993181723
"4287","MTO1",7.26213102967394e-05,0.310843415173477,15.7973222697861,1,2357.64479410658,0.816240827983614
"5169","PTPRN2",0.000131286047723748,0.421461034705163,14.6717957314346,1,2357.64479410658,2.09542263228195
"303","ZMYM4",0.000199309946415483,0.511867804384245,13.8812163537339,1,2357.64479410658,0.346097316445151
"3286","PLRG1",0.000268473395818605,0.574577812617785,13.3187507364556,1,2357.64479410658,-1.19332054608578
"9116","TPSB2",0.000507486760188512,0.653162641334011,12.1215696174776,1,2357.64479410658,0.915902263991688
"2649","DNAJC13",0.000552217295464086,0.653162641334011,11.9633005969368,1,2357.64479410658,0.381111585334461
"5810","FGD3",0.000666353236064089,0.653162641334011,11.6117830305495,1,2357.64479410658,0.468951867217089
"4997","DOCK4",0.000686118833656058,0.653162641334011,11.5571559522118,1,2357.64479410658,0.238942775773872
"2216","KAT2B",0.000697997126112398,0.653162641334011,11.5250875305006,1,2357.64479410658,0.520680444585527
"11913","PSMA7",0.000701254005252115,0.653162641334011,11.5163911169835,1,2357.64479410658,-0.29455144338842
"11363","GRWD1",0.0007981819155126,0.653162641334011,11.2747132441287,1,2357.64479410658,-3.18035456778462
"8678","SNRPN",0.000821367774316684,0.653162641334011,11.2213082631497,1,2357.64479410658,-0.653468955727124
"12243","LGALS2",0.000910151030255242,0.653162641334011,11.0300237842714,1,2357.64479410658,-1.83636855865043
"11930","PTK6",0.00102506809498486,0.653162641334011,10.8087173397739,1,2357.64479410658,2.88491903447592
"12305","DESI1",0.00104332557517353,0.653162641334011,10.7758858384482,1,2357.64479410658,-0.710872562841259
"3449","PARP8",0.00109158147613075,0.653162641334011,10.6918333785049,1,2357.64479410658,0.327371910585673
"4142","SMIM29",0.00114402860879555,0.653162641334011,10.6046440316618,1,2357.64479410658,0.784290330590564
"4592","GNA12",0.00117984726674616,0.653162641334011,10.5473936896553,1,2357.64479410658,0.347057832279152
"10461","SMCHD1",0.00118898520313971,0.653162641334011,10.5330698988691,1,2357.64479410658,0.285153064078085
"6804","PHF21A",0.00135600506305228,0.653162641334011,10.2892536419894,1,2357.64479410658,0.281418204172538
"6601","RIC8A",0.00139687874374743,0.653162641334011,10.2342248910557,1,2357.64479410658,-1.11061417314826
"2200","SH3BP5",0.00141520092842225,0.653162641334011,10.2100850017422,1,2357.64479410658,0.530590005943198
"10855","CARM1",0.00149996970713145,0.653162641334011,10.1023720265964,1,2357.64479410658,0.60645509450249
"5527","PHF20L1",0.00151301323947504,0.653162641334011,10.0863476858302,1,2357.64479410658,0.3875256058105
"11391","PIH1D1",0.00154831072906486,0.653162641334011,10.0436760307263,1,2357.64479410658,-0.838008083714506
"6718","FAR1",0.00167286668958833,0.653162641334011,9.90060424732497,1,2357.64479410658,0.326179526054152
"279","MARCKSL1",0.00169021215563302,0.653162641334011,9.88154186666518,1,2357.64479410658,1.03730905577983
